id,name,english,source
1,轻皮手套,Leather Gloves,
2,锁链手套,Chainmail Gloves,
3,猎人腕甲,Hunter's Vambraces,
4,猎人护手,Hunter's Guards,
5,骨制腕甲,Bone Vambraces,
6,骨制护手,Bone Guards,
7,合金腕甲,Alloy Vambraces,
8,合金护手,Alloy Guards,
9,狗龙腕甲,Jaggi Vambraces,
10,狗龙护手,Jaggi Guards,
11,飞虫手套,Bnahabra Gloves,
12,飞虫护手,Bnahabra Sleeves,
13,草食龙腕甲,Rhenoplos Vambraces,
14,草食龙护手,Rhenoplos Guards,
15,彩鸟腕甲,Qurupeco Vambraces,
16,彩鸟护手,Qurupeco Guards,
17,水兽腕甲,Ludroth Vambraces,
18,水兽护手,Ludroth Guards,
20,眠狗龙腕甲,Baggi Vambraces,
21,眠狗龙护手,Baggi Guards,
22,土砂龙腕甲,Barroth Vambraces,
23,土砂龙护手,Barroth Guards,
24,灯鱼龙腕甲,Gobul Vambraces,
25,灯鱼龙护手,Gobul Guards,
28,公会精英腕甲,Guild Bard Braces,
29,Guild Braces袖,Guild Braces Sleeves,
30,店员手套,Scholar's Gloves,
31,店员长袖,Scholar's Sleeves,
32,雌火龙腕甲,Rathian Vambraces,
33,雌火龙护手,Rathian Guards,
34,毒怪龙腕甲,Gigginox Vambraces,
35,毒怪龙护手,Gigginox Guards,
36,高合金腕甲,Ingot Vambraces,
37,高合金护手,Ingot Guards,
38,海龙腕甲,Lagiacrus Braces,
39,海龙护手,Lagiacrus Guards,
40,雄火龙腕甲,Rathalos Vambraces,
41,雄火龙护手,Rathalos Guards,
42,冰牙龙腕甲,Barioth Vambraces,
43,冰牙龙护手,Barioth Guards,
44,角龙腕甲,Diablos Vambraces,
45,角龙护手,Diablos Guards,
46,爆锤龙腕甲,Uragaan Vambraces,
47,爆锤龙护手,Uragaan Guards,
48,炎戈龙腕甲,Agnaktor Vambraces,
49,炎戈龙护手,Agnaktor Guards,
50,太阳神腕甲,Helios Vambraces,
51,太阳神护手,Helios Guards,
52,月神腕甲,Selene Vambraces,
53,月神护手,Selene Guards,
54,毒狗龙腕甲,Wroggi Vambraces,
55,毒狗龙护手,Wroggi Guards,
56,青熊兽腕甲,Arzuros Vambraces,
57,青熊兽护手,Arzuros Guards,
58,白兔兽腕甲,Lagombi Vambraces,
59,白兔兽护手,Lagombi Guards,
60,赤甲兽腕甲,Volvidon Vambraces,
61,Vambraces护手,Vambraces Guards,
62,潜口龙腕甲,Nibelsnarf Braces,
63,潜口龙护手,Nibelsnarf Guards,
64,尾槌龙腕甲,Duramboros Braces,
65,尾槌龙护手,Duramboros Guards,
66,结云护手,Yukumo Kote,
75,轻皮腕甲Ｓ,Leather Vambraces S,
76,轻皮护手Ｓ,Leather Guards S,
77,锁链腕甲Ｓ,Chainmail Braces S,
