id,name,english,source
0,无装备,None,mh3g-id-res-game-array+placeholder
1,彩鸟猎弓,Peckish Peco,mh3g-id-res-game-array+mh3u-legacy-display-list
2,弓 Flamished Peco,Flamished Peco,mh3g-id-res-game-array+mh3u-legacy-display-list
3,心灵破坏者,Heartbreaker,mh3g-id-res-game-array+mh3u-legacy-display-list
4,破碎之心,Broken Heart,mh3g-id-res-game-array+mh3u-legacy-display-list
5,强健之心,Strong Heart,mh3g-id-res-game-array+mh3u-legacy-display-list
6,毒狗龙左轮Ⅰ,Wroggi Revolver I,mh3g-id-res-game-array+mh3u-legacy-display-list
7,毒狗龙左轮Ⅱ,Wroggi Revolver II,mh3g-id-res-game-array+mh3u-legacy-display-list
8,毒狗龙左轮Ⅲ,Wroggi Revolver III,mh3g-id-res-game-array+mh3u-legacy-display-list
9,肮脏左轮Ⅰ,Dirty Revolver I,mh3g-id-res-game-array+mh3u-legacy-display-list
10,肮脏左轮Ⅱ,Dirty Revolver II,mh3g-id-res-game-array+mh3u-legacy-display-list
11,毒液喷吐者,Spith & Venom,mh3g-id-res-game-array+mh3u-legacy-display-list
12,水兽齿轮弓Ⅰ,Sponge Gear I,mh3g-id-res-game-array+mh3u-legacy-display-list
13,水兽齿轮弓Ⅱ,Sponge Gear II,mh3g-id-res-game-array+mh3u-legacy-display-list
14,水兽齿轮弓Ⅲ,Sponge Gear III,mh3g-id-res-game-array+mh3u-legacy-display-list
15,紫水兽齿轮弓Ⅰ,Amethyst Gear I,mh3g-id-res-game-array+mh3u-legacy-display-list
16,紫水兽齿轮弓Ⅱ,Amethyst Gear II,mh3g-id-res-game-array+mh3u-legacy-display-list
17,海上王子,Amir al Bahr,mh3g-id-res-game-array+mh3u-legacy-display-list
18,海上皇帝,Batal al Bahr,mh3g-id-res-game-array+mh3u-legacy-display-list
19,飞虫弓,Arko Nulo,mh3g-id-res-game-array+mh3u-legacy-display-list
20,飞虫猎弓,Arko Unu,mh3g-id-res-game-array+mh3u-legacy-display-list
21,飞虫炎弓,Arko Nulo (R),mh3g-id-res-game-array+mh3u-legacy-display-list
22,飞虫烈焰弓,Arko Unu (R),mh3g-id-res-game-array+mh3u-legacy-display-list
23,飞虫爆炎弓,Arko Du (R),mh3g-id-res-game-array+mh3u-legacy-display-list
24,飞虫业火弓,Arko Tri (R),mh3g-id-res-game-array+mh3u-legacy-display-list
25,飞虫冰弓,Arko Nulo (W),mh3g-id-res-game-array+mh3u-legacy-display-list
26,飞虫寒冰弓,Arko Unu (W),mh3g-id-res-game-array+mh3u-legacy-display-list
27,飞虫冻寒弓,Arko Du (W),mh3g-id-res-game-array+mh3u-legacy-display-list
28,飞虫极冰弓,Arko Tri (W),mh3g-id-res-game-array+mh3u-legacy-display-list
29,飞虫雷弓,Arko Nulo (Y),mh3g-id-res-game-array+mh3u-legacy-display-list
30,飞虫雷霆弓,Arko Unu (Y),mh3g-id-res-game-array+mh3u-legacy-display-list
31,飞虫闪雷弓,Arko Du (Y),mh3g-id-res-game-array+mh3u-legacy-display-list
32,飞虫狂雷弓,Arko Tri (Y),mh3g-id-res-game-array+mh3u-legacy-display-list
33,猎弓Ⅰ,Hunter's Bow I,mh3g-id-res-game-array+mh3u-legacy-display-list
34,猎弓Ⅱ,Hunter's Bow II,mh3g-id-res-game-array+mh3u-legacy-display-list
35,猎弓Ⅲ,Hunter's Bow III,mh3g-id-res-game-array+mh3u-legacy-display-list
36,猎人 Shoutbow I,Hunter's Shoutbow I,mh3g-id-res-game-array+mh3u-legacy-display-list
37,猎人 Shoutbow II,Hunter's Shoutbow II,mh3g-id-res-game-array+mh3u-legacy-display-list
38,勇气猎人弓,Hunter's Proudbow,mh3g-id-res-game-array+mh3u-legacy-display-list
39,迪欧斯之弓,Dios Flier,mh3g-id-res-game-array+mh3u-legacy-display-list
40,迪欧斯之弓改,Dios Flier +,mh3g-id-res-game-array+mh3u-legacy-display-list
41,爆碎之征矢,Demolition Bow,mh3g-id-res-game-array+mh3u-legacy-display-list
42,破岩弓伊克萨普罗德,Warflare Demolisher,mh3g-id-res-game-array+mh3u-legacy-display-list
43,６４式连装弓Ⅰ,Type 64 Multibow I,mh3g-id-res-game-array+mh3u-legacy-display-list
44,６４式连装弓Ⅱ,Type 64 Multibow II,mh3g-id-res-game-array+mh3u-legacy-display-list
45,破城重弓,Scorpion Zinger,mh3g-id-res-game-array+mh3u-legacy-display-list
46,龙头琴,Seahorse Harp,mh3g-id-res-game-array+mh3u-legacy-display-list
47,龙头琴【雨歌】,Reignhorse Harp,mh3g-id-res-game-array+mh3u-legacy-display-list
48,龙头琴【水戏】,Aquasteed Harp,mh3g-id-res-game-array+mh3u-legacy-display-list
49,女王冲击波Ⅰ,Queen Blaster I,mh3g-id-res-game-array+mh3u-legacy-display-list
50,女王冲击波Ⅱ,Queen Blaster II,mh3g-id-res-game-array+mh3u-legacy-display-list
51,女王冲击波Ⅲ,Queen Blaster III,mh3g-id-res-game-array+mh3u-legacy-display-list
52,穿心弓Ⅰ,Heartshot Bow I,mh3g-id-res-game-array+mh3u-legacy-display-list
53,穿心弓Ⅱ,Heartshot Bow II,mh3g-id-res-game-array+mh3u-legacy-display-list
54,穿心弓Ⅲ,Heartshot Bow III,mh3g-id-res-game-array+mh3u-legacy-display-list
55,射月女神,Selene Moonbroken,mh3g-id-res-game-array+mh3u-legacy-display-list
56,王弓远雷,Usurper's Rumble,mh3g-id-res-game-array+mh3u-legacy-display-list
57,王牙弓【稚雷】,Despot's Earlybolt,mh3g-id-res-game-array+mh3u-legacy-display-list
58,真・王牙弓【天命】,Oppressor's Answer,mh3g-id-res-game-array+mh3u-legacy-display-list
59,狱弓龙眼,Brimstren Drakesight,mh3g-id-res-game-array+mh3u-legacy-display-list
60,狼牙弓【邪狱】,Stygian Patientia,mh3g-id-res-game-array+mh3u-legacy-display-list
61,冰霜之冠,Ice Crest,mh3g-id-res-game-array+mh3u-legacy-display-list
62,雪绒花之弓,Edelweiss,mh3g-id-res-game-array+mh3u-legacy-display-list
63,琥牙弓雪崩之弧,Amber Arc Valanga,mh3g-id-res-game-array+mh3u-legacy-display-list
64,迅捷军弓,Lithe Saberbow,mh3g-id-res-game-array+mh3u-legacy-display-list
65,堕落和平,Fallenfriede,mh3g-id-res-game-array+mh3u-legacy-display-list
66,暴砂弓法鲁格耐德,Rafalga Sandraider,mh3g-id-res-game-array+mh3u-legacy-display-list
67,爆锤之弓,Brazencord,mh3g-id-res-game-array+mh3u-legacy-display-list
68,重弓赫拉基加斯,Gigacles,mh3g-id-res-game-array+mh3u-legacy-display-list
69,剛重弓吉加托马基亚,Gigantomachy,mh3g-id-res-game-array+mh3u-legacy-display-list
70,铬之琴弦Ⅰ,Chrome Corda I,mh3g-id-res-game-array+mh3u-legacy-display-list
71,弓 Corda Corda II,Corda Corda II,mh3g-id-res-game-array+mh3u-legacy-display-list
72,钢弓代达罗斯,Steel Daedalops,mh3g-id-res-game-array+mh3u-legacy-display-list
73,隐蔽猎弓Ⅰ,Hidden Bow I,mh3g-id-res-game-array+mh3u-legacy-display-list
74,隐蔽猎弓Ⅱ,Hidden Bow II,mh3g-id-res-game-array+mh3u-legacy-display-list
75,暗夜弓【影缝】,Night Flight,mh3g-id-res-game-array+mh3u-legacy-display-list
76,月蚀弓,Eclipse Bow,mh3g-id-res-game-array+mh3u-legacy-display-list
77,绿迅龙弓,Virnar Bow,mh3g-id-res-game-array+mh3u-legacy-display-list
78,突风弓【里影縫】,Midnight Farflight,mh3g-id-res-game-array+mh3u-legacy-display-list
79,雷电之矢Ⅰ,Boltsender I,mh3g-id-res-game-array+mh3u-legacy-display-list
80,雷电之矢Ⅱ,Boltsender II,mh3g-id-res-game-array+mh3u-legacy-display-list
81,高压雷电之矢,High Voltsender,mh3g-id-res-game-array+mh3u-legacy-display-list
82,新雷电之矢,Neo Voltsender,mh3g-id-res-game-array+mh3u-legacy-display-list
83,白雷弓博尔特克鲁兹,Acrus Whitebolt,mh3g-id-res-game-array+mh3u-legacy-display-list
84,冥雷战弓,Nether Battlebow,mh3g-id-res-game-array+mh3u-legacy-display-list
85,冥弓恩库艾斯塔,Nether Emprestador,mh3g-id-res-game-array+mh3u-legacy-display-list
86,角龙角弓Ⅰ,Diablos Hornbow I,mh3g-id-res-game-array+mh3u-legacy-display-list
87,角龙角弓Ⅱ,Diablos Hornbow II,mh3g-id-res-game-array+mh3u-legacy-display-list
88,强风角弓,Galebender,mh3g-id-res-game-array+mh3u-legacy-display-list
89,角王弓强风之角,Cera Coilbender,mh3g-id-res-game-array+mh3u-legacy-display-list
90,刚角王弓角龙之角,Cera Cyclord,mh3g-id-res-game-array+mh3u-legacy-display-list
91,维多利亚Ⅰ,Ala Victoria I,mh3g-id-res-game-array+mh3u-legacy-display-list
92,维多利亚Ⅱ,Ala Victoria II,mh3g-id-res-game-array+mh3u-legacy-display-list
93,祈弓维多利亚,Prayerful Victoria,mh3g-id-res-game-array+mh3u-legacy-display-list
94,方舟女神,Ark Diosa,mh3g-id-res-game-array+mh3u-legacy-display-list
95,皇弓弗洛尼卡,Arken Victrine,mh3g-id-res-game-array+mh3u-legacy-display-list
96,漠浪弓,Worldseer's Bow,mh3g-id-res-game-array+mh3u-legacy-display-list
97,漠浪弓【砂紋】,Worldseer's Proof,mh3g-id-res-game-array+mh3u-legacy-display-list
98,漠浪弓【丰穣】,Worldseer's Bounty,mh3g-id-res-game-array+mh3u-legacy-display-list
99,煌黑强弓,Alatreon Bow,mh3g-id-res-game-array+mh3u-legacy-display-list
100,煌黑弓阿尔卡尼斯,Alatreon Commandment,mh3g-id-res-game-array+mh3u-legacy-display-list
101,神灭弓阿尔卡尼斯,Altheos Incanonis,mh3g-id-res-game-array+mh3u-legacy-display-list
102,强狩猎弓,Arca Raptora,mh3g-id-res-game-array+mh3u-legacy-display-list
103,古代狩猎弓,Arca Chaotica,mh3g-id-res-game-array+mh3u-legacy-display-list
104,远古狩猎弓,Arca Insantia,mh3g-id-res-game-array+mh3u-legacy-display-list
105,米吉多凤凰,Megiddo Phoenix,mh3g-id-res-game-array+mh3u-legacy-display-list
106,凤凰具现弓矢,The Rysurrection,mh3g-id-res-game-array+mh3u-legacy-display-list
107,旗鱼弓【粗】,Morsel Bowfish,mh3g-id-res-game-array+mh3u-legacy-display-list
108,旗鱼弓【三枚卸】,Ample Bowfish,mh3g-id-res-game-array+mh3u-legacy-display-list
109,旗鱼弓【姿造】,Viand Bowfish,mh3g-id-res-game-array+mh3u-legacy-display-list
110,鹿角弹弓,Kelbi Stingshot,mh3g-id-res-game-array+mh3u-legacy-display-list
111,鹿角刚弹弓,Kelbi Strongshot,mh3g-id-res-game-array+mh3u-legacy-display-list
112,大鹿角破弾弓,Great Kelbi Deershot,mh3g-id-res-game-array+mh3u-legacy-display-list
113,竹取弓,Bamboo Taketori,mh3g-id-res-game-array+mh3u-legacy-display-list
114,竹取弓【翁】,Bamboo Okina,mh3g-id-res-game-array+mh3u-legacy-display-list
115,竹取弓【伽具夜】,Bamboo Kaguya,mh3g-id-res-game-array+mh3u-legacy-display-list
116,DUMMY 116,DUMMY 116,mh3g-id-res-game-array+placeholder
