id,name,english,source
1,轻皮背心,Leather Vest,
2,锁链背心,Chainmail Vest,
3,洛克拉克上衣,Loc Lac Shawl,
4,猎人铠甲,Hunter's Mail,
5,猎人炼甲,Hunter's Vest,
6,骨制铠甲,Bone Mail,
7,骨制炼甲,Bone Vest,
8,合金铠甲,Alloy Mail,
9,合金炼甲,Alloy Vest,
10,狗龙铠甲,Jaggi Mail,
11,狗龙炼甲,Jaggi Vest,
12,飞虫上衣,Bnahabra Suit,
13,飞虫背心,Bnahabra Vest,
14,草食龙铠甲,Rhenoplos Mail,
15,草食龙炼甲,Rhenoplos Vest,
16,彩鸟铠甲,Qurupeco Mail,
17,彩鸟炼甲,Qurupeco Vest,
18,水兽铠甲,Ludroth Mail,
19,水兽炼甲,Ludroth Vest,
21,眠狗龙铠甲,Baggi Mail,
22,眠狗龙炼甲,Baggi Vest,
23,土砂龙铠甲,Barroth Mail,
24,土砂龙炼甲,Barroth Vest,
25,灯鱼龙铠甲,Gobul Mail,
26,灯鱼龙炼甲,Gobul Vest,
29,公会精英上衣,Guild Bard Bolero,
30,公会精英背心,Guild Bard Vest,
31,店员上衣,Scholar's Blouse,
32,店员背心,Scholar's Vest,
33,雌火龙铠甲,Rathian Mail,
34,雌火龙炼甲,Rathian Vest,
35,毒怪龙铠甲,Gigginox Mail,
36,毒怪龙炼甲,Gigginox Vest,
37,高合金铠甲,Ingot Mail,
38,高合金炼甲,Ingot Vest,
39,海龙铠甲,Lagiacrus Mail,
40,海龙炼甲,Lagiacrus Vest,
41,雄火龙铠甲,Rathalos Mail,
42,雄火龙炼甲,Rathalos Vest,
43,冰牙龙铠甲,Barioth Mail,
44,冰牙龙炼甲,Barioth Vest,
45,角龙铠甲,Diablos Mail,
46,角龙炼甲,Diablos Vest,
47,爆锤龙铠甲,Uragaan Mail,
48,爆锤龙炼甲,Uragaan Vest,
49,炎戈龙铠甲,Agnaktor Mail,
50,炎戈龙炼甲,Agnaktor Vest,
51,太阳神铠甲,Helios Mail,
52,太阳神炼甲,Helios Vest,
53,月神铠甲,Selene Mail,
54,月神炼甲,Selene Vest,
55,毒狗龙铠甲,Wroggi Mail,
56,毒狗龙炼甲,Wroggi Vest,
57,青熊兽铠甲,Arzuros Mail,
58,青熊兽炼甲,Arzuros Vest,
59,白兔兽铠甲,Lagombi Mail,
60,白兔兽炼甲,Lagombi Vest,
61,赤甲兽铠甲,Volvidon Mail,
62,赤甲兽炼甲,Volvidon Vest,
63,潜口龙铠甲,Nibelsnarf Mail,
64,潜口龙炼甲,Nibelsnarf Vest,
