id,name,english,source
1,双刀,Matched Slicers,
2,双刀改,Matched Slicers +,
3,决斗双刀,Dual Slicers,
4,双战斧,Dual Hatchets,
5,双战斧改,Dual Hatchets +,
6,双斧战风,Dual Cleavers +,
7,飓风,Hurricane,
8,飓风改,Hurricane +,
9,龙卷风,Cyclone,
10,旋风双战斧,Tornado Hatchets,
11,台风,Typhoon,
12,迪欧斯之刃,Dios Slicers,
13,迪欧斯之刃改,Dios Slicers +,
14,爆碎之双刃,Demolition Blades,
15,破岩双刃阿尔克巴雷诺,Spectral Demolisher,
16,教团细剑,Sworn Rapiers,
17,教团细剑改,Sworn Rapiers +,
18,神圣军刀,HOly Sabers,
19,公会骑士军刀,Guild Knight Sabers,
20,大师军刀,Master Sabers,
21,双电锯,Twin Chainsaws,
22,双电锯改,Twin Chainsaws +,
23,断首双剑,Guillotines,
24,机神双锯,Golem's Saws,
25,机神双锯【罗刹】,Golem's Maneaters,
26,５１式武装棍棒,Type 51 Macerators,
27,扑杀双剑,Deathsnarfs,
28,刚扑杀双剑,Uber Deathsnarfs,
29,昆虫指令,Insecticutters,
30,昆虫指令改,Insecticutters +,
31,昆虫撕裂者,Insectirippers,
32,昆虫利刃,Insectiscythes,
33,甲刃昆虫领主,Entomotheos,
34,灯鱼龙麻痹叉,Gobul Stunprongs,
35,灯鱼龙麻痹叉改,Gobul Stunprongs +,
36,针剑灯鱼龙脉冲,Plegion Stunsword,
37,狗龙镰剑,Jaggid Shotels,
38,狗龙镰剑改,Jaggid Shotels +,
39,王者镰剑,Leader's Shotels,
40,火焰风暴,Flamestorm,
41,火焰风暴改,Flamestorm +,
42,沙罗曼蛇,Salamanders,
43,伊格尼斯新星,Ignis Noire,
44,炎焰刀因菲罗,Agnaktor Inferno,
45,双极刃斯提海尔,Dichotomy,
46,精灵双刃埃雷蒙达,Elemenders,
47,双重十字架,Twin Acrus,
48,双重十字架改,Twin Acrus +,
49,雷双剑双重十字架,Levin Acrus,
50,新双重十字架,Neo Twin Acrus,
51,白雷十字双剑,Neo Acrus Whitebolt,
52,骨铐,Bone Scythes,
53,骨铐改,Bone Scythes +,
54,双弯刀,Chief's Scythes,
55,水兽双剑,Ludroth Pair,
56,水兽双剑改,Ludroth Pair +,
57,水兽王双剑,Double Droth,
58,迅龙双刃,Hidden Gemini,
59,夜天连刃【黑翼】,Night Wings,
60,绿迅龙双刃,Virnar Slicers,
61,旋风连刃【里黑翼】,Midnight Blackwings,
62,月蚀连刃,Eclipse Slicers,
63,七星连刃【揺光】,Alkaid's Asterism,
64,王双刃旗雷,Usurper's Fulgur,
65,王牙双刃【土雷】,Despot's Blitz,
66,真・王牙双刃【天业】,Oppressor's Miracle,
67,冥雷对剑,Nether Twinblades,
68,冥双剑恩托拉奇,Nether Confidants,
69,狱双刃龙爪,Brimstren Drakeclaws,
70,狼牙双刃【雷狱】,Stygian Superbia,
71,水龙双刀,Plesioth Cutlasses,
72,水龙双刀改,Plesioth Cutlasses +,
73,水龙双猎刃,Plesioth Machetes,
74,翠绿双剑,Verdant Slashers,
75,巨浪双剑,Alluvion Slashers,
76,战扇刃翠玉录,Jade Plesioth Fans,
77,战扇舞刃翠玉录,Jade Battlefanzers,
78,鲜血之翼,Bloodwings,
79,鲜血之翼改,Bloodwings +,
80,猛毒之翼,Venom Wings,
81,邪翼刃玛卡玛卡,Grimgrim Wings,
82,邪翼刃尼狄吉亚,Grimmest Noxwings,
83,雷击之翼,Boltgeist,
84,双翼刃电怪雷鸣,Double Boltwings,
85,闪雷刃电怪轰雷,Double Deathbolts,
86,双炎,Brother Flames,
87,高级双炎,Brother Blazes,
88,双剑龙炎,Wyvern Lovers,
89,激龙双剑,Wyvern Strife,
90,光龙双剑,Wyvern Conciliation,
91,暴雪双刃,Snow Slicers,
92,暴雪双刃改,Snow Slicers +,
93,暴雪霜冻刃,Snow Sisters,
94,涅槃暴风雪,Blizzarioths,
95,涅槃暴风雪改,Blizzarioths +,
96,冻刻剑暴风雪,Raider's Icecarvers,
97,暴风刃库洛恩提,Ventus Vindictus,
98,乱猎刃维杰耐度,Raider's Savagery,
99,角龙双剑,Diablos Bashers,
100,角龙双剑改,Diablos Bashers +,
101,角龙双剑破碎者,Diablos Mashers,
102,十字角龙双剑,Diablos Sinidex,
103,混沌角龙双剑,Sinistrus Dextraos,
104,愤怒双刃,Wrath & Rancor,
105,恐暴双巨刃,Wrathful Predation,
106,尼禄的暴怒,Nero's Wrath,
107,Wron 刃s,Wron Blades,
108,风化的双剑,Weathered Blades,
109,封龙剑【超绝一门】,Enduring Schism,
110,封龙剑【真绝一门】,Enduring Sacrifice,
111,墨丘利双刃,Mercury Edges,
112,尼普顿双刃,Neptune Edges,
113,海王双刃奥西恩斯,Pelagic Deublades,
114,奇面案山子,Shaka Scarecrows,
115,奇面案山子【朋友】,Chum Scarecrows,
116,奇面案山子【相棒】,Chum-Chum Scarecrows,
117,贪吃鬼套装,Glutton's Tools,
118,刀叉组合,Gorger's Tools,
119,双剑煮炒,Stewbry Stirfoils,
120,匠双剑烤王,Deepshake Frybakers,
121,米吉多新星,Megiddo Nova,
122,神罚天火之双刃,The Fistolution,
125,超硬质双剑,Bushido,
