id,name,english,source
1,身体,Chest,mh3u-legacy-display-list
2,手臂,Arms,mh3u-legacy-display-list
3,腰部,Waist,mh3u-legacy-display-list
4,腿部,Legs,mh3u-legacy-display-list
5,头部,Head,mh3u-legacy-display-list
6,护石,Talisman,mh3u-legacy-display-list
7,大剑,Great Sword,mh3u-legacy-display-list
8,片手剑,Sword & Shield,mh3u-legacy-display-list
9,大锤,Hammer,mh3u-legacy-display-list
10,长枪,Lance,mh3u-legacy-display-list
11,重弩,Heavy Bowgun,mh3u-legacy-display-list
13,轻弩,Light Bowgun,mh3u-legacy-display-list
14,太刀,Long Sword,mh3u-legacy-display-list
15,斩击斧,Switch-Axe,mh3u-legacy-display-list
16,铳枪,Gunlance,mh3u-legacy-display-list
17,弓,Bow,mh3u-legacy-display-list
18,双剑,Dual Blades,mh3u-legacy-display-list
19,狩猎笛,Hunting Horn,mh3u-legacy-display-list
