id,name,english,source
1,钢铁铳枪,Iron Gunlance,
2,钢铁铳枪改,Iron Gunlance +,
3,精钢铳枪,Steel Gunlance,
4,讨伐队正式铳枪,Striker's Gunlance,
5,近卫队正式铳枪,Defender's Gunlance,
6,帝国铳枪,Imperial Guardlance,
7,将军铳枪,General's Arbalance,
8,提督铳枪,Admiral's Arbalance,
9,铳枪 Imperial Snornlance,Imperial Snornlance,
10,迅龙铳枪,Hidden Gunlance,
11,迅龙铳枪改,Hidden Gunlance +,
12,夜铳枪【残月】,Fading Night,
13,月蚀铳枪,Eclipse Gunlance,
14,铳枪 Elioth's Asterism,Elioth's Asterism,
15,绿迅龙铳枪,Virnar Gunlance,
16,猛风铳枪【里残月】,End of Night,
17,红色城墙,Red Rook,
18,红色城墙改,Red Rook +,
19,血腥城墙,Crimson Rook,
20,银色城墙,Silver Rook,
21,银色战车,Chariot Gun,
22,世界末日,World's Demise,
23,古代旋转式铳枪,Ancient Gyrelance,
24,古代歼灭式铳枪,Ancient Gyresmite,
25,创世纪,Progenesis,
26,６２式突击铳枪,Type 62 Stormlance,
27,兵士铳枪,Assault Stormlance,
28,战争元帅,War Marshal,
29,赤兽铳枪,Shattershot,
30,赤兽重铳,Shatter Ace,
31,赤兽烈铳,Shatter God,
32,海龙爆裂枪,Lagia Burst,
33,海龙爆裂枪改,Lagia Burst +,
34,雷铳枪海神龙,Exlagia Gunlance,
35,新海龙爆裂枪,Neo Lagia Burst,
36,白雷铳枪莱奥纳多,Eutaxy Whitebolt,
37,白雷铳枪莱奥纳多改,Eutaxy Whitebolt +,
38,冥雷铳枪,Nether Gunlance,
39,冥铳枪恩格雷姆,Nether Jugulus,
40,迪欧斯铳枪,Dios Gunlance,
41,迪欧斯铳枪改,Dios Gunlance +,
42,爆碎之铳枪,Demolition Gunlance,
43,破岩铳枪兹沃尔塔,Zvolta Demolisher,
44,白兔铳枪,Lagomberator,
45,白兔射线,Lagomberatrix,
46,铳枪 Lagmbalanche,Lagmbalanche,
47,火焰喷射器,Flamethrower,
48,火焰喷射器改,Flamethrower +,
49,铳枪 Agna Magna,Agna Magna,
50,火山风暴,Agna Vulcan,
51,混沌火山风暴,Causta Agnavulcan,
52,水流喷射器,Waterthrower,
53,水流风暴,Agna Aqua,
54,水流杀手,Rheo Agnacorso,
55,骨铳枪,Bone Gunlance,
56,大骨銃槍,Great Bone Gunlance,
57,龙骨铳枪,Wyvern Bone Gunlance,
58,土砂龙装载机,Barroth Loader,
59,土砂龙装载机改,Barroth Loader +,
60,岩块装载机,Rugged Loader,
61,污泥螺纹,Roscasludge,
62,断崖螺纹,Roscascarp,
63,冰碎铳枪,Vaskaclast,
64,冰碎铳枪改,Vaskaclast +,
65,恶魂螺纹,Roscaghast,
66,平衡螺纹,Roscavalanche,
67,狗龙铳枪,Jaggid Gunlance,
68,狗龙铳枪改,Jaggid Gunlance +,
69,飓风铳枪,Hurricane Gunlance,
70,公主烈炎,Princess Panoply,
71,公主烈炎改,Princess Panoply +,
72,奥鲁特林迪,Ortlinde,
73,女王烈炎,Queen's Panoply,
74,煌铳枪伊修塔尔,Shining Ishtar,
75,王铳枪刚雷,Usurper's Roar,
76,王牙铳枪【火雷】,Despot's Phlogiston,
77,真・王牙铳枪【震天】,Oppressor's Skyfall,
78,狱铳枪龙血,Brimstren Drakeblood,
79,狼牙铳枪【贪狱】,Stygian Avaritia,
80,彩鸟帷幕,Peco Teepee,
81,彩鸟帷幕改,Peco Teepee +,
82,梦幻帷幕,Dreamy Teepee,
83,雷霆之羽,Thunder Feather,
84,铳枪 Thudnerbird,Thudnerbird,
85,雷霆方舟,Thunder Ark,
86,海洋捕鱼者,Marine Fisher,
87,深海捕鱼者,Abyssal Fisher,
88,深蓝之海,Deep Blue Sea,
89,海王枪利维亚桑,Leviathan Gunlance,
90,海神枪利维亚桑,Diviathan Gunlance,
91,愚欲之铳枪,Ravenous Gunlance,
92,暴铳枪格拉格里德,Insatiable Gunlance,
93,尼禄的贪婪,Nero's Greed,
94,碎牙炮,Fangbreaker,
95,崩牙炮,Fangdemonium,
96,峯铳枪【喷牙】,Jhen Mortalis,
97,严重风化的铳枪,Worn Gunlance,
98,风化的铳枪,Weathered Gunlance,
99,巨神兵守卫,Obelisk,
100,冥界之主,Deus Obelisk,
101,米吉多熔炉,Megiddo Forge,
102,堕落修罗炽烈铳枪,The Disasualty,
103,艾琉铳枪,Felyoshka,
104,艾琉铳枪改,Felyoshka +,
105,福福艾琉铳枪,Felicitous Felyoshka,
106,唐炮,Cornpopper,
107,唐炮改,Cornpopper +,
108,大唐炮,Mighty Cornpopper,
109,白银皇冠,Baron's Blazon,
111,黄金皇冠,Marquis's Blazon,
113,白金皇冠,Duke's Blazon,
114,雷霆祈祷,Lightning Blaze,
