id,name,english,source
1,钢铁大剑,Iron Sword,
2,钢铁大剑改,Iron Sword +,
3,巨剑,Buster Sword,
4,巨剑改,Buster Sword +,
5,巨刃,Buster Blade,
6,爆炎剑,Ravager Blade,
7,爆炎剑改,Ravager Blade +,
8,上级爆炎剑,Lacerator Blade,
9,大师爆炎剑,Devastator Blade,
10,铬合金之刃,Chrome Razor,
11,铬合金死亡之刃,Chrome Quietus,
12,爆锤大剑,Brazenwall,
13,红莲爆锤大剑,Crimsonwall,
14,断崖大剑,Cragscliff,
15,断崖剑歌利亚,Goliath's Scream,
16,迅龙爆炎,Hidden Blade,
17,暗夜剑【宵暗】,Dark of Night,
18,无明大剑【苦谛】,Avidya Great Sword,
19,月蚀烈焰,Eclipse Blade,
20,七星大剑【巨门】,Merak's Asterism,
21,４１式对飞龙大剑,Type 41 Wyvernator,
22,雷玛鲁柯达,Remalgalypse,
23,雷玛鲁戈鲁工,Remalgagorgon,
24,狂暴大剑,Rugged Great Sword,
25,族长大剑,Chieftain's Grt Swd,
26,族长大剑【我王】,High Chief's Grt Swd,
27,海龙大剑,Lagiacrus Blade,
28,海龙大剑改,Lagiacrus Blade +,
29,海龙王大剑,High Lagia Blade,
30,雷剑海龙王,Lagia Lightning,
31,雷迅剑海龙王,Lagia Wildfire,
32,白海龙大剑,Neo Lagia Blade,
33,雷皎剑海龙王,Lagia Fulmination,
34,王大剑风雷,Usurper's Storm,
35,王牙大剑【黑雷】,Despot's Blackstorm,
36,真・王牙大剑【一天】,Oppressor's Forger,
37,牙王・加鲁巴鲁库,Orcus Tonitrus,
38,冥雷大剑,Nether Great Sword,
39,冥大剑恩法卡鲁斯,Nether Lufactrus,
40,狱大剑龙耀,Brimstren Drakepride,
41,狼牙大剑【边狱】,Stygian Acedia,
42,土砂龙大剑,Carapace Sword,
43,土砂龙大剑改,Carapace Blade,
44,土砂龙猛击,Barroth Smasher,
45,极光大剑,Aurora Blade,
46,北极光,Northern Lights,
47,北极十字星,Northern Cross,
48,维京角剑,Viking Hornsword,
49,海王剑安卡利乌斯,Ancharius Sword,
50,海帝剑艾克斯卡洛斯,Excalius Sword,
51,骨刃,Bone Blade,
52,骨刃改,Bone Blade +,
53,腭刀,Jawblade,
54,巨大腭刀,Giant Jawblade,
55,红色羽翼,Red Wing,
56,炎剑里奥雷乌斯,Rathalos Firesword,
57,焰剑里奥雷乌斯,Rathalos Flamesword,
58,蓝色羽翼,Blue Wing,
59,煌剑里奥雷乌斯,Rathalos Glinsword,
60,辉剑里奥雷乌斯,Rathalos Gleamsword,
61,迪欧斯大剑,Dios Blade,
62,迪欧斯大剑改,Dios Blade +,
63,爆碎之大剑,Demolition Sword,
64,破岩大剑迪欧霍克利,Myxo Demolisher,
65,女武神之刃,Valkyrie Blade,
66,吉克琳迪,Sieglinde,
67,强化吉克琳迪,High Sieglinde,
68,提坦尼亚,Titania,
69,樱红贵妇人,Blushing Dame,
70,苍樱大剑,Ljósálfar,
71,苍樱大剑改,Brünnhilde,
72,吉克姆特,Siegmund,
73,强化吉克姆特,High Siegmund,
74,赤红之零,Reddnaught,
75,奥伯龙,Auberon,
76,苍白凯撒,Pale Kaiser,
77,巨象刃,Golem Blade,
78,刚剑塔罗斯,Blade of Talos,
79,刚断剑塔耳塔洛斯,Blade of Tartarus,
80,龙腭刀,Wyvern Jawblade,
81,喧哗之角,Quarrel Hornsword,
82,喧哗之角改,Quarrel Hornsword +,
83,双角剑,Double Diablos,
84,角龙剑塔里托,Cera Cigil,
85,角王健阿提拉托,Cera Cymmetry,
86,水流大剑,Ludroth Bone Sword,
87,暴雨大剑,Cataclysm Sword,
88,暴雨巨刃,Cataclysm Blade,
89,冰柱之牙,Icicle Fang,
90,冰柱之牙改,Icicle Fang +,
91,白骑士,Paladire,
92,砂之牙,Galespike,
93,暴砂剑西蒙砂钩,Simoom Sandbarb,
94,暴风砂剑西蒙砂咬,Simoom Sandbiter,
95,鳍剑,Finblade,
96,水剑水龙,Plesioth Watercutter,
97,水刃剑水龙,Plesioth Aquablade,
98,苍剑催眠曲,Plesioth Lullaby,
99,苍刃剑摇篮曲,Plesioth Lullabane,
100,龙之腰剑,Wyvern's Perch,
101,毒断伞菌,Roguish Deathcap,
102,大毒断伞菌,Lordly Deathcap,
103,紫水兽大剑,Amethyst Blade,
104,苦毒大剣紫水晶,Miasmethyst,
105,狂战士之剑,Berserker Sword,
106,恐暴龙大剑,Anguish,
107,强化恐暴龙大剑,Nero's Anguish,
108,冷冻金枪鱼,Frozen Speartuna,
109,冷冻本金枪鱼,Freezer Speartuna,
110,瞬间冷冻本金枪鱼,Xiphias Gladius,
111,熔岩烈剑,Vulcanis,
112,熔岩烈剑改,Vulcanis +,
113,强化熔岩烈剑,Vulcanvil,
114,爆裂熔岩烈剑,Vulcamagnon,
115,爆裂熔岩巨刃,Vulcatastrophe,
116,大剑 Vulca Vendette,Vulca Vendette,
117,腐锈大剑,Rusted Great Sword,
118,锈大剑,Tarnished Great Swd,
119,远古大剑,Ancient Blade,
120,远古历剑,Elder Monument,
121,永恒碑文,Eternal Glyph,
122,严重风化的大剑,Worn Great Sword,
123,风化的大剑,Weathered Great Swd,
124,远古龙大剑,Epitaph Blade,
125,远古龙刚剑,Epitaph Eternal,
126,煌黑大剑,Alatreon Great Sword,
127,煌黑大剑阿鲁雷波,Alatreon Revolution,
128,神灭大剑阿鲁雷波,Altheos Evolutia,
129,米吉多之烈焰,Megiddo Blaze,
130,灭亡死神灼热之剑,The Depotheosis,
133,真・轰断剑,Lion's Bane,
134,Ｊ船长之剑,Anima Reaper,
135,仁剑【侠客行】,Eisenfaust,
