id,name,english,source
1,钢铁重锤,Iron Hammer,
2,钢铁重锤改,Iron Hammer +,
3,战锤,War Hammer,
4,战锤改,War Hammer +,
5,战斗权杖,War Mace,
6,强袭铁锤,Iron Striker,
7,强袭铁锤改,Iron Striker +,
8,冲击铁锤,Iron Impact,
9,安维尔重锤,Anvil Hammer,
10,激锤奥斯洛特,Onslaught,
11,枪锤,Gun Hammer,
12,死亡左轮,Deadeye Revolver,
13,爆裂左轮,Burst Revolver,
14,水龙头锤,Plesioth Head,
15,水龙头锤改,Plesioth Head +,
16,水龙破坏者,Plesioth Breaker,
17,御头加诺福尔德,Verde Plesioth Head,
18,翠水帅郎培尔加诺,Green Ronperagon,
19,仙石槌【响】,"Fang Hammer ""Echo""",
20,仙石槌【崩】,"Fang Hammer ""Ruin""",
21,峯山鎚莫兰,Jhen Mohran Hammer,
22,赤甲锤,Binding Bludgeon,
23,甲锤巨人,Armored Gogue,
24,大锤 Armured Megagogue,Armured Megagogue,
25,海龙重锤,Vortex Hammer,
26,海龙重锤改,Vortex Hammer +,
27,海神重锤,High Vortex Hammer,
28,雷锤漩涡雷神,Vortical Hammer,
29,雷迅锤涡雷神,Vortastrophe,
30,海龙雷击,Lagio Voltega,
31,雷击锤漩涡轰雷,Lagio Vortivolte,
32,冰霜核心,Frozen Core,
33,科库托斯,Cocytus,
34,冰铁哈巴克,Pykrete Punisher,
35,彩鸟打火石,Plume Flint,
36,彩鸟燧石,Peco Flint,
37,彩鸟点火器,Peco Igniter,
38,彩鸟电石,Peco Lectro,
39,彩鸟雷击,Peco Lightning,
40,電光锤莱琵卡,Peco Lectrocution,
41,红色冲击,Red Bludgeon,
42,红色冲击改,Red Bludgeon +,
43,火龙碎弗拉肯,Huracan Hammer,
44,苍火锤弗拉肯,Huracan Blueblaze,
45,苍火锤里奥马鲁斯泰德,Rathalos Martesta,
46,苍炎锤里奥弗洛吉奥,Rathalos Blueblazon,
47,星碎锤大流星,Leonid Starcrusher,
48,星灭锤大恒星,Svarog Starsmasher,
49,迪欧斯之尾,Dios Tailhammer,
50,迪欧斯之尾改,Dios Tailhammer +,
51,爆碎之破锤,Demolition Hammer,
52,大锤 Novagia Demolisher,Novagia Demolisher,
53,花瓣麻锤,Numbingbird,
54,花冠麻锤,Paralykeet,
55,诱惑莲花,Alluring Lotus,
56,花苞麻锤,Plegia Bocciolo,
57,费奥雷麻锤,Plegia Fior,
58,幻想麻锤,Plegia Fantasia,
59,王锤神雷,Usurper's Thunder,
60,王牙锤【大雷】,Despot's Crackle,
61,真・王牙锤【破天】,Oppressor's Sway,
62,冥雷战锤,Nether Warhammer,
63,冥锤恩古莱尼尔,Nether Jarngrolnir,
64,狱锤龙喉,Brimstren Drakemaw,
65,狼牙锤【食狱】,Stygian Industria,
66,骨锤,Bone Hammer,
67,骨锤改,Bone Hammer +,
68,大锤 Boue Bludgeon,Boue Bludgeon,
69,大锤 Boue Bludgeon +,Boue Bludgeon +,
70,尾槌之尾,Jupiter's Sphere,
71,刚锤尾槌龙,Duramboros Fellmace,
72,大刚锤尾槌龙重击,Archambra Fellmace,
73,大刚锤尾槌龙重击改,Archambra Fellmace +,
74,大刚锤尾槌龙猛击,Archambra Resurgence,
75,迅龙破坏者,Hidden Breaker,
76,迅龙破坏者改,Hidden Breaker +,
