id,name,english,source
0,无装备,None,mh3g-id-res-game-array+placeholder
1,骨射手,Bone Blaster,mh3g-id-res-game-array+mh3u-legacy-display-list
2,骨射手改,Bone Blaster +,mh3g-id-res-game-array+mh3u-legacy-display-list
3,骨头爆裂者,Bone Buster,mh3g-id-res-game-array+mh3u-legacy-display-list
4,妃龙炮【远击】,Queen's Longfire,mh3g-id-res-game-array+mh3u-legacy-display-list
5,妃龙炮【飞击】,Queen's Farflier,mh3g-id-res-game-array+mh3u-legacy-display-list
6,妃龙炮【姫击】,Queen's Scionfire,mh3g-id-res-game-array+mh3u-legacy-display-list
7,后妃龙炮【樱花】,Empress's Blossom,mh3g-id-res-game-array+mh3u-legacy-display-list
8,后妃龙炮【山樱】,Empress's Flower,mh3g-id-res-game-array+mh3u-legacy-display-list
9,后妃龙炮【八重樱】,Empress's Garden,mh3g-id-res-game-array+mh3u-legacy-display-list
10,白兔火炮,Spheniscine Slayer,mh3g-id-res-game-array+mh3u-legacy-display-list
11,白兔王火炮,Spheniscine Ruler,mh3g-id-res-game-array+mh3u-legacy-display-list
12,白兔凯撒炮,Spheniscine Overlord,mh3g-id-res-game-array+mh3u-legacy-display-list
13,白兔火神炮,Spheniscine God,mh3g-id-res-game-array+mh3u-legacy-display-list
14,青熊筒,Arzuros Gun,mh3g-id-res-game-array+mh3u-legacy-display-list
15,青熊轰筒,Arzuros Rumblegun,mh3g-id-res-game-array+mh3u-legacy-display-list
16,青熊轰筒【川渔】,Arzuros Fishergun,mh3g-id-res-game-array+mh3u-legacy-display-list
17,青熊大轰筒【豪腕】,Arzuros Ace,mh3g-id-res-game-array+mh3u-legacy-display-list
18,４６式潜伏重炮Ⅰ,Type 46 Gunflage I,mh3g-id-res-game-array+mh3u-legacy-display-list
19,４６式潜伏重炮Ⅱ,Type 46 Gunflage II,mh3g-id-res-game-array+mh3u-legacy-display-list
20,４６式潜伏重炮Ⅲ,Type 46 Gunflage III,mh3g-id-res-game-array+mh3u-legacy-display-list
21,潜炮潜蛇,Nibelflage Prototype,mh3g-id-res-game-array+mh3u-legacy-display-list
22,潜壕炮大蛇,Super Trench Snarfer,mh3g-id-res-game-array+mh3u-legacy-display-list
23,水龙水压炮,Pressurized Plaser,mh3g-id-res-game-array+mh3u-legacy-display-list
24,水龙水压炮改,Pressurized Plaser +,mh3g-id-res-game-array+mh3u-legacy-display-list
25,佛得角水手,Verdant Washbuckler,mh3g-id-res-game-array+mh3u-legacy-display-list
26,佛得角船长,Captain Verde,mh3g-id-res-game-array+mh3u-legacy-display-list
27,彩鸟重弩,Tropeco Gun,mh3g-id-res-game-array+mh3u-legacy-display-list
28,彩鸟重弩・彩,Tropeco Flambogun,mh3g-id-res-game-array+mh3u-legacy-display-list
29,重弩 Pecopius Gun,Pecopius Gun,mh3g-id-res-game-array+mh3u-legacy-display-list
30,Pecopius 雷,Pecopius Thunder,mh3g-id-res-game-array+mh3u-legacy-display-list
