id,name,english,source
1,轻皮头盔,Leather Headgear,
2,潜水面具,Piscine Mask,
3,锁链头盔,Chainmail Headgear,
4,猎人头盔,Hunter's Helm,
5,猎人战帽,Hunter's Cap,
6,骨制头盔,Bone Helm,
7,骨制战帽,Bone Cap,
8,合金头盔,Alloy Helm,
9,合金战帽,Alloy Cap,
10,小狗龙头盔,Jaggi Helm,
11,狗龙战帽,Jaggi Cap,
12,飞虫贵族帽,Bnahabra Hat,
13,飞虫头饰,Bnahabra Headpiece,
14,草食龙头盔,Rhenoplos Helm,
15,草食龙战帽,Rhenoplos Cap,
16,彩鸟头盔,Qurupeco Helm,
17,彩鸟战帽,Qurupeco Cap,
18,水兽头盔,Ludroth Helm,
19,水兽战帽,Ludroth Cap,
20,眠狗龙头盔,Baggi Helm,
21,眠狗龙战帽,Baggi Cap,
22,土砂龙头盔,Barroth Helm,
23,土砂龙战帽,Barroth Cap,
24,灯鱼龙头盔,Gobul Helm,
25,灯鱼龙战帽,Gobul Cap,
28,公会精英头盔,Guild Bard Lobos,
29,公会精英帽子,Guild Bard Hat,
30,店员头巾,Scholar's Beret,
31,店员贝雷帽,Scholar's Cap,
32,雌火龙头盔,Rathian Helm,
33,雌火龙战帽,Rathian Cap,
34,毒怪龙头盔,Gigginox Helm,
35,毒怪龙战帽,Gigginox Cap,
36,高合金头盔,Ingot Helm,
37,高合金战帽,Ingot Cap,
38,海龙头盔,Lagiacrus Helm,
39,海龙战帽,Lagiacrus Cap,
40,雄火龙头盔,Rathalos Helm,
41,雄火龙战帽,Rathalos Cap,
42,冰牙龙头盔,Barioth Helm,
43,冰牙龙战帽,Barioth Cap,
44,角龙头盔,Diablos Helm,
45,角龙战帽,Diablos Cap,
46,爆锤龙头盔,Uragaan Helm,
47,爆锤龙战帽,Uragaan Cap,
48,炎戈龙头盔,Agnaktor Helm,
49,炎戈龙战帽,Agnaktor Cap,
50,太阳神头盔,Helios Helm,
51,太阳神战帽,Helios Cap,
52,月神头盔,Selene Helm,
53,月神战帽,Selene Cap,
54,毒狗龙头盔,Wroggi Hat,
55,毒狗龙战帽,Wroggi Cap,
56,青熊兽头盔,Arzuros Helm,
57,青熊兽战帽,Arzuros Cap,
58,白兔兽头盔,Lagombi Helm,
59,白兔兽战帽,Lagombi Cap,
60,赤甲兽头盔,Volvidon Helm,
61,赤甲兽战帽,Volvidon Cap,
62,潜口龙头盔,Nibelsnarf Helm,
63,潜口龙战帽,Nibelsnarf Cap,
64,尾槌龙头盔,Duramboros Helm,
65,尾槌龙战帽,Duramboros Cap,
66,结云斗笠,Yukumo Kasa,
73,轻皮头盔Ｓ,Leather Helm S,
74,轻皮战帽Ｓ,Leather Cap S,
75,潜水面具Ｓ,Piscine Mask S,
76,鱼龙 潜水帽 S,Piscine Snorket S,
77,锁链头盔Ｓ,Chainmail Helm S,
78,锁链战帽Ｓ,Chainmail Cap S,
79,猎人头盔Ｓ,Hunter's Helm S,
80,猎人战帽Ｓ,Hunter's Cap S,
81,骨制头盔Ｓ,Bone Helm S,
82,骨制战帽Ｓ,Bone Cap S,
83,合金头盔Ｓ,Alloy Helm S,
84,合金战帽Ｓ,Alloy Cap S,
85,狗龙头盔Ｓ,Jaggi Helm S,
86,狗龙战帽Ｓ,Jaggi Cap S,
87,飞虫贵族帽Ｓ,Bnahabra Hat S,
88,飞虫头饰Ｓ,Bnahabra Headpiece S,
89,草食龙头盔Ｓ,Rhenoplos Helm S,
90,草食龙战帽Ｓ,Rhenoplos Cap S,
91,垂皮头罩,Slagtoth Hood,
92,垂皮头帽,Slagtoth Cowl,
93,彩鸟头盔Ｓ,Qurupeco Helm S,
94,彩鸟战帽Ｓ,Qurupeco Cap S,
95,红彩鸟头盔Ｕ,Qurupeco Helm U,
96,红彩鸟战帽Ｕ,Qurupeco Cap U,
97,水兽头盔Ｓ,Ludroth Helm S,
98,水兽战帽Ｓ,Ludroth Cap S,
99,紫水兽头盔Ｕ,Ludroth Helm U,
100,紫水兽战帽Ｕ,Ludroth Cap U,
101,眠狗龙头盔Ｓ,Baggi Helm S,
102,眠狗龙战帽Ｓ,Baggi Cap S,
103,毒狗龙头盔Ｓ,Wroggi Hat S,
104,毒狗龙战帽Ｓ,Wroggi Cap S,
105,青熊兽头盔Ｓ,Arzuros Helm S,
106,青熊兽战帽Ｓ,Arzuros Cap S,
107,白兔兽头盔Ｓ,Lagombi Helm S,
108,白兔兽战帽Ｓ,Lagombi Cap S,
109,赤甲兽头盔Ｓ,Volvidon Helm S,
