id,name,english,source
0,无装备,None,mh3g-id-res-game-array+placeholder
1,金属风笛,Metal Bagpipe,mh3g-id-res-game-array+mh3u-legacy-display-list
2,金属风笛改,Metal Bagpipe +,mh3g-id-res-game-array+mh3u-legacy-display-list
3,巨风笛,Great Bagpipe,mh3g-id-res-game-array+mh3u-legacy-display-list
4,重风笛,Heavy Bagpipe,mh3g-id-res-game-array+mh3u-legacy-display-list
5,重风笛改,Heavy Bagpipe +,mh3g-id-res-game-array+mh3u-legacy-display-list
6,巨响大笛,Fortissimo,mh3g-id-res-game-array+mh3u-legacy-display-list
7,钢铁风笛,Rinforzato,mh3g-id-res-game-array+mh3u-legacy-display-list
8,王琴轰雷,Usurper's Growl,mh3g-id-res-game-array+mh3u-legacy-display-list
9,王牙琴【鸣雷】,Despot's Thunderclap,mh3g-id-res-game-array+mh3u-legacy-display-list
10,狱琴龙歌,Brimstren Drakesong,mh3g-id-res-game-array+mh3u-legacy-display-list
11,狼牙琴【异狱】,Stygian Tristitia,mh3g-id-res-game-array+mh3u-legacy-display-list
12,迅龙笛,Hidden Harmonic,mh3g-id-res-game-array+mh3u-legacy-display-list
13,夜笛【逢魔】,Cry in the Night,mh3g-id-res-game-array+mh3u-legacy-display-list
14,月蚀笛,Eclipse Tone,mh3g-id-res-game-array+mh3u-legacy-display-list
15,彩鸟号角,Qurupeco Horn,mh3g-id-res-game-array+mh3u-legacy-display-list
16,彩鸟喇叭,Qurupeco Trumpet,mh3g-id-res-game-array+mh3u-legacy-display-list
17,彩鸟重喇叭,Qurupeco Honker,mh3g-id-res-game-array+mh3u-legacy-display-list
18,贵族喇叭,Magnifico Trumpet,mh3g-id-res-game-array+mh3u-legacy-display-list
19,淘气蛊惑者,Imperilude,mh3g-id-res-game-array+mh3u-legacy-display-list
20,６３式军乐口风琴,Type 63 Warmonica,mh3g-id-res-game-array+mh3u-legacy-display-list
21,潜口风琴欢乐和声,Snarfonix,mh3g-id-res-game-array+mh3u-legacy-display-list
22,军奏,Soldier's Snarfonica,mh3g-id-res-game-array+mh3u-legacy-display-list
23,土砂笙【战之音】,Sandpipe,mh3g-id-res-game-array+mh3u-legacy-display-list
24,土砂笙【兽之音】,Sandcrier,mh3g-id-res-game-array+mh3u-legacy-display-list
25,土砂笙【严之音】,Sandscreecher,mh3g-id-res-game-array+mh3u-legacy-display-list
