id,name,english,source
2,调合书①入门篇,Book of Combos 1,dex-exact
3,调合书②初级篇,Book of Combos 2,dex-exact
4,调合书③中级篇,Book of Combos 3,dex-exact
5,调合书④上级篇,Book of Combos 4,dex-exact
6,调合书⑤达人篇,Book of Combos 5,dex-exact
7,收纳上手・技之书,Organizer Guide,dex-exact
8,收纳上手・力之书,Pack Rat Guide,dex-exact
9,回复药,Potion,dex-exact
10,回复药Ｇ,Mega Potion,dex-exact
11,营养剂,Nutrients,dex-exact
12,营养剂Ｇ,Mega Nutrients,dex-exact
13,解毒药,Antidote,dex-exact
14,活力剂,Immunizer,dex-exact
15,强走药,Dash Juice,dex-exact
16,强走药Ｇ,Mega Dash Juice,dex-exact
17,鬼人药,Demondrug,dex-exact
18,鬼人药Ｇ,Mega Demondrug,dex-exact
19,怪力药丸,Might Pill,dex-exact
20,硬化药,Armorskin,dex-exact
21,硬化药Ｇ,Mega Armorskin,dex-exact
22,忍耐药丸,Adamant Pill,dex-exact
23,冷饮,Cool Drink,dex-exact
24,热饮,Hot Drink,dex-exact
25,消散剂,Cleanser,dex-exact
26,千里眼药,Psychoserum,dex-exact
27,汉方药,Herbal Medicine,dex-exact
28,秘药,Max Potion,dex-exact
29,远古秘药,Ancient Potion,dex-exact
30,增强剂,Catalyst,dex-exact
31,提神饮料,Energy Drink,dex-exact
32,增息药,Air Philter,dex-exact
33,增息药Ｇ,Mega Air Philter,dex-exact
34,爆药,Gunpowder,dex-exact
35,生命之粉,Lifecrystals,dex-exact
36,生命粉尘,Lifepowder,dex-exact
37,谜之护符,Mystery Charm,dex-exact
38,闪光护符,Shining Charm,dex-exact
39,古老护符,Timeworn Charm,dex-exact
40,风化护符,Enduring Charm,dex-exact
41,力之护符,Powercharm,dex-exact
42,力之爪,Powertalon,dex-exact
43,守之护符,Armorcharm,dex-exact
44,守之爪,Armortalon,dex-exact
45,捕获用麻醉药,Tranquilizer,dex-exact
46,生肉,Raw Meat,dex-exact
47,毒生肉,Poisoned Meat,dex-exact
48,麻痹生肉,Tinged Meat,dex-exact
49,睡眠生肉,Durgged Meat,dex-alias
50,没烤熟的肉,Rare Steak,dex-exact
51,烤熟的肉,Well-done Steak,dex-exact
52,焦肉,Burnt Meat,dex-exact
53,热肉,Hot Meat,dex-exact
54,冷肉,Chilled Meat,dex-exact
55,天然粉色肝,Pink Liver,dex-exact
56,异国的角龙肉,Ethnic Wyvrnmeat,dex-exact
57,回旋镖,Boomerang,dex-exact
58,投掷匕首,Throwing Knife,dex-exact
59,毒投掷匕首,Poison Knife,dex-exact
60,催眠投掷匕首,Slee Knife,dex-alias
61,麻痹投掷匕首,Paralysis Knife,dex-exact
62,捕获用麻醉匕首,Tranq Knife,dex-exact
63,素材弹,Bomb Casing,dex-exact
64,染色球,Paintball,dex-exact
65,闪光弹,Flash Bomb,dex-exact
66,音爆弹,Sonic Bomb,dex-exact
67,怪物的粪,Dung,dex-exact
68,特大尺寸的粪便,Super-sized Dung,dex-exact
69,肥沃的泥巴,Fertile Mud,dex-exact
70,肥料弹,Dung Bomb,dex-exact
71,烟雾弹,Smoke Bomb,dex-exact
72,毒烟雾弹,Poison Smoke Bmb,dex-exact
73,返回弹,Farcaster,dex-exact
74,捕获用麻醉弹,Tranq Bomb,dex-exact
75,氧气弹,Oxygen Supply,dex-exact
76,蜘蛛巢,Spider Web,dex-exact
77,网,Net,dex-exact
78,陷阱工具,Trap Tool,dex-exact
79,陷阱,Pitfall Trap,dex-exact
80,麻痹陷阱,Shock Trap,dex-exact
81,小桶,Small Barrel,dex-exact
82,大桶,Large Barrel,dex-exact
83,小桶爆弹,Barrel Bomb S,dex-exact
84,小桶爆弹Ｇ,Barrel Bomb S +,dex-exact
85,大桶爆弹,Barrel Bomb L,dex-exact
86,大桶爆弹Ｇ,Barrel Bomb L +,dex-exact
87,飞空爆弹,Bounce Bomb,dex-exact
88,飞空爆弹Ｇ,Bounce Bomb +,dex-exact
89,木天蓼爆弾,Felvine Bomb,dex-exact
90,空心果,Huskberry,dex-exact
91,空心骨【小】,Bone Husk S,dex-exact
92,空心骨【大】,Bone Husk L,dex-exact
93,LV1 通常弹,Normal S Lv1,dex-exact
94,LV2 通常弹,Normal S Lv2,dex-exact
95,LV3 通常弹,NOrmal S Lv3,dex-exact
96,LV1 贯通弹,Pierce S Lv1,dex-exact
97,LV2 贯通弹,Pierce S Lv2,dex-exact
98,LV3 贯通弹,Pierce S Lv3,dex-exact
99,LV1 散弹,Pellet S Lv1,dex-exact
100,LV2 散弹,Pellet S Lv2,dex-exact
101,LV3 散弹,Pellet S Lv3,dex-exact
102,LV1 穿甲榴弹,Crag S Lv1,dex-exact
103,LV2 穿甲榴弹,Crag S Lv2,dex-exact
104,LV3 穿甲榴弹,Crag S Lv3,dex-exact
105,LV1 扩散弹,Clust S Lv1,dex-exact
106,LV2 扩散弹,Clust S Lv2,dex-exact
107,LV3 扩散弹,Clust S Lv3,dex-exact
108,火炎弹,Flaming S,dex-exact
109,水冷弹,Water S,dex-exact
110,电击弹,Thunder S,dex-exact
111,冰结弹,Freeze S,dex-exact
112,灭龙弹,Draong S,dex-alias
113,LV1 回复弹,Recov S Lv1,dex-exact
114,LV2 回复弹,Recov S Lv2,dex-exact
115,LV1 毒弹,Poison S Lv1,dex-exact
116,LV2 毒弹,Poison S Lv2,dex-exact
117,LV1 麻痹弹,Para S Lv1,dex-exact
118,LV2 麻痹弹,Para S Lv2,dex-exact
119,LV1 睡眠弹,Sleep S Lv1,dex-exact
120,LV2 睡眠弹,Sleep S Lv2,dex-exact
121,捕获用麻醉弹,Tranq S,dex-exact
122,染色弹,Paint S,dex-exact
123,鬼人弹,Demon S,dex-exact
125,硬化弹,Armor S,dex-exact
127,LV1 水中弹,Sub S Lv1,dex-exact
128,LV2 水中弹,Sub S Lv2,dex-exact
129,LV1 灭气弹,Exhaust S Lv1,dex-exact
130,LV2 灭气弹,Exhaust S Lv2,dex-exact
131,斩裂弹,Slicing S,dex-exact
134,龙击弹,WyvernFire,dex-exact
135,水中用弩弹,UW Ballista Ammo,dex-exact
136,(无瓶),(No Coating),need-review
137,空瓶,Empty Phial,dex-exact
138,强击瓶,Power Coating,dex-exact
139,接击瓶,C. Range Coating,dex-exact
140,毒瓶,Poison Coating,dex-exact
141,麻痹瓶,Para Coating,dex-exact
142,睡眠瓶,Sleep Coating,dex-exact
143,灭气瓶,Exhaust Coating,dex-exact
144,染色瓶,Paint Coating,dex-exact
146,蚯蚓鱼饵,Worm,dex-exact
148,苍蝇鱼饵,Mega Fishing Fly,dex-exact
149,青蛙鱼饵,Frog,dex-exact
150,切味鱼团子,Whetfish Bait,dex-exact
151,刺身鱼团子,Shushifish Bait,dex-alias
152,金枪鱼团子,Tuna Bait,dex-exact
154,黄金团子,Goldenfish Bait,dex-exact
155,龙鱼团子,Burst Bait,dex-exact
157,破铁镐,Old Pickaxe,dex-exact
158,铁镐,Iron Pickaxe,dex-exact
159,铁镐Ｇ,Mega Pickaxe,dex-exact
160,破虫网,Old Bug Net,dex-exact
161,虫网,Bug Net,dex-exact
162,虫网Ｇ,Mega Bug Net,dex-exact
163,捕鱼鱼叉,Fishing Harpoon,dex-exact
164,捕鱼鱼叉Ｇ,Mega Harpoon,dex-exact
165,烤肉架,BBQ Spit,dex-exact
166,连续烤肉架,Double BBQ Spit,dex-exact
167,砥石,Whetstone,dex-exact
168,望远镜,Binoculars,dex-exact
169,不可燃垃圾,Carbage,dex-alias
170,角笛,Field Horn,dex-exact
171,回复笛,Health Horn,dex-exact
172,解毒笛,Antidote Horn,dex-exact
173,鬼人笛,Demon Horn,dex-exact
174,硬化笛,Armor Horn,dex-exact
175,蜂蜜,Honey,dex-exact
176,药草,Herb,dex-exact
177,解毒草,Antidote Herb,dex-exact
178,火药草,Fire Herb,dex-exact
180,常春藤叶,Ivy,dex-exact
