id,name,english,source
1,耐毒珠【1】,Antidote Jewel 1,
2,耐毒珠【2】,Antidote Jewel 2,
3,耐麻痹珠【1】,Paralysis Jwl 1,
4,耐麻痹珠【2】,Paralysis Jwl 2,
5,耐眠珠【1】,Pep Jewel 1,
6,耐眠珠【2】,Pep Jewel 2,
7,耐绝珠【1】,Steadfast Jwl 1,
8,耐泥雪珠【1】,Standfast Jwl 1,
9,千里珠【1】,Tracker Jewel 1,
10,搬运珠【1】,Trekker Jewel 1,
11,防盗珠【1】,Ninja Jewel 1,
12,体力珠【1】,Vitality Jewel 1,
13,早复珠【1】,Reovery Jewel 1,
14,早复珠【2】,Reovery Jewel 2,
15,斩铁珠【1】,Razor Jewel 1,
16,斩铁珠【3】,Razor Jewel 3,
17,匠珠【2】,Handicraft Jwl 2,
18,匠珠【3】,Handicraft Jwl 3,
19,剑术珠【1】,Fencer Jewel 1,
20,剑术珠【3】,Fencer Jewel 3,
21,达人珠【1】,Expert Jewel 1,
22,达人珠【2】,Expert Jewel 2,
23,达人珠【3】,Expert Jewel 3,
24,研磨珠【1】,Grinder Jewel 1,
25,铁壁珠【1】,Ironwall Jewel 1,
26,铁壁珠【2】,Ironwall Jewel 2,
27,强壁珠【1】,Shield Jewel 1,
28,强壁珠【2】,Shield Jewel 2,
29,速填珠【1】,Quickload Jwl 1,
30,速填珠【2】,Quickload Jwl 2,
31,抑反珠【1】,Absorber Jewel 1,
32,抑反珠【3】,Absorber Jewel 3,
33,强弹珠【1】,Forceshot Jwl 1,
34,强弹珠【3】,Forceshot Jwl 3,
35,贯通珠【1】,Pierce Jewel 1,
36,贯通珠【3】,Pierce Jewel 3,
37,散弹珠【1】,Pellet Jewel 1,
38,散弹珠【3】,Pellet Jewel 3,
39,通常弹珠【1】,ShotPlus Jewel 1,
40,通常弹珠【2】,Shield Jewel 2,
41,贯通追加珠【1】,PiercePlus Jwl 1,
43,散弹追加珠【1】,PelletPlus Jwl 1,
44,彻甲追加珠【1】,CragPLus Jewel 1,
45,扩散追加珠【1】,ClustPlus Jwl 1,
46,特攻珠【1】,Disabler Jewel 1,
47,特攻珠【2】,Disabler Jewel 2,
48,属攻珠【1】,Element Jewel 1,
49,属攻珠【3】,Element Jewel 3,
50,爆师珠【1】,Bombardier Jwl 1,
52,无食珠【1】,Hungerless Jwl 1,
53,代谢珠【1】,Metabolism Jwl 1,
54,攻击珠【1】,Attack Jewel 1,
55,攻击珠【2】,Attack Jewel 2,
56,攻击珠【3】,Attack Jewel 3,
57,防御珠【1】,Defense Jewel 1,
58,防御珠【2】,Defense Jewel 2,
59,加护珠【1】,Protection Jwl 1,
60,加护珠【1】,Asylum Jewel 1,
61,防音珠【1】,Earplug Jewel 1,
62,防音珠【3】,Earplug Jewel 3,
63,千里珠【1】,Alarm Jewel 1,
64,友爱珠【1】,Friendship Jwl 1,
65,友爱珠【2】,Friendship Jwl 2,
66,搬运珠【1】,Transportr Jwl 1,
67,耐火珠【1】,Fire Res Jewel 1,
68,耐水珠【1】,Water Res Jwl 1,
69,耐冰珠【1】,Ice Res Jewel 1,
70,耐雷珠【1】,Thunder Res Jwl 1,
71,耐龙珠【1】,Dragon Res Jwl 1,
72,耐暑珠【1】,Heat Res Jewel 1,
73,耐寒珠【1】,Cold Res Jewel 1,
74,防风珠【1】,Wind Res Jewel 1,
75,防风珠【2】,Wind Res Jewel 2,
77,采集珠【1】,Gathering Jwl 1,
78,速集珠【1】,Spree Jewel 1,
79,祝福珠【1】,Blessing Jewel 1,
80,运气珠【1】,Fate Jewel 1,
81,运气珠【3】,Fate Jewel 3,
83,千里珠【1】,Psychic Jewel 1,
84,治愈珠【1】,Medicine Jewel 1,
85,治愈珠【2】,Medicine Jewel 2,
86,博士珠【1】,Professor Jwl 1,
87,弹制珠【1】,Factory Jewel 1,
88,回避珠【1】,Evasion Jewel 1,
89,回避珠【2】,Evasion Jewel 2,
90,底力珠【1】,Potential Jwl 1,
91,底力珠【2】,Potential Jwl 2,
92,持久珠【1】,Enduring Jewel 1,
93,强走珠【1】,Sprinter Jewel 1,
94,强走珠【3】,Sprinter Jewel 3,
95,装填珠【2】,Capacity Jewel 2,
96,装填珠【3】,Capacity Jewel 3,
97,点射珠【1】,Sniper Jewel 1,
98,早食珠【1】,Gobbler Jewel 1,
99,早食珠【3】,Gobbler Jewel 3,
100,剥取珠【1】,Carver Jewel 1,
101,剥取珠【3】,Carver Jewel 3,
102,抗震珠【1】,Footing Jewel 1,
103,抗震珠【1】,Tectonic Jewel 1,
105,跳跃珠【1】,Jumping Jewel 1,
107,拔刀珠【1】,Draw Jewel 1,
108,拔刀珠【2】,Draw Jewel 2,
109,陷阱珠【1】,Trapmaster Jwl 1,
110,体术珠【1】,Physique Jewel 1,
111,体术珠【2】,Physique Jewel 2,
112,捕获珠【1】,Capture Jewel 1,
113,捕获珠【3】,Capture Jewel 3,
114,观察珠【1】,Perception Jwl 1,
115,短缩珠【1】,Charger Jewel 1,
116,短缩珠【3】,Charger Jewel 3,
117,氧气珠【1】,Fresh Air Jwl 1,
118,流水珠【1】,Stopflow Jewel 1,
119,游泳珠【1】,Swimmer Jewel 1,
120,潜水珠【1】,Diver Jewel 1,
121,底力珠【1】,Gambit Jewel 1,
