id,name,english,source
1,铁枪,Iron Lance,
2,铁枪改,Iron Lance +,
3,士兵长枪,Thane Lance,
4,士兵长枪改,Thane Lance +,
5,骑士长枪,Knight Lance,
6,莱因哈特,Rampart,
7,莱因哈特改,Rampart +,
8,巴别塔,Babel Spear,
9,长枪 Eleder Babel Spear,Eleder Babel Spear,
10,失落巴别塔,Lost Babel,
11,钻头长枪,Drill Lance,
12,强力钻头长枪,Megadrill Lance,
13,巨钻头长枪,Gigadrill Lance,
14,赤尾,Red Tail,
15,地狱火,Hellfire,
16,日珥枪,Spear of Prominence,
17,红色日珥,Red Prominence,
18,银色日珥,Silver Prominence,
19,太阳神日珥,Sol Prominence,
20,蓝尾,Blue Tail,
21,蓝色日珥,Blue Prominence,
22,日珥之魂,Soul of Prominence,
23,冰牙长枪,Tusk Lance,
24,Tush长枪改,Tush Lance +,
25,剑齿虎长枪,Sabertooth,
26,风牙长枪,Shiera Stolrata,
27,风牙冻结长枪,Shiera Vitalica,
28,蔚蓝之冠,Azure Crest,
29,蔚蓝之冠改,Azure Crest +,
30,蔚蓝王者,Great Azure,
31,蓝色旗帜,Bandera Azul,
32,水流长枪,Aqua Spear,
33,水流长枪改,Aqua Spear +,
34,风暴长枪,Stream Spear,
35,翠玉长枪,Emerald Spear,
36,海流枪埃斯梅拉达,Esmeralda's Tide,
37,催眠曲长枪,Rockabye Spear,
38,镇魂曲长枪,Requiem Spear,
39,海龙枪,Acrus Lance,
40,海龙枪改,Acrus Lance +,
41,海龙王枪,High Acrus Lance,
42,雷枪多利丝,Doris Spear,
43,安菲特里特,Amphitrite,
44,新海龙枪,Neo Acrus Lance,
45,白雷枪盖乌斯,Gaius Whitebolt,
46,冥雷の武槍,Nether Warlance,
47,冥枪恩特鲁托利亚,Nether Terracontier,
48,狂战尾槌枪,Boros Spear,
49,狂战尾槌枪改,Boros Spear +,
50,山冲尾槌枪,Temblor Illboros,
51,千兆岩块长枪,Giga Sassoboros,
52,长枪 Tromblor Granboros,Tromblor Granboros,
53,阴影标枪,Shadow Javelin,
54,阴影标枪改,Shadow Javelin +,
55,剧毒标枪,Toxic Javelin,
56,毒枪安兹鲁贝拉,Iron Noxnymph,
57,长枪 Luinox thee Thirsty,Luinox thee Thirsty,
58,迅龙刺针,Hidden Stinger,
59,暗夜枪【黑雨】,Night Rains Black,
60,无明枪【集谛】,Avidya Lance,
61,月蚀长枪,Eclipse Lance,
62,七星枪【天枢】,Dubhe's Asterism,
63,骨枪,Bone Lance,
64,骨枪改,Bone Lance +,
65,长骨,Longhorn Spear,
66,长骨改,Longhorn Spear +,
67,兽骨标枪,Longtusk Spear,
68,长枪 Pleshasta,Pleshasta,
69,草食龙破坏者,Rhenohasta,
70,角龙长枪,Diablos Lance,
71,角枪角龙,Diablos Spear,
72,角王枪恶魔之角,Cera Creos,
73,黑色风暴,Black Tempest,
74,黑色风暴改,Black Tempest +,
75,上升风暴,Rising Tempest,
76,灯鱼龙长枪,Gobulu Muruka,
77,灯鱼龙长枪改,Gobulu Muruka +,
78,灯鱼龙刚枪,Gobuluku Muraaka,
79,灯鱼龙重枪,Gobulaluku Bosca,
80,灯鱼龙王枪,Gobulaluku Aquir,
81,坚岩长枪,Rugged Lance,
82,坚岩长枪改,Rugged Lance +,
83,削枪土砂龙,Barroth Carver,
84,粉碎长枪,Crusher Lance,
85,冰枪边疆之盾,Bordenshkiold's Ice,
86,冰碎枪北极,Arktika's Ice,
87,王枪天雷,Usurper's Coming,
88,王牙枪【若雷】,Despot's Cacophony,
89,真・王牙枪【天冲】,Oppressor's Genesis,
90,狱枪龙尾,Brimstren Draketail,
91,狼牙枪【怒狱】,Stygian Ira,
92,螺旋炎枪,Spiral Heat,
