id,name,english,source
1,十字弩炮,Cross Bowgun,
2,クロスボウガン改,Cross Bowgun +,
3,十字迅雷弩,Cross Blitz,
4,猎人步枪,Hunter's Rifle,
5,聚集步枪,Sniper Shot,
6,升天步枪,Sniper Ascension,
7,土砂龙轻弩,Barro Barrel,
8,土砂龙轻弩改,Barrel Barrel +,
9,土砂龙火箭炮,Barrozooka,
10,闪耀极光,Aurora Flare,
11,极光发射器,Avalauncher,
12,冰川节奏,Glacialahti,
13,北极加农炮,Arctica Cannon,
14,迪欧斯冲击,Dios Blaster,
15,迪欧斯冲击改,Dios Blaster +,
16,爆碎之光弩,Demolition Gun,
17,破岩弩巴利斯泰特,Ballista Demolisher,
18,狗龙之火,Jaggid Fire,
19,眠狗龙之火,Bandit Fire,
20,眠狗龙之怒,Bandit's Rage,
21,野蛮之怒,Merciless Rage,
22,水兽射手,Royal Launcher,
23,水兽强射手,Royal Torrent,
24,水兽洪水弩,Royal Inundation,
25,漩涡之弩,Maelstrom,
26,漩涡之弩改,Maelstrom +,
27,流弩加诺斯特诺姆,Plesioth Drencher,
28,翠玉风暴,Jade Storm,
29,翠玉暴风雨,Jade Tempest,
30,灯鱼龙轻弩,Gobul Shooter,
31,暗红炮,Crimson Angler,
32,暗红炮改,Crimson Angler +,
33,灯鱼龙巨弩,Zhen Angler,
34,灯鱼龙王弩,Gobul Ganador,
35,猛毒赠物,Poison Stinger,
36,猛毒遗产,Poison Aftermath,
37,永恒枷锁,Immortal Shackle,
38,永恒囚禁,Immortal Gaol,
39,永恒监牢,Immortal Prison,
40,血腥结合,Bloothirsty Binder,
41,深红寻求者,Crimson Seeker,
42,死之追迹者,Deadly Chaser,
43,悲伤幽灵,Specter of Grief,
44,暴雪加农炮,Blizzard Cannon,
45,暴雪地狱,Blizzard Volley,
46,暴雪时刻,Tabula Blizzara,
47,Diamon 霜,Diamon Frost,
48,轻弩 Diamon Crest,Diamon Crest,
49,女武神之火,Valkyrie Fire,
50,女武神烈焰,Valkyrie Flame,
51,女武神业火,Valkyrie Blaze,
52,女武神之心,Valkyrie's Heart,
53,樱花连弩,Pinkocutioner,
54,缭乱对弩,Blossomayhem,
55,迅龙轻弩,Hidden Eye,
56,夜行弩【枭之眼】,Night Owl,
57,轻弩 Vimar Gazer,Vimar Gazer,
58,狂风弩【鹰之眼】,Squallhawk,
59,月蚀轻弩,Eclipse Gazer,
60,雷炮雷鸣十字,Thundacrus,
61,雷炮雷鸣十字改,Thundacrus +,
62,雷迅炮雷鸣十字,Thundacrus Rex,
63,新雷鸣十字,Neo Thundacrus,
64,白雷炮埃克莱尔,Eclair Whitebolt,
65,火龙炮,Rathling Gun,
66,业火龙炮,Rathling Doombringer,
67,凤仙火龙炮,Rathling Phoenix,
68,苍火龙炮【炎天】,Azurathling Skysear,
69,苍火龙炮【烈日】,Azurathling Sunsear,
70,王弩雷枪,Usurper's Crime,
71,王牙弩【野雷】,Despot's Wildfire,
72,真・王牙弩【天鼓】,Oppressor's Rift,
73,牙王・巴鲁泽路德,Orcus Barqus,
74,冥弩恩普洛克斯,Nether Phloxion,
75,狼牙弩【反獄】,Stygian Invidia,
76,贝尔克兹弩,Durambarrel,
77,金牛座巨弩,Taurambarrel,
78,巨级弩恒星,Aldebaran Dreadgun,
79,猛牛弩【一角】,Horn of Taurus,
80,猛牛弩【天角】,Crown of Taurus,
81,恐暴机关枪,Devil's Grin,
82,狂暴领主弩,Devil's Madness,
83,业弩黑暗狂人,"Diregun ""Dementia""",
84,灭弩黑暗狂人,"Doomgun ""Dementia""",
85,鬼岛,Demon's Isle,
86,大鬼岛,Demon's Island,
87,吹吹茶釜,Kettleblower,
88,吹吹茶枪,Kettleblower Deluxe,
89,名器吹吹茶枪,Master Kettleblower,
90,神岛,God's Isle,
91,大神岛【出云】,God's Island,
92,大神島【神在月】,God's Archipelago,
93,瓢弹,Gourd Shot,
94,瓢弾【百成】,Teasel Shot,
95,瓢弹【千成】,Crookneck Shot,
96,将命运烧尽之枪弹,The Willuminator,
