id,name,english,source
1,轻皮具足,Leather Pants,
2,潜水裤,Piscine Breeches,
3,锁链具足,Chainmail Pants,
4,洛克拉克皮靴,Loc Lac Boots,
5,猎人重靴,Hunter's Greaves,
6,猎人轻靴,Hunter's Leggings,
7,骨制重靴,Bone Greaves,
8,骨制轻靴,Bone Leggings,
9,合金重靴,Alloy Greaves,
10,合金轻靴,Alloy Leggings,
11,狗龙重靴,Jaggi Greaves,
12,狗龙轻靴,Jaggi Leggings,
13,飞虫之靴,Bnahabra Boots,
14,飞虫之足,Bnahabra Pants,
15,草食龙重靴,Rhenoplos Greaves,
16,草食龙轻靴,Rhenoplos Leggings,
17,彩鸟重靴,Qurupeco Greaves,
18,彩鸟轻靴,Qurupeco Leggings,
19,水兽重靴,Ludroth Greaves,
20,水兽轻靴,Ludroth Leggings,
21,眠狗龙重靴,Baggi Greaves,
22,眠狗龙轻靴,Baggi Leggings,
23,土砂龙重靴,Barroth Greaves,
24,土砂龙轻靴,Barroth Leggings,
25,灯鱼龙重靴,Gobul Greaves,
26,Greaves护腿,Greaves Leggings,
29,公会精英之靴,Guild Bard Boots,
30,公会精英之足,Guild Bard Gaiters,
31,店员短袜,Scholar's Socks,
32,店员凉鞋,Scholar's Sandals,
33,雌火龙重靴,Rathian Greaves,
34,雌火龙轻靴,Rathian Leggings,
35,毒怪龙重靴,Gigginox Greaves,
36,毒怪龙轻靴,Gigginox Leggings,
37,高合金重靴,Ingot Greaves,
38,高合金轻靴,Ingot Leggings,
39,海龙重靴,Lagiacrus Greaves,
40,海龙轻靴,Lagiacrus Leggings,
41,雄火龙重靴,Rathalos Greaves,
42,雄火龙轻靴,Rathalos Leggings,
43,冰牙龙重靴,Barioth Greaves,
44,冰牙龙轻靴,Barioth Leggings,
45,角龙重靴,Diablos Greaves,
46,角龙轻靴,Diablos Leggings,
47,爆锤龙重靴,Uragaan Greaves,
48,爆锤龙轻靴,Uragaan Leggings,
49,炎戈龙重靴,Agnaktor Greaves,
50,炎戈龙轻靴,Agnaktor Leggings,
51,太阳神重靴,Helios Greaves,
52,太阳神轻靴,Helios Leggings,
53,月神重靴,Selene Greaves,
54,月神轻靴,Selene Leggings,
55,毒狗龙重靴,Wroggi Greaves,
56,毒狗龙轻靴,Wroggi Leggings,
57,青熊兽重靴,Arzuros Greaves,
58,青熊兽轻靴,Arzuros Leggings,
59,白兔兽重靴,Lagombi Greaves,
60,白兔兽轻靴,Lagombi Leggings,
61,赤甲兽重靴,Volvidon Greaves,
62,赤甲兽轻靴,Volvidon Leggings,
63,潜口龙重靴,Nibelsnarf Greaves,
64,潜口龙轻靴,Nibelsnarf Leggings,
65,尾槌龙重靴,Duramboros Greaves,
66,尾槌龙轻靴,Duramboros Leggings,
67,结云长裤,Yukumo Hakama,
76,轻皮重靴Ｓ,Leather Greaves S,
77,轻皮轻靴Ｓ,Leather Leggings S,
78,潜水裤Ｓ,Piscine Breeches S,
79,潜水靴Ｓ,Piscine Leggings S,
80,锁链重靴Ｓ,Chainmail Greaves S,
81,锁链轻靴Ｓ,Chainmail Leggings S,
82,洛克拉克皮靴Ｓ,Loc Lac Boots S,
83,洛克拉克护腿Ｓ,Loc Lac Gaiters S,
84,猎人重靴Ｓ,Hunter's Greaves S,
85,猎人轻靴Ｓ,Hunter's Leggings S,
86,骨制重靴Ｓ,Bone Greaves S,
87,骨制轻靴Ｓ,Bone Leggings S,
88,合金重靴Ｓ,Alloy Greaves S,
89,合金轻靴Ｓ,Alloy Leggings S,
90,狗龙重靴Ｓ,Jaggi Greaves S,
91,狗龙轻靴Ｓ,Jaggi Leggings S,
92,飞虫之靴Ｓ,Bnahabra Boots S,
93,飞虫之足Ｓ,Bnahabra Pants S,
94,草食龙重靴Ｓ,Rhenoplos Greaves S,
95,草食龙轻靴Ｓ,Rhenoplos Leggings S,
96,彩鸟重靴Ｓ,Qurupeco Greaves S,
97,彩鸟轻靴Ｓ,Qurupeco Leggings S,
98,红彩鸟重靴Ｕ,Qurupeco Greaves U,
99,红彩鸟轻靴Ｕ,Qurupeco Leggings U,
100,水兽重靴Ｓ,Ludroth Greaves S,
101,护腿 护腿 S,Leggings Leggings S,
102,护腿 护腿 U,Leggings Greaves U,
103,护腿 护腿 U,Leggings Leggings U,
104,眠狗龙重靴Ｓ,Baggi Greaves S,
105,眠狗龙轻靴Ｓ,Baggi Leggings S,
106,毒狗龙重靴Ｓ,Wroggi Greaves S,
107,毒狗龙轻靴Ｓ,Wroggi Leggings S,
108,青熊兽重靴Ｓ,Arzuros Greaves S,
109,青熊兽轻靴Ｓ,Arzuros Leggings S,
110,白兔兽重靴Ｓ,Lagombi Greaves S,
111,白兔兽轻靴Ｓ,Lagombi Leggings S,
112,赤甲兽重靴Ｓ,Volvidon Greaves S,
113,赤甲兽轻靴Ｓ,Volvidon Leggings S,
114,土砂龙重靴Ｓ,Barroth Greaves S,
115,土砂龙轻靴Ｓ,Barroth Leggings S,
116,冰碎龙重靴Ｕ,Barroth Greaves U,
117,冰碎龙轻靴Ｕ,Barroth Leggings U,
118,灯鱼龙重靴Ｓ,Gobul Greaves S,
119,灯鱼龙轻靴Ｓ,Gobul Leggings S,
120,公会精英之靴Ｓ,Guild Bard Boots S,
121,公会精英之足Ｓ,Guild Bard Gaiters S,
122,店员短袜Ｓ,Scholar's Socks S,
123,店员凉鞋Ｓ,Scholar's Sandals S,
124,雌火龙重靴Ｓ,Rathian Greaves S,
125,雌火龙轻靴Ｓ,Rathian Leggings S,
126,樱火龙重靴,Rath Heart Greaves,
127,樱火龙轻靴,Rath Heart Leggings,
128,毒怪龙重靴Ｓ,Gigginox Greaves S,
129,毒怪龙轻靴Ｓ,Gigginox Leggings S,
130,毒怪龙重靴Ｓ,Gigginox Greaves S,
131,毒怪龙轻靴Ｓ,Gigginox Leggings S,
132,高合金重靴Ｓ,Ingot Greaves S,
