id,name,english,source
1,铁刀,Iron Katana,
2,铁刀【楔】,Iron Grace,
3,铁刀【神乐】,Iron Gospel,
4,锁链刀,Chainslaughter,
5,木灵乱刃,Rumbalarum,
6,刀锯【雷斩】,Thunder Saw,
7,王刀雷切,Usurper's Boltslicer,
8,王牙刀【伏雷】,Despot's Boltbreaker,
9,真・王牙刀【天威】,Oppressor's Law,
10,冥雷宝刀,Nether Katana,
11,冥刀恩库里西斯,Nether Dilemnity,
12,狼牙刀【恶狱】,Stygian Gula,
13,冻刃,Rimeblade,
14,冻刃【冰华】,Rimeblossom,
15,六花垂冰丸,Rime & Treason,
16,冰刃【雪月花】,Edel's Ice,
17,迅龙军刀,Hidden Saber,
18,迅龙军刀改,Hidden Saber +,
19,夜刀【月影】,Deepest Night,
20,月蚀军刀,Eclipse Saber,
21,七星刀【天権】,Megrez's Asterism,
22,绿迅龙军刀,Virnar Saber,
23,疾风刀【里月影】,Depths of Midnight,
24,毒狗龙太刀,Wroggi Sword,
25,猛毒之牙,Nightshade's Bite,
26,剧毒之牙,Belladonna's Bite,
27,雷刀迅雷,Thunderclap,
28,雷刀迅雷改,Thunderclap +,
29,神雷斩破刀,Heaven's Thunder,
30,天雷斩破刀,Heaven's Sunderer,
31,天雷斩破刀・真打,Truest Sunderer,
32,水龙太刀,Plesioth Splasher,
33,水龙太刀改,Plesioth Splasher +,
34,翠色怒涛,Verdant Splash,
35,翠色怒涛改,Verdant Splash +,
36,翠龙刀维鲁嘉里恩,Jade Vagalhao,
37,青熊薙,Arzuros Naginata,
38,青熊薙改,Arzuros Naginata +,
39,青熊长笔【留跳】,Arzuros Strikequill,
40,太刀 Gun Dao,Gun Dao,
41,太刀 Yan Yua Dao,Yan Yua Dao,
42,刚旋断牙刀【一断】,Yi Duan,
43,水兽太刀,Drowning Shaft,
44,凶浪水太刀,Douser Bardiche,
45,恶浪之瀑,Wasserfallis,
46,无力阔剑,Enfeebling Glaive,
47,脱力阔剑,Dispatcher Glaive,
48,衰弱阔剑,Asthenia Glaive,
49,骨刀【犬牙】,Canine Katana,
50,骨刀【豺牙】,Lupine Katana,
51,骨刀【狛牙】,Cerberus Katana,
52,骨刀阿难陀,Ananta Boneblade,
53,骨刀阿难陀改,Ananta Boneblade +,
54,骨缚刀【影缝】,Shadowbinder,
55,魂缚棍【不知火】,Soulbinder,
56,魂缚棍【腾魂】,Soulstrangler,
57,音叉之刃,Diapason,
58,音叉之刃改,Diapason +,
59,红莲音叉,Crimsonfork,
60,铬之玛祖卡,Chrome Mazurka,
61,铬之华尔兹,Chrome Waltz,
62,飛竜刀【双火】,"Wyvern Blade ""Fire""",
63,飞龙刀【双炎】,"Wyvern Blade ""Flame""",
64,飞龙刀【双红莲】,"Wyvern Blade ""Flare""",
65,飞龙刀【银】,"Wyvern Blade ""Pale""",
66,飞龙刀【椿】,"Wyvern Blade ""Bloom""",
67,飞龙刀【焰二重】,"Wyvern Blade ""Blaze""",
68,飞龙刀【八重樱】,"Wyvern Blade ""Rose""",
69,山割镰,Mountain Reaper,
70,山割大镰,Mountain Archreaper,
71,山薙野性狂闪,Wild Heights,
72,陆薙大崩塌,Grandfolly,
73,大陆薙灾祸,Tribulation,
74,鲜血十字,Bleeding Cross,
75,鲜血十字改,Bleeding Cross +,
76,毒刀坎塔雷拉,Mephitic Katana,
77,吸血鬼刀锋,Vampiric Edge,
78,太刀 Camilla Bloodsucker,Camilla Bloodsucker,
79,深红十字,Crimson Cross,
80,失落伊甸,Lost Eden,
81,流放之血,Banished Blood,
82,罪恶规条,Law of the Guilty,
83,火焰舞者,Dancing Flames,
84,地狱火焰舞者,Dancing Hellfire,
85,冻焰舞者,Principal Flame,
86,雪之塞壬,Snow Siren,
87,暴雪塞壬,Blizzard Siren,
88,冰冷女主角,Glacial Diva,
89,迪欧斯之剑,Dios Katana,
90,迪欧斯之剑改,Dios Katana +,
91,爆碎之大刀,Demolition Katana,
92,破岩刀霍姆拉,Pyro Demolisher,
93,南蛮刀,Barbarian Blade,
94,南蛮太刀【鲛斩】,"Barbarian ""Sharq""",
95,业物・九十九牙丸,Kibamaru,
96,米吉多太刀,Megiddo Katana,
97,炼狱裁断刀刃之锋,The Adjudition,
98,漆黑之爪,Dark Claw,
99,漆黑爪【终焉】,"Dark Claw ""Demise""",
100,神灭爪阿尔法利亚,Altheos Altrusta,
101,恐暴惩罚者之刀,"Reaver ""Cruelty""",
102,灾难惩罚者之刀,"Reaver ""Calamity""",
103,尼禄的灾祸,Nero's Calamity,
104,狂风吞噬者,Windeater,
105,暴风吞噬者,Soundeater,
106,风神刃,Zephyr,
107,太刀鱼大太刀,Hairtail's Hairblade,
108,鲜刀白凪,Fresh Hairblade,
109,特鮮太刀鱼潮,Premium Hairblade,
110,铁碎牙,Tenebra,
111,铁碎牙Ｄ,Tenebra D,
112,雷霆祷告剑,Rising Soul,
