id,name,english,source
1,骨斧,Bone Axe,
2,骨斧改,Bone Axe +,
3,碎骨斧,Bone Smasher,
4,猛击斧,Assault Axe,
5,猛击斧改,Assault Axe +,
6,闪击斧,Blitzkrieg,
7,闪击斧改,Blitzkrieg +,
8,堡垒闪击斧,Bastion Blitz,
9,迅斧,Hidden Axe,
10,暗夜斩斧【弦月】,Night's Crescent,
11,无明斩斧【灭谛】,Avidya Axe,
12,月蚀斧,Eclipse Axe,
13,七星斩斧【开阳】,Mizar's Asterism,
14,决斗斩斧,Tyrannos,
15,决斗大斩斧,Terror Tyrannos,
16,业斧格拉巴利塔,Saligia Vileaxe,
17,灭斧格拉巴利塔,Saligia Enderaxe,
18,雷电斩斧,Bolt Axe,
19,雷电斩斧改,Bolt Axe +,
20,高压斩斧,High Bolt Axe,
21,雷斩斧电压,Volt Axe,
22,雷震斩斧电王,Megavolt Axe,
23,新雷电斩斧,Neo Bolt Axe,
24,白雷斩斧莱米艾尔,Remiel Whitebolt,
25,冥雷刚斩斧,Nether Direaxe,
26,冥剑雷斧恩希多,Nether Excellion,
27,青熊斧,Arzuros Axe,
28,青熊斧改,Arzuros Axe +,
29,青熊斧【山块】,Arzuros Massifax,
30,青熊豪斧【山祭】,Arzuros Revelax,
31,迪欧斯之斧,Dios Axe,
32,迪欧斯之斧改,Dios Axe +,
33,爆碎之斩斧,Demolition Axe,
34,破岩斩斧艾克利克西,Brisant Demolisher,
35,琥珀猛击,Amber Slash,
36,琥珀猛击改,Amber Slash +,
37,琥珀冰霜风暴,Amber Hoarfrost,
38,寒冷暴风,Galefrost,
39,极寒暴风,Giga Galefrost,
40,Arzurite Slash 斧,Arzurite Slash Axe,
41,斩击斧 Gale Arzurite,Gale Arzurite,
42,斩击斧 Giga Gale Arzurite,Giga Gale Arzurite,
43,彩鸟斩斧,Pecospander,
44,彩鸟斩斧改,Pecospander +,
45,强化彩鸟斩斧,Qurupexspander,
46,爆锤爆斧,Motor Burst,
47,爆锤爆斧改,Motor Burst +,
48,爆龙爆斧,Gigant Burst,
49,爆龙王爆斧,Giganceladus,
50,彩鸟电斧,Sparqlepeco,
51,彩鸟雷斧,Peco Volt,
52,彩鸟闪光斧,Peco Glitz,
53,野斧,Wild Axe,
54,野斧改,Wild Axe +,
55,大地冲击,Ground Dasher,
56,重断斩斧,Heavy Divider,
57,重断斩斧改,Heavy Divider +,
58,山溃巨斧,Grunhart,
59,地割霍特修罗刚,Hartschlagen,
60,震斩斧奈落神,Nainokami,
61,暴君之斧,Axe Semper Tyrannis,
62,混沌之斧,Grand Chaos,
63,盖亚之斧,Axe of Gaia,
64,塔纳托斯之斧,Axe of Thanatos,
65,恶魔之斧,Axe of Demons,
66,哈迪斯之斧,Axe of Hades,
67,火炎暴风,Fire Tempest,
68,烈焰暴风,Flame Tempest,
69,红莲斧赫鲁塞斯提,Helstrong Firebath,
70,液态风暴,Liquid Storm,
71,水流暴风,Aqua Tempest,
72,激流斧赫鲁斯托鲁,Helstrong Deluge,
73,赤甲滚动者,Binding Roller,
74,赤甲滚动者改,Binding Roller +,
75,赤色战斧,Vermilingua,
76,红斩斧弗米利恩,Vermilion Bloodaxe,
77,王斩斧雷电,Usurper's Downpour,
78,王牙斩斧【裂雷】,Despot's Cloudburst,
79,狱斩斧龙牙,Brimstren Drakefang,
80,狼牙斩斧【暴獄】,Stygian Vanagloria,
81,水兽斧,Ludroth Axe,
82,水兽斧改,Ludroth Axe +,
83,水兽王之斧,Splish Splax,
84,魔锁狩,Demonbind,
85,大魔锁狩,Grand Demonbind,
86,天魔锁狩【断鬼】,Celestial Demonbind,
87,翠鳍斧,Finslash,
88,翠鳍斧改,Finslash +,
89,翡翠鱼斧,Mega Rhipidon,
90,龙姬斩斧,Dragonmaiden Axe,
91,龙姬斩斧改,Dragonmaiden Axe +,
92,大地女王,Gríðr's Landmaker,
93,大地女神,Gríðr's Landforger,
94,斩击斧 Arzure Rose,Arzure Rose,
95,斩击斧 Arzure Rosebloom,Arzure Rosebloom,
96,格林猫猫斧,Grim Cat,
97,修雷姆卡兹,Grimmig Katze,
98,艾路之宿命,Felyne Fatality,
99,Ｄ・巨斧,Rough Edge,
100,Ｄ・破坏斧,Tough Break,
101,烈日毁灭者,Soulbreaker,
102,烈焰粉碎者,Soulcrusher,
103,太阳神粉碎者,Helios Crusher,
104,大海龙斩斧,Inceadeus,
105,强化大海龙斩斧,Great Inceadeus,
106,海王斧海之契约,Ceadeed Axe,
107,黑之斩斧,Dark Switch Axe,
108,暗黑收割者,Black Harvest,
109,神灭斧阿尔・奥里亚,Altheos Voracion,
110,米吉多之冠,Megiddo Crest,
111,暗黒与赤热的斩斧,The Crimsidian,
112,海盗Ｊ战斧,Sinister Saints,
113,灵狐斩斧,Dragon's Roar,
