id,name,english,source
1,胴系统倍化,Torso Up,mh3u-legacy-display-list
2,毒,Poison,mh3u-legacy-display-list
3,麻痹,Paralysis,mh3u-legacy-display-list
4,睡眠,Sleep,mh3u-legacy-display-list
5,晕眩,Stun,mh3u-legacy-display-list
6,耐泥耐雪,Mud/Snow,mh3u-legacy-display-list
7,抗菌,Antiseptic,mh3u-legacy-display-list
8,对防御DOWN,Def Lock,mh3u-legacy-display-list
9,肥料,Dungmaster,mh3u-legacy-display-list
10,细菌学,Biology,mh3u-legacy-display-list
11,攻击,Attack,mh3u-legacy-display-list
12,防御,Defense,mh3u-legacy-display-list
13,体力,Health,mh3u-legacy-display-list
14,回复速度,Rec Speed,mh3u-legacy-display-list
15,加护,Protection,mh3u-legacy-display-list
16,收刀,Sheathing,mh3u-legacy-display-list
17,蓄力缩短,FastCharge,mh3u-legacy-display-list
18,达人,Expert,mh3u-legacy-display-list
19,痛击,Tenderizer,mh3u-legacy-display-list
20,重击,Destroyer,mh3u-legacy-display-list
21,KO,KO,mh3u-legacy-display-list
22,灭气攻击,Stam Drain,mh3u-legacy-display-list
23,体术,Constitutn,mh3u-legacy-display-list
24,听觉保护,Hearing,mh3u-legacy-display-list
25,风压,Wind Res,mh3u-legacy-display-list
26,耐震,Tremor Res,mh3u-legacy-display-list
27,耐暑,Heart Res,mh3u-legacy-display-list
28,耐寒,Cold Res,mh3u-legacy-display-list
29,耐力,Stamina,mh3u-legacy-display-list
30,气力回复,Stam Recov,mh3u-legacy-display-list
31,回避性能,Evasion,mh3u-legacy-display-list
32,回避距离,Evade Dist,mh3u-legacy-display-list
33,飞距离,Dive Dist,mh3u-legacy-display-list
34,警惕,Sense,mh3u-legacy-display-list
35,防御性能,Guard,mh3u-legacy-display-list
36,防御强化,Guard Up,mh3u-legacy-display-list
37,自动防御,Auto-Guard,mh3u-legacy-display-list
38,特殊攻击,Status,mh3u-legacy-display-list
39,火属性攻击,Fire Atk,mh3u-legacy-display-list
40,水属性攻击,Water Atk,mh3u-legacy-display-list
41,雷属性攻击,Thunder Atk,mh3u-legacy-display-list
42,冰属性攻击,Ice Atk,mh3u-legacy-display-list
43,龙属性攻击,Dragon Atk,mh3u-legacy-display-list
44,属性攻击,Elemental,mh3u-legacy-display-list
45,火耐性,Fire Res,mh3u-legacy-display-list
46,水耐性,Water Res,mh3u-legacy-display-list
47,雷耐性,Thunder Res,mh3u-legacy-display-list
48,冰耐性,Ice Res,mh3u-legacy-display-list
49,龙耐性,Dragon Res,mh3u-legacy-display-list
50,锋利度,Sharpness,mh3u-legacy-display-list
51,匠,Handicraft,mh3u-legacy-display-list
52,剑术,Fencing,mh3u-legacy-display-list
53,研磨师,Sharpener,mh3u-legacy-display-list
54,拔刀会心,Crit Draw,mh3u-legacy-display-list
55,拔刀灭气,PunishDraw,mh3u-legacy-display-list
56,装填速度,Reload Spd,mh3u-legacy-display-list
57,装填数,Loading,mh3u-legacy-display-list
58,速射,Rapid Fire,mh3u-legacy-display-list
59,反动,Recoil,mh3u-legacy-display-list
60,精密射击,Precision,mh3u-legacy-display-list
61,通常弹强化,Normal Up,mh3u-legacy-display-list
62,贯通弹强化,Pierce Up,mh3u-legacy-display-list
63,散弹强化,Pellet Up,mh3u-legacy-display-list
64,通常弹追加,Normal S +,mh3u-legacy-display-list
65,贯通弹追加,Pierce S +,mh3u-legacy-display-list
66,散弹追加,Pellet S +,mh3u-legacy-display-list
67,榴弹追加,Crag S +,mh3u-legacy-display-list
68,扩散弹追加,Clust S +,mh3u-legacy-display-list
69,斩裂弹追加,Slicing S +,mh3u-legacy-display-list
70,爆破弹追加,Slime S +,mh3u-legacy-display-list
71,毒瓶追加,Poison C +,mh3u-legacy-display-list
72,麻痹瓶追加,Para C +,mh3u-legacy-display-list
73,睡眠瓶追加,Sleep C +,mh3u-legacy-display-list
74,强击瓶追加,Power C +,mh3u-legacy-display-list
75,接击瓶追加,C. Range C +,mh3u-legacy-display-list
76,灭气瓶追加,Exhaust C +,mh3u-legacy-display-list
77,爆破瓶追加,Slime C +,mh3u-legacy-display-list
78,笛,Maestro,mh3u-legacy-display-list
79,炮术,Artillery,mh3u-legacy-display-list
80,爆弹强化,Bomb Boost,mh3u-legacy-display-list
81,回复量,Rec Level,mh3u-legacy-display-list
82,广域,Wide-Range,mh3u-legacy-display-list
83,效果持续,LastingPwr,mh3u-legacy-display-list
84,饥饿感,Hunger,mh3u-legacy-display-list
85,大胃王,Gluttony,mh3u-legacy-display-list
86,食事,Eating,mh3u-legacy-display-list
87,肉食,Carnivore,mh3u-legacy-display-list
88,调合成功率,Combo Rate,mh3u-legacy-display-list
89,调合数,Combo Plus,mh3u-legacy-display-list
90,采集,Gathering,mh3u-legacy-display-list
91,高速收集,Spd Gather,mh3u-legacy-display-list
92,反复无常,Whim,mh3u-legacy-display-list
93,蜂蜜,Honey,mh3u-legacy-display-list
94,护石王,Charmer,mh3u-legacy-display-list
95,运气,Fate,mh3u-legacy-display-list
96,剥取,Carving,mh3u-legacy-display-list
97,捕获,Tranquilzr,mh3u-legacy-display-list
98,观察眼,Perception,mh3u-legacy-display-list
99,千里眼,Psychic,mh3u-legacy-display-list
100,搬运,Transportr,mh3u-legacy-display-list
101,猎人,Ranger,mh3u-legacy-display-list
102,偷盗无效,Anti-Theft,mh3u-legacy-display-list
103,高速设置,SpeedSetup,mh3u-legacy-display-list
104,燃鳞,Flame Aura,mh3u-legacy-display-list
105,氧气,Oxygen,mh3u-legacy-display-list
106,水流,CurrentRes,mh3u-legacy-display-list
107,游泳,Swimming,mh3u-legacy-display-list
108,水之心,Sea Legs,mh3u-legacy-display-list
109,底力,Potential,mh3u-legacy-display-list
110,逆境,Survivor,mh3u-legacy-display-list
111,认真,Gloves Off,mh3u-legacy-display-list
112,斗魂,Spirit,mh3u-legacy-display-list
113,无伤,Unscathed,mh3u-legacy-display-list
114,属性解放,FreeElemnt,mh3u-legacy-display-list
115,属性耐性,Blight Res,mh3u-legacy-display-list
116,状态耐性,Status Res,mh3u-legacy-display-list
117,不动,Unshakable,mh3u-legacy-display-list
118,根性,Guts,mh3u-legacy-display-list
119,刀匠,Edgemaster,mh3u-legacy-display-list
120,射手,SteadyHand,mh3u-legacy-display-list
121,怒,Fury,mh3u-legacy-display-list
122,采配,TeamPlayer,mh3u-legacy-display-list
123,号令,TeamLeader,mh3u-legacy-display-list
124,地图,Map,mh3u-legacy-display-list
125,钓鱼,Fishing,mh3u-legacy-display-list
126,烤肉,BBQ,mh3u-legacy-display-list
