id,name,english,source
1,猎人小刀,Hunter's Knife,
2,猎人小刀改,Hunter's Knife +,
3,猎刀,Hunter's Dagger,
4,暗杀者之刀,Assassin's Dagger,
5,冰柱之棘,Icicle Spike,
6,冰柱之棘改,Icicle Spike +,
7,冻牙锐刃,Nardebosche,
8,冻牙锐刃改,Nardebosche +,
9,凝血十字,Cryo Cross,
10,苍白雾霭,Grey Brume,
11,格兰巴瓦尼,Gran Bhavani,
12,尖刺短剑,Spiked Saber,
13,锐爪短剑,Clawed Saber,
14,枯萎之风,Serevento,
15,暗影短剑,Shadow Saber,
16,暗影短剑改,Shadow Saber +,
17,猛毒利齿,Toxic Fang,
18,毒怪龙刺剑,Hellt Epee,
19,邪闪剑埃佩古塔纳斯,Hellnox Epee,
20,迅龙刃,Hidden Edge,
21,暗夜剑【昏冥】,Flash in the Night,
22,无明刃【道谛】,Avidya Edge,
23,月蚀刃,Eclipse Edge,
24,七星剑【禄存】,Phecda's Asterism,
25,战士短剑,Soldier's Dagger,
26,指挥官短剑,Commander's Dagger,
27,许德拉小刀,Hydra Knife,
28,许德拉小刀改,Hydra Knife +,
29,致命小刀,Deadly Knife,
30,尾槌龙单手剑,Baunfäller,
31,山刻巨槌剑,Dendrotomy,
32,岭刻冥王巨锤,Plutocatena,
33,修普诺斯小刀,Hypnos Knife,
34,修普诺斯小刀改,Hypnos Knife +,
35,睡神小刀,Morpheus Knife,
36,水龙鳍刺,Plesioth Finspike,
37,水龙灾厄刺剑,Plesioth Direspike,
38,肮脏男爵,Dirty Baron,
39,肮脏侯爵,Dirty Marquis,
40,肮脏伯爵,Dirty Graf,
41,阿兹・达哈卡,Azi Dahaka,
42,阿兹・达哈卡改,Azi Dahaka +,
43,全能之达哈卡,Almightly Dahaka,
44,全能之达哈卡改,Almightly Dahaka +,
45,克・道尔根,Co Dolgan,
46,柯多拉・帕尔根,Coctura Balgang,
47,王剑疾雷,Usurper's Firebolt,
48,王牙剑【折雷】,Despot's Crookbolt,
49,真・王牙剣【天赋】,Oppressor's Bounty,
50,狱剑龙鳞,Brimsten Drakescale,
51,狼牙剑【欲狱】,Stygian Luxuria,
52,骨制小刀,Bone Kris,
