id,name,english,source
1,类型 1,Type 1,mh3u-legacy-display-list
2,类型 2,Type 2,mh3u-legacy-display-list
3,类型 3,Type 3,mh3u-legacy-display-list
4,类型 4,Type 4,mh3u-legacy-display-list
5,类型 5,Type 5,mh3u-legacy-display-list
6,类型 6,Type 6,mh3u-legacy-display-list
7,类型 7,Type 7,mh3u-legacy-display-list
8,类型 8,Type 8,mh3u-legacy-display-list
9,类型 9,Type 9,mh3u-legacy-display-list
10,类型 10,Type 10,mh3u-legacy-display-list
11,类型 11,Type 11,mh3u-legacy-display-list
12,类型 12,Type 12,mh3u-legacy-display-list
13,类型 13,Type 13,mh3u-legacy-display-list
14,类型 14,Type 14,mh3u-legacy-display-list
15,类型 15,Type 15,mh3u-legacy-display-list
16,类型 16,Type 16,mh3u-legacy-display-list
17,类型 17,Type 17,mh3u-legacy-display-list
18,类型 18,Type 18,mh3u-legacy-display-list
19,类型 19,Type 19,mh3u-legacy-display-list
20,类型 20,Type 20,mh3u-legacy-display-list
