id,name,english,source
1,轻皮扣带,Leather Belt,
2,潜水腰带,Piscine Belt,
3,锁链扣带,Chainmail Belt,
4,洛克拉克腰甲,Loc Lac Kilt,
5,猎人腰甲,Hunter's Faulds,
6,猎人裙甲,Hunter's Coat,
7,骨制腰甲,Bone Faulds,
8,骨制裙甲,Bone Coat,
9,合金腰甲,Alloy Coil,
10,合金裙甲,Alloy Coat,
11,狗龙腰甲,Jaggi Faulds,
12,狗龙裙甲,Jaggi Coat,
13,飞虫腰甲,Bnahabra Coil,
14,飞虫裙甲,Bnahabra Coat,
15,草食龙腰甲,Rhenoplos Coil,
16,草食龙裙甲,Rhenoplos Coat,
17,彩鸟腰甲,Qurupeco Coil,
18,彩鸟裙甲,Qurupeco Coat,
19,水兽腰甲,Ludroth Faulds,
20,水兽裙甲,Ludroth Coat,
22,眠狗龙腰甲,Baggi Coil,
23,眠狗龙裙甲,Baggi Coat,
24,土砂龙腰甲,Barroth Faulds,
25,土砂龙裙甲,Barroth Coat,
26,灯鱼龙腰甲,Gobul Faulds,
27,灯鱼龙裙甲,Gobul Coat,
30,公会精英腰甲,Guild Bard Coil,
31,公会精英裙甲,Guild Bard Coat,
32,店员迷你裙,Scholar's Skirt,
33,店员百褶裙,Scholar's Mini,
34,雌火龙腰甲,Rathian Faulds,
35,雌火龙裙甲,Rathian Coat,
36,毒怪龙腰甲,Gigginox Faulds,
37,毒怪龙裙甲,Gigginox Coat,
38,高合金腰甲,Ingot Coil,
39,高合金裙甲,Ingot Coat,
40,海龙腰甲,Lagiacrus Faulds,
41,海龙裙甲,Lagiacrus Coat,
42,雄火龙腰甲,Rathalos Faulds,
43,雄火龙裙甲,Rathalos Coat,
44,冰牙龙腰甲,Barioth Faulds,
45,冰牙龙裙甲,Barioth Coat,
46,角龙腰甲,Diablos Coil,
47,角龙裙甲,Diablos Coat,
48,爆锤龙腰甲,Uragaan Faulds,
49,爆锤龙裙甲,Uragaan Coat,
50,炎戈龙腰甲,Agnaktor Faulds,
51,炎戈龙裙甲,Agnaktor Coat,
52,太阳神腰甲,Helios Coil,
53,太阳神裙甲,Helios Coat,
54,月神腰甲,Selene Coil,
55,月神裙甲,Selene Coat,
56,毒狗龙腰甲,Wroggi Faulds,
57,毒狗龙裙甲,Wroggi Coat,
58,青熊兽腰甲,Arzuros Faulds,
59,青熊兽裙甲,Arzuros Coat,
60,白兔兽腰甲,Lagombi Faulds,
61,白兔兽裙甲,Lagombi Coat,
62,赤甲兽腰甲,Volvidon Faulds,
63,赤甲兽裙甲,Volvidon Coat,
64,潜口龙腰甲,Nibelsnarf Faulds,
65,潜口龙裙甲,Nibelsnarf Coat,
66,尾槌龙腰甲,Duramboros Faulds,
67,尾槌龙裙甲,Duramboros Coat,
68,结云腰带,Yukumo Obi,
75,轻皮腰甲Ｓ,Leather Faulds S,
76,轻皮裙甲Ｓ,Leather Coat S,
77,潜水腰带Ｓ,Piscine Belt S,
78,潜水短裙Ｓ,Piscine Tank S,
79,锁链腰甲Ｓ,Chainmail Faulds S,
80,锁链裙甲Ｓ,Chainmail Coat S,
81,洛克拉克腰甲Ｓ,Loc Lac Kilt S,
