id,name,english,source
0,None,None,mh3g-id-res-game-array+placeholder
1,Leather Gloves,Leather Gloves,mh3g-id-res-game-array+mh3u-legacy-display-list
2,Chainmail Gloves,Chainmail Gloves,mh3g-id-res-game-array+mh3u-legacy-display-list
3,Hunter's Vambraces,Hunter's Vambraces,mh3g-id-res-game-array+mh3u-legacy-display-list
4,Hunter's Guards,Hunter's Guards,mh3g-id-res-game-array+mh3u-legacy-display-list
5,Bone Vambraces,Bone Vambraces,mh3g-id-res-game-array+mh3u-legacy-display-list
6,Bone Guards,Bone Guards,mh3g-id-res-game-array+mh3u-legacy-display-list
7,Alloy Vambraces,Alloy Vambraces,mh3g-id-res-game-array+mh3u-legacy-display-list
8,Alloy Guards,Alloy Guards,mh3g-id-res-game-array+mh3u-legacy-display-list
9,Jaggi Vambraces,Jaggi Vambraces,mh3g-id-res-game-array+mh3u-legacy-display-list
10,Jaggi Guards,Jaggi Guards,mh3g-id-res-game-array+mh3u-legacy-display-list
11,Bnahabra Gloves,Bnahabra Gloves,mh3g-id-res-game-array+mh3u-legacy-display-list
12,Bnahabra Sleeves,Bnahabra Sleeves,mh3g-id-res-game-array+mh3u-legacy-display-list
13,Rhenoplos Vambraces,Rhenoplos Vambraces,mh3g-id-res-game-array+mh3u-legacy-display-list
14,Rhenoplos Guards,Rhenoplos Guards,mh3g-id-res-game-array+mh3u-legacy-display-list
15,Qurupeco Vambraces,Qurupeco Vambraces,mh3g-id-res-game-array+mh3u-legacy-display-list
16,Qurupeco Guards,Qurupeco Guards,mh3g-id-res-game-array+mh3u-legacy-display-list
17,Ludroth Vambraces,Ludroth Vambraces,mh3g-id-res-game-array+mh3u-legacy-display-list
18,Ludroth Guards,Ludroth Guards,mh3g-id-res-game-array+mh3u-legacy-display-list
19,DUMMY 19,DUMMY 19,mh3g-id-res-game-array+placeholder
20,Baggi Vambraces,Baggi Vambraces,mh3g-id-res-game-array+mh3u-legacy-display-list
21,Baggi Guards,Baggi Guards,mh3g-id-res-game-array+mh3u-legacy-display-list
22,Barroth Vambraces,Barroth Vambraces,mh3g-id-res-game-array+mh3u-legacy-display-list
23,Barroth Guards,Barroth Guards,mh3g-id-res-game-array+mh3u-legacy-display-list
24,Gobul Vambraces,Gobul Vambraces,mh3g-id-res-game-array+mh3u-legacy-display-list
25,Gobul Guards,Gobul Guards,mh3g-id-res-game-array+mh3u-legacy-display-list
26,DUMMY 26,DUMMY 26,mh3g-id-res-game-array+placeholder
27,DUMMY 27,DUMMY 27,mh3g-id-res-game-array+placeholder
28,Guild Bard Braces,Guild Bard Braces,mh3g-id-res-game-array+mh3u-legacy-display-list
29,Guild Braces Sleeves,Guild Braces Sleeves,mh3g-id-res-game-array+mh3u-legacy-display-list
30,Scholar's Gloves,Scholar's Gloves,mh3g-id-res-game-array+mh3u-legacy-display-list
31,Scholar's Sleeves,Scholar's Sleeves,mh3g-id-res-game-array+mh3u-legacy-display-list
