id,name,english,source
1,Peckish Peco,Peckish Peco,
2,Flamished Peco,Flamished Peco,
3,Heartbreaker,Heartbreaker,
4,Broken Heart,Broken Heart,
5,Strong Heart,Strong Heart,
6,Wroggi Revolver I,Wroggi Revolver I,
7,Wroggi Revolver II,Wroggi Revolver II,
8,Wroggi Revolver III,Wroggi Revolver III,
9,Dirty Revolver I,Dirty Revolver I,
10,Dirty Revolver II,Dirty Revolver II,
11,Spith & Venom,Spith & Venom,
12,Sponge Gear I,Sponge Gear I,
13,Sponge Gear II,Sponge Gear II,
14,Sponge Gear III,Sponge Gear III,
15,Amethyst Gear I,Amethyst Gear I,
16,Amethyst Gear II,Amethyst Gear II,
17,Amir al Bahr,Amir al Bahr,
18,Batal al Bahr,Batal al Bahr,
19,Arko Nulo,Arko Nulo,
20,Arko Unu,Arko Unu,
21,Arko Nulo (R),Arko Nulo (R),
22,Arko Unu (R),Arko Unu (R),
23,Arko Du (R),Arko Du (R),
24,Arko Tri (R),Arko Tri (R),
25,Arko Nulo (W),Arko Nulo (W),
26,Arko Unu (W),Arko Unu (W),
27,Arko Du (W),Arko Du (W),
28,Arko Tri (W),Arko Tri (W),
29,Arko Nulo (Y),Arko Nulo (Y),
30,Arko Unu (Y),Arko Unu (Y),
31,Arko Du (Y),Arko Du (Y),
32,Arko Tri (Y),Arko Tri (Y),
33,Hunter's Bow I,Hunter's Bow I,
34,Hunter's Bow II,Hunter's Bow II,
35,Hunter's Bow III,Hunter's Bow III,
36,Hunter's Shoutbow I,Hunter's Shoutbow I,
37,Hunter's Shoutbow II,Hunter's Shoutbow II,
38,Hunter's Proudbow,Hunter's Proudbow,
39,Dios Flier,Dios Flier,
40,Dios Flier +,Dios Flier +,
41,Demolition Bow,Demolition Bow,
42,Warflare Demolisher,Warflare Demolisher,
43,Type 64 Multibow I,Type 64 Multibow I,
44,Type 64 Multibow II,Type 64 Multibow II,
45,Scorpion Zinger,Scorpion Zinger,
46,Seahorse Harp,Seahorse Harp,
47,Reignhorse Harp,Reignhorse Harp,
48,Aquasteed Harp,Aquasteed Harp,
49,Queen Blaster I,Queen Blaster I,
50,Queen Blaster II,Queen Blaster II,
51,Queen Blaster III,Queen Blaster III,
52,Heartshot Bow I,Heartshot Bow I,
53,Heartshot Bow II,Heartshot Bow II,
54,Heartshot Bow III,Heartshot Bow III,
55,Selene Moonbroken,Selene Moonbroken,
56,Usurper's Rumble,Usurper's Rumble,
57,Despot's Earlybolt,Despot's Earlybolt,
58,Oppressor's Answer,Oppressor's Answer,
59,Brimstren Drakesight,Brimstren Drakesight,
60,Stygian Patientia,Stygian Patientia,
61,Ice Crest,Ice Crest,
62,Edelweiss,Edelweiss,
63,Amber Arc Valanga,Amber Arc Valanga,
64,Lithe Saberbow,Lithe Saberbow,
65,Fallenfriede,Fallenfriede,
66,Rafalga Sandraider,Rafalga Sandraider,
67,Brazencord,Brazencord,
68,Gigacles,Gigacles,
69,Gigantomachy,Gigantomachy,
70,Chrome Corda I,Chrome Corda I,
71,Corda Corda II,Corda Corda II,
72,Steel Daedalops,Steel Daedalops,
73,Hidden Bow I,Hidden Bow I,
74,Hidden Bow II,Hidden Bow II,
75,Night Flight,Night Flight,
76,Eclipse Bow,Eclipse Bow,
77,Virnar Bow,Virnar Bow,
78,Midnight Farflight,Midnight Farflight,
79,Boltsender I,Boltsender I,
80,Boltsender II,Boltsender II,
81,High Voltsender,High Voltsender,
82,Neo Voltsender,Neo Voltsender,
83,Acrus Whitebolt,Acrus Whitebolt,
84,Nether Battlebow,Nether Battlebow,
85,Nether Emprestador,Nether Emprestador,
86,Diablos Hornbow I,Diablos Hornbow I,
87,Diablos Hornbow II,Diablos Hornbow II,
88,Galebender,Galebender,
89,Cera Coilbender,Cera Coilbender,
90,Cera Cyclord,Cera Cyclord,
91,Ala Victoria I,Ala Victoria I,
92,Ala Victoria II,Ala Victoria II,
93,Prayerful Victoria,Prayerful Victoria,
94,Ark Diosa,Ark Diosa,
95,Arken Victrine,Arken Victrine,
96,Worldseer's Bow,Worldseer's Bow,
97,Worldseer's Proof,Worldseer's Proof,
98,Worldseer's Bounty,Worldseer's Bounty,
99,Alatreon Bow,Alatreon Bow,
100,Alatreon Commandment,Alatreon Commandment,
101,Altheos Incanonis,Altheos Incanonis,
102,Arca Raptora,Arca Raptora,
103,Arca Chaotica,Arca Chaotica,
104,Arca Insantia,Arca Insantia,
105,Megiddo Phoenix,Megiddo Phoenix,
106,The Rysurrection,The Rysurrection,
107,Morsel Bowfish,Morsel Bowfish,
108,Ample Bowfish,Ample Bowfish,
109,Viand Bowfish,Viand Bowfish,
110,Kelbi Stingshot,Kelbi Stingshot,
111,Kelbi Strongshot,Kelbi Strongshot,
112,Great Kelbi Deershot,Great Kelbi Deershot,
113,Bamboo Taketori,Bamboo Taketori,
114,Bamboo Okina,Bamboo Okina,
115,Bamboo Kaguya,Bamboo Kaguya,
