id,name,english,source
1,Pawn Talisman,Pawn Talisman,mh3u-legacy-display-list
2,Bishop Talisman,Bishop Talisman,mh3u-legacy-display-list
3,Knight Talisman,Knight Talisman,mh3u-legacy-display-list
4,Rook Talisman,Rook Talisman,mh3u-legacy-display-list
5,Queen Talisman,Queen Talisman,mh3u-legacy-display-list
6,King Talisman,King Talisman,mh3u-legacy-display-list
7,Dragon Talisman,Dragon Talisman,mh3u-legacy-display-list
8,Hero Talisman,Hero Talisman,mh3u-legacy-display-list
9,Legend Talisman,Legend Talisman,mh3u-legacy-display-list
10,Creator Talisman,Creator Talisman,mh3u-legacy-display-list
