id,name,english,source
0,None,None,mh3g-id-res-game-array+placeholder
1,Matched Slicers,Matched Slicers,mh3g-id-res-game-array+mh3u-legacy-display-list
2,Matched Slicers +,Matched Slicers +,mh3g-id-res-game-array+mh3u-legacy-display-list
3,Dual Slicers,Dual Slicers,mh3g-id-res-game-array+mh3u-legacy-display-list
4,Dual Hatchets,Dual Hatchets,mh3g-id-res-game-array+mh3u-legacy-display-list
5,Dual Hatchets +,Dual Hatchets +,mh3g-id-res-game-array+mh3u-legacy-display-list
6,Dual Cleavers +,Dual Cleavers +,mh3g-id-res-game-array+mh3u-legacy-display-list
7,Hurricane,Hurricane,mh3g-id-res-game-array+mh3u-legacy-display-list
8,Hurricane +,Hurricane +,mh3g-id-res-game-array+mh3u-legacy-display-list
9,Cyclone,Cyclone,mh3g-id-res-game-array+mh3u-legacy-display-list
10,Tornado Hatchets,Tornado Hatchets,mh3g-id-res-game-array+mh3u-legacy-display-list
11,Typhoon,Typhoon,mh3g-id-res-game-array+mh3u-legacy-display-list
12,Dios Slicers,Dios Slicers,mh3g-id-res-game-array+mh3u-legacy-display-list
13,Dios Slicers +,Dios Slicers +,mh3g-id-res-game-array+mh3u-legacy-display-list
14,Demolition Blades,Demolition Blades,mh3g-id-res-game-array+mh3u-legacy-display-list
15,Spectral Demolisher,Spectral Demolisher,mh3g-id-res-game-array+mh3u-legacy-display-list
16,Sworn Rapiers,Sworn Rapiers,mh3g-id-res-game-array+mh3u-legacy-display-list
17,Sworn Rapiers +,Sworn Rapiers +,mh3g-id-res-game-array+mh3u-legacy-display-list
18,HOly Sabers,HOly Sabers,mh3g-id-res-game-array+mh3u-legacy-display-list
19,Guild Knight Sabers,Guild Knight Sabers,mh3g-id-res-game-array+mh3u-legacy-display-list
20,Master Sabers,Master Sabers,mh3g-id-res-game-array+mh3u-legacy-display-list
21,Twin Chainsaws,Twin Chainsaws,mh3g-id-res-game-array+mh3u-legacy-display-list
22,Twin Chainsaws +,Twin Chainsaws +,mh3g-id-res-game-array+mh3u-legacy-display-list
23,Guillotines,Guillotines,mh3g-id-res-game-array+mh3u-legacy-display-list
24,Golem's Saws,Golem's Saws,mh3g-id-res-game-array+mh3u-legacy-display-list
25,Golem's Maneaters,Golem's Maneaters,mh3g-id-res-game-array+mh3u-legacy-display-list
26,Type 51 Macerators,Type 51 Macerators,mh3g-id-res-game-array+mh3u-legacy-display-list
27,Deathsnarfs,Deathsnarfs,mh3g-id-res-game-array+mh3u-legacy-display-list
28,Uber Deathsnarfs,Uber Deathsnarfs,mh3g-id-res-game-array+mh3u-legacy-display-list
29,Insecticutters,Insecticutters,mh3g-id-res-game-array+mh3u-legacy-display-list
