id,name,english,source
1,Chest,Chest,mh3u-legacy-display-list
2,Arms,Arms,mh3u-legacy-display-list
3,Waist,Waist,mh3u-legacy-display-list
4,Legs,Legs,mh3u-legacy-display-list
5,Head,Head,mh3u-legacy-display-list
6,Talisman,Talisman,mh3u-legacy-display-list
7,Great Sword,Great Sword,mh3u-legacy-display-list
8,Sword & Shield,Sword & Shield,mh3u-legacy-display-list
9,Hammer,Hammer,mh3u-legacy-display-list
10,Lance,Lance,mh3u-legacy-display-list
11,Heavy Bowgun,Heavy Bowgun,mh3u-legacy-display-list
13,Light Bowgun,Light Bowgun,mh3u-legacy-display-list
14,Long Sword,Long Sword,mh3u-legacy-display-list
15,Switch-Axe,Switch-Axe,mh3u-legacy-display-list
16,Gunlance,Gunlance,mh3u-legacy-display-list
17,Bow,Bow,mh3u-legacy-display-list
18,Dual Blades,Dual Blades,mh3u-legacy-display-list
19,Hunting Horn,Hunting Horn,mh3u-legacy-display-list
