id,name,english,source
0,None,None,mh3g-id-res-game-array+placeholder
1,Iron Gunlance,Iron Gunlance,mh3g-id-res-game-array+mh3u-legacy-display-list
2,Iron Gunlance +,Iron Gunlance +,mh3g-id-res-game-array+mh3u-legacy-display-list
3,Steel Gunlance,Steel Gunlance,mh3g-id-res-game-array+mh3u-legacy-display-list
4,Striker's Gunlance,Striker's Gunlance,mh3g-id-res-game-array+mh3u-legacy-display-list
5,Defender's Gunlance,Defender's Gunlance,mh3g-id-res-game-array+mh3u-legacy-display-list
6,Imperial Guardlance,Imperial Guardlance,mh3g-id-res-game-array+mh3u-legacy-display-list
7,General's Arbalance,General's Arbalance,mh3g-id-res-game-array+mh3u-legacy-display-list
8,Admiral's Arbalance,Admiral's Arbalance,mh3g-id-res-game-array+mh3u-legacy-display-list
9,Imperial Snornlance,Imperial Snornlance,mh3g-id-res-game-array+mh3u-legacy-display-list
10,Hidden Gunlance,Hidden Gunlance,mh3g-id-res-game-array+mh3u-legacy-display-list
11,Hidden Gunlance +,Hidden Gunlance +,mh3g-id-res-game-array+mh3u-legacy-display-list
12,Fading Night,Fading Night,mh3g-id-res-game-array+mh3u-legacy-display-list
13,Eclipse Gunlance,Eclipse Gunlance,mh3g-id-res-game-array+mh3u-legacy-display-list
14,Elioth's Asterism,Elioth's Asterism,mh3g-id-res-game-array+mh3u-legacy-display-list
15,Virnar Gunlance,Virnar Gunlance,mh3g-id-res-game-array+mh3u-legacy-display-list
16,End of Night,End of Night,mh3g-id-res-game-array+mh3u-legacy-display-list
17,Red Rook,Red Rook,mh3g-id-res-game-array+mh3u-legacy-display-list
18,Red Rook +,Red Rook +,mh3g-id-res-game-array+mh3u-legacy-display-list
19,Crimson Rook,Crimson Rook,mh3g-id-res-game-array+mh3u-legacy-display-list
20,Silver Rook,Silver Rook,mh3g-id-res-game-array+mh3u-legacy-display-list
21,Chariot Gun,Chariot Gun,mh3g-id-res-game-array+mh3u-legacy-display-list
22,World's Demise,World's Demise,mh3g-id-res-game-array+mh3u-legacy-display-list
23,Ancient Gyrelance,Ancient Gyrelance,mh3g-id-res-game-array+mh3u-legacy-display-list
24,Ancient Gyresmite,Ancient Gyresmite,mh3g-id-res-game-array+mh3u-legacy-display-list
25,Progenesis,Progenesis,mh3g-id-res-game-array+mh3u-legacy-display-list
26,Type 62 Stormlance,Type 62 Stormlance,mh3g-id-res-game-array+mh3u-legacy-display-list
27,Assault Stormlance,Assault Stormlance,mh3g-id-res-game-array+mh3u-legacy-display-list
28,War Marshal,War Marshal,mh3g-id-res-game-array+mh3u-legacy-display-list
29,Shattershot,Shattershot,mh3g-id-res-game-array+mh3u-legacy-display-list
30,Shatter Ace,Shatter Ace,mh3g-id-res-game-array+mh3u-legacy-display-list
31,Shatter God,Shatter God,mh3g-id-res-game-array+mh3u-legacy-display-list
32,Lagia Burst,Lagia Burst,mh3g-id-res-game-array+mh3u-legacy-display-list
