id,name,english,source
0,None,None,mh3g-id-res-game-array+placeholder
1,Iron Sword,Iron Sword,mh3g-id-res-game-array+mh3u-legacy-display-list
2,Iron Sword +,Iron Sword +,mh3g-id-res-game-array+mh3u-legacy-display-list
3,Buster Sword,Buster Sword,mh3g-id-res-game-array+mh3u-legacy-display-list
4,Buster Sword +,Buster Sword +,mh3g-id-res-game-array+mh3u-legacy-display-list
5,Buster Blade,Buster Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
6,Ravager Blade,Ravager Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
7,Ravager Blade +,Ravager Blade +,mh3g-id-res-game-array+mh3u-legacy-display-list
8,Lacerator Blade,Lacerator Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
9,Devastator Blade,Devastator Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
10,Chrome Razor,Chrome Razor,mh3g-id-res-game-array+mh3u-legacy-display-list
11,Chrome Quietus,Chrome Quietus,mh3g-id-res-game-array+mh3u-legacy-display-list
12,Brazenwall,Brazenwall,mh3g-id-res-game-array+mh3u-legacy-display-list
13,Crimsonwall,Crimsonwall,mh3g-id-res-game-array+mh3u-legacy-display-list
14,Cragscliff,Cragscliff,mh3g-id-res-game-array+mh3u-legacy-display-list
15,Goliath's Scream,Goliath's Scream,mh3g-id-res-game-array+mh3u-legacy-display-list
16,Hidden Blade,Hidden Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
17,Dark of Night,Dark of Night,mh3g-id-res-game-array+mh3u-legacy-display-list
18,Avidya Great Sword,Avidya Great Sword,mh3g-id-res-game-array+mh3u-legacy-display-list
19,Eclipse Blade,Eclipse Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
20,Merak's Asterism,Merak's Asterism,mh3g-id-res-game-array+mh3u-legacy-display-list
21,Type 41 Wyvernator,Type 41 Wyvernator,mh3g-id-res-game-array+mh3u-legacy-display-list
22,Remalgalypse,Remalgalypse,mh3g-id-res-game-array+mh3u-legacy-display-list
23,Remalgagorgon,Remalgagorgon,mh3g-id-res-game-array+mh3u-legacy-display-list
24,Rugged Great Sword,Rugged Great Sword,mh3g-id-res-game-array+mh3u-legacy-display-list
25,Chieftain's Grt Swd,Chieftain's Grt Swd,mh3g-id-res-game-array+mh3u-legacy-display-list
26,High Chief's Grt Swd,High Chief's Grt Swd,mh3g-id-res-game-array+mh3u-legacy-display-list
27,Lagiacrus Blade,Lagiacrus Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
28,Lagiacrus Blade +,Lagiacrus Blade +,mh3g-id-res-game-array+mh3u-legacy-display-list
29,High Lagia Blade,High Lagia Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
30,Lagia Lightning,Lagia Lightning,mh3g-id-res-game-array+mh3u-legacy-display-list
31,Lagia Wildfire,Lagia Wildfire,mh3g-id-res-game-array+mh3u-legacy-display-list
32,Neo Lagia Blade,Neo Lagia Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
33,Lagia Fulmination,Lagia Fulmination,mh3g-id-res-game-array+mh3u-legacy-display-list
34,Usurper's Storm,Usurper's Storm,mh3g-id-res-game-array+mh3u-legacy-display-list
35,Despot's Blackstorm,Despot's Blackstorm,mh3g-id-res-game-array+mh3u-legacy-display-list
36,Oppressor's Forger,Oppressor's Forger,mh3g-id-res-game-array+mh3u-legacy-display-list
37,Orcus Tonitrus,Orcus Tonitrus,mh3g-id-res-game-array+mh3u-legacy-display-list
38,Nether Great Sword,Nether Great Sword,mh3g-id-res-game-array+mh3u-legacy-display-list
39,Nether Lufactrus,Nether Lufactrus,mh3g-id-res-game-array+mh3u-legacy-display-list
40,Brimstren Drakepride,Brimstren Drakepride,mh3g-id-res-game-array+mh3u-legacy-display-list
41,Stygian Acedia,Stygian Acedia,mh3g-id-res-game-array+mh3u-legacy-display-list
42,Carapace Sword,Carapace Sword,mh3g-id-res-game-array+mh3u-legacy-display-list
43,Carapace Blade,Carapace Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
44,Barroth Smasher,Barroth Smasher,mh3g-id-res-game-array+mh3u-legacy-display-list
45,Aurora Blade,Aurora Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
46,Northern Lights,Northern Lights,mh3g-id-res-game-array+mh3u-legacy-display-list
47,Northern Cross,Northern Cross,mh3g-id-res-game-array+mh3u-legacy-display-list
48,Viking Hornsword,Viking Hornsword,mh3g-id-res-game-array+mh3u-legacy-display-list
49,Ancharius Sword,Ancharius Sword,mh3g-id-res-game-array+mh3u-legacy-display-list
50,Excalius Sword,Excalius Sword,mh3g-id-res-game-array+mh3u-legacy-display-list
51,Bone Blade,Bone Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
52,Bone Blade +,Bone Blade +,mh3g-id-res-game-array+mh3u-legacy-display-list
53,Jawblade,Jawblade,mh3g-id-res-game-array+mh3u-legacy-display-list
54,Giant Jawblade,Giant Jawblade,mh3g-id-res-game-array+mh3u-legacy-display-list
55,Red Wing,Red Wing,mh3g-id-res-game-array+mh3u-legacy-display-list
56,Rathalos Firesword,Rathalos Firesword,mh3g-id-res-game-array+mh3u-legacy-display-list
57,Rathalos Flamesword,Rathalos Flamesword,mh3g-id-res-game-array+mh3u-legacy-display-list
58,Blue Wing,Blue Wing,mh3g-id-res-game-array+mh3u-legacy-display-list
59,Rathalos Glinsword,Rathalos Glinsword,mh3g-id-res-game-array+mh3u-legacy-display-list
60,Rathalos Gleamsword,Rathalos Gleamsword,mh3g-id-res-game-array+mh3u-legacy-display-list
61,Dios Blade,Dios Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
62,Dios Blade +,Dios Blade +,mh3g-id-res-game-array+mh3u-legacy-display-list
63,Demolition Sword,Demolition Sword,mh3g-id-res-game-array+mh3u-legacy-display-list
64,Myxo Demolisher,Myxo Demolisher,mh3g-id-res-game-array+mh3u-legacy-display-list
65,Valkyrie Blade,Valkyrie Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
66,Sieglinde,Sieglinde,mh3g-id-res-game-array+mh3u-legacy-display-list
67,High Sieglinde,High Sieglinde,mh3g-id-res-game-array+mh3u-legacy-display-list
68,Titania,Titania,mh3g-id-res-game-array+mh3u-legacy-display-list
69,Blushing Dame,Blushing Dame,mh3g-id-res-game-array+mh3u-legacy-display-list
70,Ljósálfar,Ljósálfar,mh3g-id-res-game-array+mh3u-legacy-display-list
71,Brünnhilde,Brünnhilde,mh3g-id-res-game-array+mh3u-legacy-display-list
72,Siegmund,Siegmund,mh3g-id-res-game-array+mh3u-legacy-display-list
73,High Siegmund,High Siegmund,mh3g-id-res-game-array+mh3u-legacy-display-list
74,Reddnaught,Reddnaught,mh3g-id-res-game-array+mh3u-legacy-display-list
75,Auberon,Auberon,mh3g-id-res-game-array+mh3u-legacy-display-list
76,Pale Kaiser,Pale Kaiser,mh3g-id-res-game-array+mh3u-legacy-display-list
77,Golem Blade,Golem Blade,mh3g-id-res-game-array+mh3u-legacy-display-list
78,Blade of Talos,Blade of Talos,mh3g-id-res-game-array+mh3u-legacy-display-list
79,Blade of Tartarus,Blade of Tartarus,mh3g-id-res-game-array+mh3u-legacy-display-list
80,Wyvern Jawblade,Wyvern Jawblade,mh3g-id-res-game-array+mh3u-legacy-display-list
81,Quarrel Hornsword,Quarrel Hornsword,mh3g-id-res-game-array+mh3u-legacy-display-list
