id,name,english,source
0,None,None,mh3g-id-res-game-array+placeholder
1,Iron Hammer,Iron Hammer,mh3g-id-res-game-array+mh3u-legacy-display-list
2,Iron Hammer +,Iron Hammer +,mh3g-id-res-game-array+mh3u-legacy-display-list
3,War Hammer,War Hammer,mh3g-id-res-game-array+mh3u-legacy-display-list
4,War Hammer +,War Hammer +,mh3g-id-res-game-array+mh3u-legacy-display-list
5,War Mace,War Mace,mh3g-id-res-game-array+mh3u-legacy-display-list
6,Iron Striker,Iron Striker,mh3g-id-res-game-array+mh3u-legacy-display-list
7,Iron Striker +,Iron Striker +,mh3g-id-res-game-array+mh3u-legacy-display-list
8,Iron Impact,Iron Impact,mh3g-id-res-game-array+mh3u-legacy-display-list
9,Anvil Hammer,Anvil Hammer,mh3g-id-res-game-array+mh3u-legacy-display-list
10,Onslaught,Onslaught,mh3g-id-res-game-array+mh3u-legacy-display-list
11,Gun Hammer,Gun Hammer,mh3g-id-res-game-array+mh3u-legacy-display-list
12,Deadeye Revolver,Deadeye Revolver,mh3g-id-res-game-array+mh3u-legacy-display-list
13,Burst Revolver,Burst Revolver,mh3g-id-res-game-array+mh3u-legacy-display-list
14,Plesioth Head,Plesioth Head,mh3g-id-res-game-array+mh3u-legacy-display-list
15,Plesioth Head +,Plesioth Head +,mh3g-id-res-game-array+mh3u-legacy-display-list
16,Plesioth Breaker,Plesioth Breaker,mh3g-id-res-game-array+mh3u-legacy-display-list
17,Verde Plesioth Head,Verde Plesioth Head,mh3g-id-res-game-array+mh3u-legacy-display-list
18,Green Ronperagon,Green Ronperagon,mh3g-id-res-game-array+mh3u-legacy-display-list
19,"Fang Hammer ""Echo""","Fang Hammer ""Echo""",mh3g-id-res-game-array+mh3u-legacy-display-list
20,"Fang Hammer ""Ruin""","Fang Hammer ""Ruin""",mh3g-id-res-game-array+mh3u-legacy-display-list
21,Jhen Mohran Hammer,Jhen Mohran Hammer,mh3g-id-res-game-array+mh3u-legacy-display-list
22,Binding Bludgeon,Binding Bludgeon,mh3g-id-res-game-array+mh3u-legacy-display-list
23,Armored Gogue,Armored Gogue,mh3g-id-res-game-array+mh3u-legacy-display-list
24,Armured Megagogue,Armured Megagogue,mh3g-id-res-game-array+mh3u-legacy-display-list
25,Vortex Hammer,Vortex Hammer,mh3g-id-res-game-array+mh3u-legacy-display-list
26,Vortex Hammer +,Vortex Hammer +,mh3g-id-res-game-array+mh3u-legacy-display-list
27,High Vortex Hammer,High Vortex Hammer,mh3g-id-res-game-array+mh3u-legacy-display-list
28,Vortical Hammer,Vortical Hammer,mh3g-id-res-game-array+mh3u-legacy-display-list
29,Vortastrophe,Vortastrophe,mh3g-id-res-game-array+mh3u-legacy-display-list
30,Lagio Voltega,Lagio Voltega,mh3g-id-res-game-array+mh3u-legacy-display-list
