id,name,english,source
0,None,None,mh3g-id-res-game-array+placeholder
1,Leather Headgear,Leather Headgear,mh3g-id-res-game-array+mh3u-legacy-display-list
2,Piscine Mask,Piscine Mask,mh3g-id-res-game-array+mh3u-legacy-display-list
3,Chainmail Headgear,Chainmail Headgear,mh3g-id-res-game-array+mh3u-legacy-display-list
4,Hunter's Helm,Hunter's Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
5,Hunter's Cap,Hunter's Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
6,Bone Helm,Bone Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
7,Bone Cap,Bone Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
8,Alloy Helm,Alloy Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
9,Alloy Cap,Alloy Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
10,Jaggi Helm,Jaggi Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
11,Jaggi Cap,Jaggi Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
12,Bnahabra Hat,Bnahabra Hat,mh3g-id-res-game-array+mh3u-legacy-display-list
13,Bnahabra Headpiece,Bnahabra Headpiece,mh3g-id-res-game-array+mh3u-legacy-display-list
14,Rhenoplos Helm,Rhenoplos Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
15,Rhenoplos Cap,Rhenoplos Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
16,Qurupeco Helm,Qurupeco Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
17,Qurupeco Cap,Qurupeco Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
18,Ludroth Helm,Ludroth Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
19,Ludroth Cap,Ludroth Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
20,Baggi Helm,Baggi Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
21,Baggi Cap,Baggi Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
22,Barroth Helm,Barroth Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
23,Barroth Cap,Barroth Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
24,Gobul Helm,Gobul Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
25,Gobul Cap,Gobul Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
26,DUMMY 26,DUMMY 26,mh3g-id-res-game-array+placeholder
27,DUMMY 27,DUMMY 27,mh3g-id-res-game-array+placeholder
28,Guild Bard Lobos,Guild Bard Lobos,mh3g-id-res-game-array+mh3u-legacy-display-list
29,Guild Bard Hat,Guild Bard Hat,mh3g-id-res-game-array+mh3u-legacy-display-list
30,Scholar's Beret,Scholar's Beret,mh3g-id-res-game-array+mh3u-legacy-display-list
31,Scholar's Cap,Scholar's Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
32,Rathian Helm,Rathian Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
33,Rathian Cap,Rathian Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
34,Gigginox Helm,Gigginox Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
35,Gigginox Cap,Gigginox Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
36,Ingot Helm,Ingot Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
37,Ingot Cap,Ingot Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
38,Lagiacrus Helm,Lagiacrus Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
39,Lagiacrus Cap,Lagiacrus Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
40,Rathalos Helm,Rathalos Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
41,Rathalos Cap,Rathalos Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
42,Barioth Helm,Barioth Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
43,Barioth Cap,Barioth Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
44,Diablos Helm,Diablos Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
45,Diablos Cap,Diablos Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
46,Uragaan Helm,Uragaan Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
47,Uragaan Cap,Uragaan Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
48,Agnaktor Helm,Agnaktor Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
49,Agnaktor Cap,Agnaktor Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
50,Helios Helm,Helios Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
51,Helios Cap,Helios Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
52,Selene Helm,Selene Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
53,Selene Cap,Selene Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
54,Wroggi Hat,Wroggi Hat,mh3g-id-res-game-array+mh3u-legacy-display-list
55,Wroggi Cap,Wroggi Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
56,Arzuros Helm,Arzuros Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
57,Arzuros Cap,Arzuros Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
58,Lagombi Helm,Lagombi Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
59,Lagombi Cap,Lagombi Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
60,Volvidon Helm,Volvidon Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
61,Volvidon Cap,Volvidon Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
62,Nibelsnarf Helm,Nibelsnarf Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
63,Nibelsnarf Cap,Nibelsnarf Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
64,Duramboros Helm,Duramboros Helm,mh3g-id-res-game-array+mh3u-legacy-display-list
65,Duramboros Cap,Duramboros Cap,mh3g-id-res-game-array+mh3u-legacy-display-list
66,Yukumo Kasa,Yukumo Kasa,mh3g-id-res-game-array+mh3u-legacy-display-list
67,DUMMY 67,DUMMY 67,mh3g-id-res-game-array+placeholder
68,DUMMY 68,DUMMY 68,mh3g-id-res-game-array+placeholder
69,DUMMY 69,DUMMY 69,mh3g-id-res-game-array+placeholder
70,DUMMY 70,DUMMY 70,mh3g-id-res-game-array+placeholder
71,DUMMY 71,DUMMY 71,mh3g-id-res-game-array+placeholder
72,DUMMY 72,DUMMY 72,mh3g-id-res-game-array+placeholder
73,Leather Helm S,Leather Helm S,mh3g-id-res-game-array+mh3u-legacy-display-list
74,Leather Cap S,Leather Cap S,mh3g-id-res-game-array+mh3u-legacy-display-list
75,Piscine Mask S,Piscine Mask S,mh3g-id-res-game-array+mh3u-legacy-display-list
76,Piscine Snorket S,Piscine Snorket S,mh3g-id-res-game-array+mh3u-legacy-display-list
