id,name,english,source
1,Metal Bagpipe,Metal Bagpipe,
2,Metal Bagpipe +,Metal Bagpipe +,
3,Great Bagpipe,Great Bagpipe,
4,Heavy Bagpipe,Heavy Bagpipe,
5,Heavy Bagpipe +,Heavy Bagpipe +,
6,Fortissimo,Fortissimo,
7,Rinforzato,Rinforzato,
8,Usurper's Growl,Usurper's Growl,
9,Despot's Thunderclap,Despot's Thunderclap,
10,Brimstren Drakesong,Brimstren Drakesong,
11,Stygian Tristitia,Stygian Tristitia,
12,Hidden Harmonic,Hidden Harmonic,
13,Cry in the Night,Cry in the Night,
14,Eclipse Tone,Eclipse Tone,
15,Qurupeco Horn,Qurupeco Horn,
16,Qurupeco Trumpet,Qurupeco Trumpet,
17,Qurupeco Honker,Qurupeco Honker,
18,Magnifico Trumpet,Magnifico Trumpet,
19,Imperilude,Imperilude,
20,Type 63 Warmonica,Type 63 Warmonica,
21,Snarfonix,Snarfonix,
22,Soldier's Snarfonica,Soldier's Snarfonica,
23,Sandpipe,Sandpipe,
24,Sandcrier,Sandcrier,
25,Sandscreecher,Sandscreecher,
26,Sandsinger,Sandsinger,
27,Sandsoother,Sandsoother,
28,Ice Kazoo,Ice Kazoo,
29,Glacial Kazoo,Glacial Kazoo,
30,Frost Groaner,Frost Groaner,
31,Frost General,Frost General,
32,Agnakdion,Agnakdion,
33,Brandoneon,Brandoneon,
34,Scaldertina,Scaldertina,
35,Bone Horn,Bone Horn,
36,Bone Horn +,Bone Horn +,
37,Hunter's Horn,Hunter's Horn,
38,Hunter's Horn +,Hunter's Horn +,
39,Swell Shell,Swell Shell,
40,Vertex Shell,Vertex Shell,
41,Turban Shell,Turban Shell,
42,Zurogong Primo,Zurogong Primo,
43,Zurogong Secundo,Zurogong Secundo,
44,Zurogong Tertio,Zurogong Tertio,
45,Bariguiro,Bariguiro,
46,Algiguiro,Algiguiro,
47,Frigiguiro,Frigiguiro,
48,Brazengaita,Brazengaita,
49,Gigas Gaita,Gigas Gaita,
50,Archgigas Gaita,Archgigas Gaita,
51,Droth Drone,Droth Drone,
52,Droth Drone +,Droth Drone +,
53,Droth Roar,Droth Roar,
54,Black Coffin,Black Coffin,
55,Shadow Coffin,Shadow Coffin,
56,Darkest Coffin,Darkest Coffin,
57,Bloodstopper,Bloodstopper,
58,Bloodcurtler,Bloodcurtler,
59,Bloodfreezer,Bloodfreezer,
60,Valkyrie Chordrmaker,Valkyrie Chordrmaker,
61,Valkyrie Chordrmaker +,Valkyrie Chordrmaker +,
62,Queen's Chordrmaker,Queen's Chordrmaker,
63,Coral Chordrmaker,Coral Chordrmaker,
64,Coral Chordrmaker +,Coral Chordrmaker +,
65,Gold Chordrmaker,Gold Chordrmaker,
66,Lunar Chordrmaker,Lunar Chordrmaker,
67,Vicello Nulo,Vicello Nulo,
68,Vicello Unu,Vicello Unu,
69,Vicello Nulo (W),Vicello Nulo (W),
70,Vicello Unu (W),Vicello Unu (W),
71,Vicello Du (W),Vicello Du (W),
72,Vicello Nulo (Y),Vicello Nulo (Y),
73,Vicello Unu (Y),Vicello Unu (Y),
74,Vicello Du (Y),Vicello Du (Y),
75,Vicello Nulo (G),Vicello Nulo (G),
76,Vicello Unu (G),Vicello Unu (G),
77,Vicello Du (G),Vicello Du (G),
78,Vicello Tri (G),Vicello Tri (G),
79,Cindervone,Cindervone,
80,Scaldrovone,Scaldrovone,
81,Meltrovone,Meltrovone,
82,Magia Charm,Magia Charm,
83,Magia Charmbell,Magia Charmbell,
84,Aria Rhota,Aria Rhota,
85,Worn Horn,Worn Horn,
86,Weathered Horn,Weathered Horn,
87,Avenir's Music Box,Avenir's Music Box,
88,Eternal Music Box,Eternal Music Box,
89,Dios Bell,Dios Bell,
90,Dios Bell +,Dios Bell +,
91,Demolition Chime,Demolition Chime,
92,Timbral Demolisher,Timbral Demolisher,
93,Lagia Horn,Lagia Horn,
94,Lagia Horn +,Lagia Horn +,
95,Lagia Thunderpeal,Lagia Thunderpeal,
96,Nether Flute,Nether Flute,
97,Nether Sinphony,Nether Sinphony,
98,Megiddo Mode,Megiddo Mode,
99,The Apocalypso,The Apocalypso,
100,Voltage Verve,Voltage Verve,
101,High Voltage Verve,High Voltage Verve,
