id,name,english,source
2,Book of Combos 1,Book of Combos 1,
3,Book of Combos 2,Book of Combos 2,
4,Book of Combos 3,Book of Combos 3,
5,Book of Combos 4,Book of Combos 4,
6,Book of Combos 5,Book of Combos 5,
7,Organizer Guide,Organizer Guide,
8,Pack Rat Guide,Pack Rat Guide,
9,Potion,Potion,
10,Mega Potion,Mega Potion,
11,Nutrients,Nutrients,
12,Mega Nutrients,Mega Nutrients,
13,Antidote,Antidote,
14,Immunizer,Immunizer,
15,Dash Juice,Dash Juice,
16,Mega Dash Juice,Mega Dash Juice,
17,Demondrug,Demondrug,
18,Mega Demondrug,Mega Demondrug,
19,Might Pill,Might Pill,
20,Armorskin,Armorskin,
21,Mega Armorskin,Mega Armorskin,
22,Adamant Pill,Adamant Pill,
23,Cool Drink,Cool Drink,
24,Hot Drink,Hot Drink,
25,Cleanser,Cleanser,
26,Psychoserum,Psychoserum,
27,Herbal Medicine,Herbal Medicine,
28,Max Potion,Max Potion,
29,Ancient Potion,Ancient Potion,
30,Catalyst,Catalyst,
31,Energy Drink,Energy Drink,
32,Air Philter,Air Philter,
33,Mega Air Philter,Mega Air Philter,
34,Gunpowder,Gunpowder,
35,Lifecrystals,Lifecrystals,
36,Lifepowder,Lifepowder,
37,Mystery Charm,Mystery Charm,
38,Shining Charm,Shining Charm,
39,Timeworn Charm,Timeworn Charm,
40,Enduring Charm,Enduring Charm,
41,Powercharm,Powercharm,
42,Powertalon,Powertalon,
43,Armorcharm,Armorcharm,
44,Armortalon,Armortalon,
45,Tranquilizer,Tranquilizer,
46,Raw Meat,Raw Meat,
47,Poisoned Meat,Poisoned Meat,
48,Tinged Meat,Tinged Meat,
49,Durgged Meat,Durgged Meat,
50,Rare Steak,Rare Steak,
51,Well-done Steak,Well-done Steak,
52,Burnt Meat,Burnt Meat,
53,Hot Meat,Hot Meat,
54,Chilled Meat,Chilled Meat,
55,Pink Liver,Pink Liver,
56,Ethnic Wyvrnmeat,Ethnic Wyvrnmeat,
57,Boomerang,Boomerang,
58,Throwing Knife,Throwing Knife,
59,Poison Knife,Poison Knife,
60,Slee Knife,Slee Knife,
61,Paralysis Knife,Paralysis Knife,
62,Tranq Knife,Tranq Knife,
63,Bomb Casing,Bomb Casing,
64,Paintball,Paintball,
65,Flash Bomb,Flash Bomb,
66,Sonic Bomb,Sonic Bomb,
67,Dung,Dung,
68,Super-sized Dung,Super-sized Dung,
69,Fertile Mud,Fertile Mud,
