id,name,english,source
1,Antidote Jewel 1,Antidote Jewel 1,mh3u-legacy-display-list
2,Antidote Jewel 2,Antidote Jewel 2,mh3u-legacy-display-list
3,Paralysis Jwl 1,Paralysis Jwl 1,mh3u-legacy-display-list
4,Paralysis Jwl 2,Paralysis Jwl 2,mh3u-legacy-display-list
5,Pep Jewel 1,Pep Jewel 1,mh3u-legacy-display-list
6,Pep Jewel 2,Pep Jewel 2,mh3u-legacy-display-list
7,Steadfast Jwl 1,Steadfast Jwl 1,mh3u-legacy-display-list
8,Standfast Jwl 1,Standfast Jwl 1,mh3u-legacy-display-list
9,Tracker Jewel 1,Tracker Jewel 1,mh3u-legacy-display-list
10,Trekker Jewel 1,Trekker Jewel 1,mh3u-legacy-display-list
11,Ninja Jewel 1,Ninja Jewel 1,mh3u-legacy-display-list
12,Vitality Jewel 1,Vitality Jewel 1,mh3u-legacy-display-list
13,Reovery Jewel 1,Reovery Jewel 1,mh3u-legacy-display-list
14,Reovery Jewel 2,Reovery Jewel 2,mh3u-legacy-display-list
15,Razor Jewel 1,Razor Jewel 1,mh3u-legacy-display-list
16,Razor Jewel 3,Razor Jewel 3,mh3u-legacy-display-list
17,Handicraft Jwl 2,Handicraft Jwl 2,mh3u-legacy-display-list
18,Handicraft Jwl 3,Handicraft Jwl 3,mh3u-legacy-display-list
19,Fencer Jewel 1,Fencer Jewel 1,mh3u-legacy-display-list
20,Fencer Jewel 3,Fencer Jewel 3,mh3u-legacy-display-list
21,Expert Jewel 1,Expert Jewel 1,mh3u-legacy-display-list
22,Expert Jewel 2,Expert Jewel 2,mh3u-legacy-display-list
23,Expert Jewel 3,Expert Jewel 3,mh3u-legacy-display-list
24,Grinder Jewel 1,Grinder Jewel 1,mh3u-legacy-display-list
25,Ironwall Jewel 1,Ironwall Jewel 1,mh3u-legacy-display-list
26,Ironwall Jewel 2,Ironwall Jewel 2,mh3u-legacy-display-list
27,Shield Jewel 1,Shield Jewel 1,mh3u-legacy-display-list
28,Shield Jewel 2,Shield Jewel 2,mh3u-legacy-display-list
29,Quickload Jwl 1,Quickload Jwl 1,mh3u-legacy-display-list
30,Quickload Jwl 2,Quickload Jwl 2,mh3u-legacy-display-list
31,Absorber Jewel 1,Absorber Jewel 1,mh3u-legacy-display-list
32,Absorber Jewel 3,Absorber Jewel 3,mh3u-legacy-display-list
33,Forceshot Jwl 1,Forceshot Jwl 1,mh3u-legacy-display-list
34,Forceshot Jwl 3,Forceshot Jwl 3,mh3u-legacy-display-list
