id,name,english,source
0,None,None,mh3g-id-res-game-array+placeholder
1,Iron Lance,Iron Lance,mh3g-id-res-game-array+mh3u-legacy-display-list
2,Iron Lance +,Iron Lance +,mh3g-id-res-game-array+mh3u-legacy-display-list
3,Thane Lance,Thane Lance,mh3g-id-res-game-array+mh3u-legacy-display-list
4,Thane Lance +,Thane Lance +,mh3g-id-res-game-array+mh3u-legacy-display-list
5,Knight Lance,Knight Lance,mh3g-id-res-game-array+mh3u-legacy-display-list
6,Rampart,Rampart,mh3g-id-res-game-array+mh3u-legacy-display-list
7,Rampart +,Rampart +,mh3g-id-res-game-array+mh3u-legacy-display-list
8,Babel Spear,Babel Spear,mh3g-id-res-game-array+mh3u-legacy-display-list
9,Eleder Babel Spear,Eleder Babel Spear,mh3g-id-res-game-array+mh3u-legacy-display-list
10,Lost Babel,Lost Babel,mh3g-id-res-game-array+mh3u-legacy-display-list
11,Drill Lance,Drill Lance,mh3g-id-res-game-array+mh3u-legacy-display-list
12,Megadrill Lance,Megadrill Lance,mh3g-id-res-game-array+mh3u-legacy-display-list
13,Gigadrill Lance,Gigadrill Lance,mh3g-id-res-game-array+mh3u-legacy-display-list
14,Red Tail,Red Tail,mh3g-id-res-game-array+mh3u-legacy-display-list
15,Hellfire,Hellfire,mh3g-id-res-game-array+mh3u-legacy-display-list
16,Spear of Prominence,Spear of Prominence,mh3g-id-res-game-array+mh3u-legacy-display-list
17,Red Prominence,Red Prominence,mh3g-id-res-game-array+mh3u-legacy-display-list
18,Silver Prominence,Silver Prominence,mh3g-id-res-game-array+mh3u-legacy-display-list
19,Sol Prominence,Sol Prominence,mh3g-id-res-game-array+mh3u-legacy-display-list
20,Blue Tail,Blue Tail,mh3g-id-res-game-array+mh3u-legacy-display-list
21,Blue Prominence,Blue Prominence,mh3g-id-res-game-array+mh3u-legacy-display-list
22,Soul of Prominence,Soul of Prominence,mh3g-id-res-game-array+mh3u-legacy-display-list
23,Tusk Lance,Tusk Lance,mh3g-id-res-game-array+mh3u-legacy-display-list
24,Tush Lance +,Tush Lance +,mh3g-id-res-game-array+mh3u-legacy-display-list
25,Sabertooth,Sabertooth,mh3g-id-res-game-array+mh3u-legacy-display-list
26,Shiera Stolrata,Shiera Stolrata,mh3g-id-res-game-array+mh3u-legacy-display-list
27,Shiera Vitalica,Shiera Vitalica,mh3g-id-res-game-array+mh3u-legacy-display-list
28,Azure Crest,Azure Crest,mh3g-id-res-game-array+mh3u-legacy-display-list
29,Azure Crest +,Azure Crest +,mh3g-id-res-game-array+mh3u-legacy-display-list
30,Great Azure,Great Azure,mh3g-id-res-game-array+mh3u-legacy-display-list
31,Bandera Azul,Bandera Azul,mh3g-id-res-game-array+mh3u-legacy-display-list
32,Aqua Spear,Aqua Spear,mh3g-id-res-game-array+mh3u-legacy-display-list
33,Aqua Spear +,Aqua Spear +,mh3g-id-res-game-array+mh3u-legacy-display-list
34,Stream Spear,Stream Spear,mh3g-id-res-game-array+mh3u-legacy-display-list
35,Emerald Spear,Emerald Spear,mh3g-id-res-game-array+mh3u-legacy-display-list
36,Esmeralda's Tide,Esmeralda's Tide,mh3g-id-res-game-array+mh3u-legacy-display-list
37,Rockabye Spear,Rockabye Spear,mh3g-id-res-game-array+mh3u-legacy-display-list
38,Requiem Spear,Requiem Spear,mh3g-id-res-game-array+mh3u-legacy-display-list
39,Acrus Lance,Acrus Lance,mh3g-id-res-game-array+mh3u-legacy-display-list
40,Acrus Lance +,Acrus Lance +,mh3g-id-res-game-array+mh3u-legacy-display-list
41,High Acrus Lance,High Acrus Lance,mh3g-id-res-game-array+mh3u-legacy-display-list
42,Doris Spear,Doris Spear,mh3g-id-res-game-array+mh3u-legacy-display-list
43,Amphitrite,Amphitrite,mh3g-id-res-game-array+mh3u-legacy-display-list
44,Neo Acrus Lance,Neo Acrus Lance,mh3g-id-res-game-array+mh3u-legacy-display-list
45,Gaius Whitebolt,Gaius Whitebolt,mh3g-id-res-game-array+mh3u-legacy-display-list
46,Nether Warlance,Nether Warlance,mh3g-id-res-game-array+mh3u-legacy-display-list
47,Nether Terracontier,Nether Terracontier,mh3g-id-res-game-array+mh3u-legacy-display-list
48,Boros Spear,Boros Spear,mh3g-id-res-game-array+mh3u-legacy-display-list
49,Boros Spear +,Boros Spear +,mh3g-id-res-game-array+mh3u-legacy-display-list
