id,name,english,source
0,None,None,mh3g-id-res-game-array+placeholder
1,Cross Bowgun,Cross Bowgun,mh3g-id-res-game-array+mh3u-legacy-display-list
2,Cross Bowgun +,Cross Bowgun +,mh3g-id-res-game-array+mh3u-legacy-display-list
3,Cross Blitz,Cross Blitz,mh3g-id-res-game-array+mh3u-legacy-display-list
4,Hunter's Rifle,Hunter's Rifle,mh3g-id-res-game-array+mh3u-legacy-display-list
5,Sniper Shot,Sniper Shot,mh3g-id-res-game-array+mh3u-legacy-display-list
6,Sniper Ascension,Sniper Ascension,mh3g-id-res-game-array+mh3u-legacy-display-list
7,Barro Barrel,Barro Barrel,mh3g-id-res-game-array+mh3u-legacy-display-list
8,Barrel Barrel +,Barrel Barrel +,mh3g-id-res-game-array+mh3u-legacy-display-list
9,Barrozooka,Barrozooka,mh3g-id-res-game-array+mh3u-legacy-display-list
10,Aurora Flare,Aurora Flare,mh3g-id-res-game-array+mh3u-legacy-display-list
11,Avalauncher,Avalauncher,mh3g-id-res-game-array+mh3u-legacy-display-list
12,Glacialahti,Glacialahti,mh3g-id-res-game-array+mh3u-legacy-display-list
13,Arctica Cannon,Arctica Cannon,mh3g-id-res-game-array+mh3u-legacy-display-list
14,Dios Blaster,Dios Blaster,mh3g-id-res-game-array+mh3u-legacy-display-list
15,Dios Blaster +,Dios Blaster +,mh3g-id-res-game-array+mh3u-legacy-display-list
16,Demolition Gun,Demolition Gun,mh3g-id-res-game-array+mh3u-legacy-display-list
17,Ballista Demolisher,Ballista Demolisher,mh3g-id-res-game-array+mh3u-legacy-display-list
18,Jaggid Fire,Jaggid Fire,mh3g-id-res-game-array+mh3u-legacy-display-list
19,Bandit Fire,Bandit Fire,mh3g-id-res-game-array+mh3u-legacy-display-list
20,Bandit's Rage,Bandit's Rage,mh3g-id-res-game-array+mh3u-legacy-display-list
21,Merciless Rage,Merciless Rage,mh3g-id-res-game-array+mh3u-legacy-display-list
22,Royal Launcher,Royal Launcher,mh3g-id-res-game-array+mh3u-legacy-display-list
23,Royal Torrent,Royal Torrent,mh3g-id-res-game-array+mh3u-legacy-display-list
24,Royal Inundation,Royal Inundation,mh3g-id-res-game-array+mh3u-legacy-display-list
25,Maelstrom,Maelstrom,mh3g-id-res-game-array+mh3u-legacy-display-list
26,Maelstrom +,Maelstrom +,mh3g-id-res-game-array+mh3u-legacy-display-list
27,Plesioth Drencher,Plesioth Drencher,mh3g-id-res-game-array+mh3u-legacy-display-list
28,Jade Storm,Jade Storm,mh3g-id-res-game-array+mh3u-legacy-display-list
29,Jade Tempest,Jade Tempest,mh3g-id-res-game-array+mh3u-legacy-display-list
30,Gobul Shooter,Gobul Shooter,mh3g-id-res-game-array+mh3u-legacy-display-list
31,Crimson Angler,Crimson Angler,mh3g-id-res-game-array+mh3u-legacy-display-list
32,Crimson Angler +,Crimson Angler +,mh3g-id-res-game-array+mh3u-legacy-display-list
33,Zhen Angler,Zhen Angler,mh3g-id-res-game-array+mh3u-legacy-display-list
34,Gobul Ganador,Gobul Ganador,mh3g-id-res-game-array+mh3u-legacy-display-list
35,Poison Stinger,Poison Stinger,mh3g-id-res-game-array+mh3u-legacy-display-list
36,Poison Aftermath,Poison Aftermath,mh3g-id-res-game-array+mh3u-legacy-display-list
37,Immortal Shackle,Immortal Shackle,mh3g-id-res-game-array+mh3u-legacy-display-list
38,Immortal Gaol,Immortal Gaol,mh3g-id-res-game-array+mh3u-legacy-display-list
39,Immortal Prison,Immortal Prison,mh3g-id-res-game-array+mh3u-legacy-display-list
40,Bloothirsty Binder,Bloothirsty Binder,mh3g-id-res-game-array+mh3u-legacy-display-list
41,Crimson Seeker,Crimson Seeker,mh3g-id-res-game-array+mh3u-legacy-display-list
42,Deadly Chaser,Deadly Chaser,mh3g-id-res-game-array+mh3u-legacy-display-list
43,Specter of Grief,Specter of Grief,mh3g-id-res-game-array+mh3u-legacy-display-list
44,Blizzard Cannon,Blizzard Cannon,mh3g-id-res-game-array+mh3u-legacy-display-list
45,Blizzard Volley,Blizzard Volley,mh3g-id-res-game-array+mh3u-legacy-display-list
46,Tabula Blizzara,Tabula Blizzara,mh3g-id-res-game-array+mh3u-legacy-display-list
