id,name,english,source
1,Leather Pants,Leather Pants,
2,Piscine Breeches,Piscine Breeches,
3,Chainmail Pants,Chainmail Pants,
4,Loc Lac Boots,Loc Lac Boots,
5,Hunter's Greaves,Hunter's Greaves,
6,Hunter's Leggings,Hunter's Leggings,
7,Bone Greaves,Bone Greaves,
8,Bone Leggings,Bone Leggings,
9,Alloy Greaves,Alloy Greaves,
10,Alloy Leggings,Alloy Leggings,
11,Jaggi Greaves,Jaggi Greaves,
12,Jaggi Leggings,Jaggi Leggings,
13,Bnahabra Boots,Bnahabra Boots,
14,Bnahabra Pants,Bnahabra Pants,
15,Rhenoplos Greaves,Rhenoplos Greaves,
16,Rhenoplos Leggings,Rhenoplos Leggings,
17,Qurupeco Greaves,Qurupeco Greaves,
18,Qurupeco Leggings,Qurupeco Leggings,
19,Ludroth Greaves,Ludroth Greaves,
20,Ludroth Leggings,Ludroth Leggings,
21,Baggi Greaves,Baggi Greaves,
22,Baggi Leggings,Baggi Leggings,
23,Barroth Greaves,Barroth Greaves,
24,Barroth Leggings,Barroth Leggings,
25,Gobul Greaves,Gobul Greaves,
26,Greaves Leggings,Greaves Leggings,
29,Guild Bard Boots,Guild Bard Boots,
30,Guild Bard Gaiters,Guild Bard Gaiters,
31,Scholar's Socks,Scholar's Socks,
32,Scholar's Sandals,Scholar's Sandals,
33,Rathian Greaves,Rathian Greaves,
34,Rathian Leggings,Rathian Leggings,
35,Gigginox Greaves,Gigginox Greaves,
36,Gigginox Leggings,Gigginox Leggings,
37,Ingot Greaves,Ingot Greaves,
38,Ingot Leggings,Ingot Leggings,
39,Lagiacrus Greaves,Lagiacrus Greaves,
40,Lagiacrus Leggings,Lagiacrus Leggings,
41,Rathalos Greaves,Rathalos Greaves,
42,Rathalos Leggings,Rathalos Leggings,
43,Barioth Greaves,Barioth Greaves,
44,Barioth Leggings,Barioth Leggings,
45,Diablos Greaves,Diablos Greaves,
46,Diablos Leggings,Diablos Leggings,
47,Uragaan Greaves,Uragaan Greaves,
48,Uragaan Leggings,Uragaan Leggings,
49,Agnaktor Greaves,Agnaktor Greaves,
50,Agnaktor Leggings,Agnaktor Leggings,
51,Helios Greaves,Helios Greaves,
52,Helios Leggings,Helios Leggings,
53,Selene Greaves,Selene Greaves,
54,Selene Leggings,Selene Leggings,
55,Wroggi Greaves,Wroggi Greaves,
56,Wroggi Leggings,Wroggi Leggings,
57,Arzuros Greaves,Arzuros Greaves,
58,Arzuros Leggings,Arzuros Leggings,
59,Lagombi Greaves,Lagombi Greaves,
60,Lagombi Leggings,Lagombi Leggings,
61,Volvidon Greaves,Volvidon Greaves,
62,Volvidon Leggings,Volvidon Leggings,
63,Nibelsnarf Greaves,Nibelsnarf Greaves,
64,Nibelsnarf Leggings,Nibelsnarf Leggings,
65,Duramboros Greaves,Duramboros Greaves,
66,Duramboros Leggings,Duramboros Leggings,
67,Yukumo Hakama,Yukumo Hakama,
76,Leather Greaves S,Leather Greaves S,
77,Leather Leggings S,Leather Leggings S,
78,Piscine Breeches S,Piscine Breeches S,
79,Piscine Leggings S,Piscine Leggings S,
80,Chainmail Greaves S,Chainmail Greaves S,
81,Chainmail Leggings S,Chainmail Leggings S,
82,Loc Lac Boots S,Loc Lac Boots S,
83,Loc Lac Gaiters S,Loc Lac Gaiters S,
84,Hunter's Greaves S,Hunter's Greaves S,
85,Hunter's Leggings S,Hunter's Leggings S,
86,Bone Greaves S,Bone Greaves S,
87,Bone Leggings S,Bone Leggings S,
88,Alloy Greaves S,Alloy Greaves S,
89,Alloy Leggings S,Alloy Leggings S,
90,Jaggi Greaves S,Jaggi Greaves S,
91,Jaggi Leggings S,Jaggi Leggings S,
92,Bnahabra Boots S,Bnahabra Boots S,
93,Bnahabra Pants S,Bnahabra Pants S,
94,Rhenoplos Greaves S,Rhenoplos Greaves S,
95,Rhenoplos Leggings S,Rhenoplos Leggings S,
96,Qurupeco Greaves S,Qurupeco Greaves S,
97,Qurupeco Leggings S,Qurupeco Leggings S,
98,Qurupeco Greaves U,Qurupeco Greaves U,
99,Qurupeco Leggings U,Qurupeco Leggings U,
100,Ludroth Greaves S,Ludroth Greaves S,
101,Leggings Leggings S,Leggings Leggings S,
102,Leggings Greaves U,Leggings Greaves U,
103,Leggings Leggings U,Leggings Leggings U,
104,Baggi Greaves S,Baggi Greaves S,
105,Baggi Leggings S,Baggi Leggings S,
106,Wroggi Greaves S,Wroggi Greaves S,
107,Wroggi Leggings S,Wroggi Leggings S,
108,Arzuros Greaves S,Arzuros Greaves S,
109,Arzuros Leggings S,Arzuros Leggings S,
110,Lagombi Greaves S,Lagombi Greaves S,
111,Lagombi Leggings S,Lagombi Leggings S,
112,Volvidon Greaves S,Volvidon Greaves S,
113,Volvidon Leggings S,Volvidon Leggings S,
114,Barroth Greaves S,Barroth Greaves S,
115,Barroth Leggings S,Barroth Leggings S,
116,Barroth Greaves U,Barroth Greaves U,
117,Barroth Leggings U,Barroth Leggings U,
118,Gobul Greaves S,Gobul Greaves S,
119,Gobul Leggings S,Gobul Leggings S,
120,Guild Bard Boots S,Guild Bard Boots S,
121,Guild Bard Gaiters S,Guild Bard Gaiters S,
122,Scholar's Socks S,Scholar's Socks S,
123,Scholar's Sandals S,Scholar's Sandals S,
124,Rathian Greaves S,Rathian Greaves S,
125,Rathian Leggings S,Rathian Leggings S,
126,Rath Heart Greaves,Rath Heart Greaves,
127,Rath Heart Leggings,Rath Heart Leggings,
128,Gigginox Greaves S,Gigginox Greaves S,
129,Gigginox Leggings S,Gigginox Leggings S,
130,Gigginox Greaves S,Gigginox Greaves S,
131,Gigginox Leggings S,Gigginox Leggings S,
132,Ingot Greaves S,Ingot Greaves S,
133,Ingot Leggings S,Ingot Leggings S,
134,Dober Greaves,Dober Greaves,
135,Dober Leggings,Dober Leggings,
136,Yukumo Sky Hakama,Yukumo Sky Hakama,
137,Yukumo Land Hakama,Yukumo Land Hakama,
138,Aelucanth Crura,Aelucanth Crura,
139,Aelucanth Tarsi,Aelucanth Tarsi,
140,Rhopessa Crura,Rhopessa Crura,
141,Rhopessa Tarsi,Rhopessa Tarsi,
142,Mosgharl Roots,Mosgharl Roots,
143,Mosgharl Radicles,Mosgharl Radicles,
144,Artian Greaves,Artian Greaves,
145,Artian Leggings,Artian Leggings,
146,Lagiacrus Greaves S,Lagiacrus Greaves S,
147,Lagiacrus Leggings S,Lagiacrus Leggings S,
148,Lagiacrus Greaves U,Lagiacrus Greaves U,
149,Lagiacrus Leggings U,Lagiacrus Leggings U,
150,Rathalos Greaves S,Rathalos Greaves S,
151,Rathalos Leggings S,Rathalos Leggings S,
152,Rath Soul Greaves,Rath Soul Greaves,
153,Rath Soul Leggings,Rath Soul Leggings,
154,Barioth Greaves S,Barioth Greaves S,
155,Barioth Leggings S,Barioth Leggings S,
156,Barioth Greaves U,Barioth Greaves U,
157,Barioth Leggings U,Barioth Leggings U,
158,Diablos Greaves S,Diablos Greaves S,
159,Diablos Leggings S,Diablos Leggings S,
160,Diablos Greaves U,Diablos Greaves U,
161,Diablos Leggings U,Diablos Leggings U,
162,Uragaan Greaves S,Uragaan Greaves S,
163,Uragaan Leggings S,Uragaan Leggings S,
164,Uragaan Greaves U,Uragaan Greaves U,
165,Uragaan Leggings U,Uragaan Leggings U,
166,Agnaktor Greaves S,Agnaktor Greaves S,
167,Agnaktor Leggings S,Agnaktor Leggings S,
168,Agnaktor Greaves U,Agnaktor Greaves U,
169,Agnaktor Leggings U,Agnaktor Leggings U,
170,Vangis Greaves,Vangis Greaves,
171,Vangis Leggings,Vangis Leggings,
172,Damascus Greaves,Damascus Greaves,
173,Damascus Leggings,Damascus Leggings,
178,Yamato Gusoku,Yamato Gusoku,
179,Mutsu Gusoku,Mutsu Gusoku,
180,Hyuga Hakama,Hyuga Hakama,
181,Amagi Hakama,Amagi Hakama,
182,Escadora Scale,Escadora Scale,
183,Escadora Scala,Escadora Scala,
184,Zinogre Greaves,Zinogre Greaves,
185,Zinogre Leggings,Zinogre Leggings,
186,Nibelsnarf Greaves S,Nibelsnarf Greaves S,
187,Nibelsnarf Leggngs S,Nibelsnarf Leggngs S,
188,Duramboros Greaves S,Duramboros Greaves S,
189,Duramboros Leggngs S,Duramboros Leggngs S,
190,Nargacuga Greaves,Nargacuga Greaves,
191,Nargacuga Leggings,Nargacuga Leggings,
192,Plesioth Greaves,Plesioth Greaves,
193,Plesioth Leggings,Plesioth Leggings,
194,Brachydios Greaves,Brachydios Greaves,
195,Brachydios Leggings,Brachydios Leggings,
196,Dianthus Breeches,Dianthus Breeches,
197,Campanile Breeches,Campanile Breeches,
198,Ranger's Espadrilles,Ranger's Espadrilles,
199,Archer's Espadrilles,Archer's Espadrilles,
212,Ingot Greaves X,Ingot Greaves X,
213,Ingot Leggings X,Ingot Leggings X,
214,Bnahabra Boots X,Bnahabra Boots X,
215,Bnahabra Pants X,Bnahabra Pants X,
216,Rhenoplos Greaves X,Rhenoplos Greaves X,
217,Rhenoplos Leggings X,Rhenoplos Leggings X,
218,Jaggi Greaves X,Jaggi Greaves X,
219,Jaggi Leggings X,Jaggi Leggings X,
220,Baggi Greaves X,Baggi Greaves X,
221,Baggi Leggings X,Baggi Leggings X,
222,Wroggi Greaves X,Wroggi Greaves X,
223,Wroggi Leggings X,Wroggi Leggings X,
224,Arzuros Greaves X,Arzuros Greaves X,
225,Arzuros Leggings X,Arzuros Leggings X,
226,Lagombi Greaves X,Lagombi Greaves X,
227,Lagombi Lagombi X,Lagombi Lagombi X,
228,Volvidon Greaves X,Volvidon Greaves X,
229,Volvidon Leggings X,Volvidon Leggings X,
230,Qurupeco Greaves X,Qurupeco Greaves X,
231,Qurupeco Leggings X,Qurupeco Leggings X,
232,Qurupeco Greaves Z,Qurupeco Greaves Z,
233,Qurupeco Leggings Z,Qurupeco Leggings Z,
234,Ludroth Greaves X,Ludroth Greaves X,
235,Ludroth Leggings X,Ludroth Leggings X,
236,Ludroth Greaves Z,Ludroth Greaves Z,
237,Ludroth Leggings Z,Ludroth Leggings Z,
238,Barroth Greaves X,Barroth Greaves X,
239,Barroth Leggings X,Barroth Leggings X,
240,Barroth Greaves Z,Barroth Greaves Z,
241,Barroth Leggings Z,Barroth Leggings Z,
242,Gobul Greaves X,Gobul Greaves X,
243,Gobul Leggings X,Gobul Leggings X,
244,Rathalos Greaves X,Rathalos Greaves X,
245,Rathalos Leggings X,Rathalos Leggings X,
246,Rath Soul Greaves Z,Rath Soul Greaves Z,
247,Rath Soul Leggings Z,Rath Soul Leggings Z,
248,Silver Solgreaves,Silver Solgreaves,
249,Silver Solleggings,Silver Solleggings,
250,Rathian Greaves X,Rathian Greaves X,
251,Rathian Leggings X,Rathian Leggings X,
252,Rath Heart Greaves Z,Rath Heart Greaves Z,
253,Rath Heart Leggngs Z,Rath Heart Leggngs Z,
254,Golden Lunegreaves,Golden Lunegreaves,
255,Golden Luneleggings,Golden Luneleggings,
256,Lagiacrus Greaves X,Lagiacrus Greaves X,
257,Lagiacrus Leggings X,Lagiacrus Leggings X,
258,Lagiacrus Greaves Z,Lagiacrus Greaves Z,
259,Lagiacrus Leggings Z,Lagiacrus Leggings Z,
260,Nether Greaves,Nether Greaves,
261,Nether Leggings,Nether Leggings,
262,Gigginox Greaves X,Gigginox Greaves X,
263,Gigginox Leggings X,Gigginox Leggings X,
264,Gigginox Greaves Z,Gigginox Greaves Z,
265,Gigginox Leggings Z,Gigginox Leggings Z,
266,Barioth Greaves X,Barioth Greaves X,
267,Barioth Leggings X,Barioth Leggings X,
268,Barioth Greaves Z,Barioth Greaves Z,
269,Barioth Leggings Z,Barioth Leggings Z,
270,Diablos Greaves X,Diablos Greaves X,
271,Diablos Leggings X,Diablos Leggings X,
272,Diablos Greaves Z,Diablos Greaves Z,
273,Diablos Leggings Z,Diablos Leggings Z,
274,Uragaan Greaves X,Uragaan Greaves X,
275,Uragaan Leggings X,Uragaan Leggings X,
276,Uragaan Greaves Z,Uragaan Greaves Z,
277,Uragaan Leggings Z,Uragaan Leggings Z,
278,Agnaktor Greaves X,Agnaktor Greaves X,
279,Agnaktor Leggings X,Agnaktor Leggings X,
280,Agnaktor Greaves Z,Agnaktor Greaves Z,
281,Agnaktor Leggings Z,Agnaktor Leggings Z,
282,Helios Greaves X,Helios Greaves X,
283,Helios Leggings X,Helios Leggings X,
284,Helios Greaves Z,Helios Greaves Z,
285,Helios Leggings Z,Helios Leggings Z,
286,Selene Greaves X,Selene Greaves X,
287,Selene Leggings X,Selene Leggings X,
288,Selene Greaves Z,Selene Greaves Z,
289,Selene Leggings Z,Selene Leggings Z,
290,Grand Yamato Gusoku,Grand Yamato Gusoku,
291,Grand Mutsu Gusoku,Grand Mutsu Gusoku,
292,Grand Hyuga Hakama,Grand Hyuga Hakama,
