id,name,english,source
0,None,None,mh3g-id-res-game-array+placeholder
1,Iron Katana,Iron Katana,mh3g-id-res-game-array+mh3u-legacy-display-list
2,Iron Grace,Iron Grace,mh3g-id-res-game-array+mh3u-legacy-display-list
3,Iron Gospel,Iron Gospel,mh3g-id-res-game-array+mh3u-legacy-display-list
4,Chainslaughter,Chainslaughter,mh3g-id-res-game-array+mh3u-legacy-display-list
5,Rumbalarum,Rumbalarum,mh3g-id-res-game-array+mh3u-legacy-display-list
6,Thunder Saw,Thunder Saw,mh3g-id-res-game-array+mh3u-legacy-display-list
7,Usurper's Boltslicer,Usurper's Boltslicer,mh3g-id-res-game-array+mh3u-legacy-display-list
8,Despot's Boltbreaker,Despot's Boltbreaker,mh3g-id-res-game-array+mh3u-legacy-display-list
9,Oppressor's Law,Oppressor's Law,mh3g-id-res-game-array+mh3u-legacy-display-list
10,Nether Katana,Nether Katana,mh3g-id-res-game-array+mh3u-legacy-display-list
11,Nether Dilemnity,Nether Dilemnity,mh3g-id-res-game-array+mh3u-legacy-display-list
12,Stygian Gula,Stygian Gula,mh3g-id-res-game-array+mh3u-legacy-display-list
13,Rimeblade,Rimeblade,mh3g-id-res-game-array+mh3u-legacy-display-list
14,Rimeblossom,Rimeblossom,mh3g-id-res-game-array+mh3u-legacy-display-list
15,Rime & Treason,Rime & Treason,mh3g-id-res-game-array+mh3u-legacy-display-list
16,Edel's Ice,Edel's Ice,mh3g-id-res-game-array+mh3u-legacy-display-list
17,Hidden Saber,Hidden Saber,mh3g-id-res-game-array+mh3u-legacy-display-list
18,Hidden Saber +,Hidden Saber +,mh3g-id-res-game-array+mh3u-legacy-display-list
19,Deepest Night,Deepest Night,mh3g-id-res-game-array+mh3u-legacy-display-list
20,Eclipse Saber,Eclipse Saber,mh3g-id-res-game-array+mh3u-legacy-display-list
21,Megrez's Asterism,Megrez's Asterism,mh3g-id-res-game-array+mh3u-legacy-display-list
22,Virnar Saber,Virnar Saber,mh3g-id-res-game-array+mh3u-legacy-display-list
23,Depths of Midnight,Depths of Midnight,mh3g-id-res-game-array+mh3u-legacy-display-list
24,Wroggi Sword,Wroggi Sword,mh3g-id-res-game-array+mh3u-legacy-display-list
25,Nightshade's Bite,Nightshade's Bite,mh3g-id-res-game-array+mh3u-legacy-display-list
26,Belladonna's Bite,Belladonna's Bite,mh3g-id-res-game-array+mh3u-legacy-display-list
27,Thunderclap,Thunderclap,mh3g-id-res-game-array+mh3u-legacy-display-list
28,Thunderclap +,Thunderclap +,mh3g-id-res-game-array+mh3u-legacy-display-list
29,Heaven's Thunder,Heaven's Thunder,mh3g-id-res-game-array+mh3u-legacy-display-list
30,Heaven's Sunderer,Heaven's Sunderer,mh3g-id-res-game-array+mh3u-legacy-display-list
31,Truest Sunderer,Truest Sunderer,mh3g-id-res-game-array+mh3u-legacy-display-list
32,Plesioth Splasher,Plesioth Splasher,mh3g-id-res-game-array+mh3u-legacy-display-list
33,Plesioth Splasher +,Plesioth Splasher +,mh3g-id-res-game-array+mh3u-legacy-display-list
34,Verdant Splash,Verdant Splash,mh3g-id-res-game-array+mh3u-legacy-display-list
35,Verdant Splash +,Verdant Splash +,mh3g-id-res-game-array+mh3u-legacy-display-list
36,Jade Vagalhao,Jade Vagalhao,mh3g-id-res-game-array+mh3u-legacy-display-list
37,Arzuros Naginata,Arzuros Naginata,mh3g-id-res-game-array+mh3u-legacy-display-list
38,Arzuros Naginata +,Arzuros Naginata +,mh3g-id-res-game-array+mh3u-legacy-display-list
