id,name,english,source
1,Bone Axe,Bone Axe,
2,Bone Axe +,Bone Axe +,
3,Bone Smasher,Bone Smasher,
4,Assault Axe,Assault Axe,
5,Assault Axe +,Assault Axe +,
6,Blitzkrieg,Blitzkrieg,
7,Blitzkrieg +,Blitzkrieg +,
8,Bastion Blitz,Bastion Blitz,
9,Hidden Axe,Hidden Axe,
10,Night's Crescent,Night's Crescent,
11,Avidya Axe,Avidya Axe,
12,Eclipse Axe,Eclipse Axe,
13,Mizar's Asterism,Mizar's Asterism,
14,Tyrannos,Tyrannos,
15,Terror Tyrannos,Terror Tyrannos,
16,Saligia Vileaxe,Saligia Vileaxe,
17,Saligia Enderaxe,Saligia Enderaxe,
18,Bolt Axe,Bolt Axe,
19,Bolt Axe +,Bolt Axe +,
20,High Bolt Axe,High Bolt Axe,
21,Volt Axe,Volt Axe,
22,Megavolt Axe,Megavolt Axe,
23,Neo Bolt Axe,Neo Bolt Axe,
24,Remiel Whitebolt,Remiel Whitebolt,
25,Nether Direaxe,Nether Direaxe,
26,Nether Excellion,Nether Excellion,
27,Arzuros Axe,Arzuros Axe,
28,Arzuros Axe +,Arzuros Axe +,
29,Arzuros Massifax,Arzuros Massifax,
30,Arzuros Revelax,Arzuros Revelax,
31,Dios Axe,Dios Axe,
32,Dios Axe +,Dios Axe +,
33,Demolition Axe,Demolition Axe,
34,Brisant Demolisher,Brisant Demolisher,
35,Amber Slash,Amber Slash,
36,Amber Slash +,Amber Slash +,
37,Amber Hoarfrost,Amber Hoarfrost,
38,Galefrost,Galefrost,
39,Giga Galefrost,Giga Galefrost,
40,Arzurite Slash Axe,Arzurite Slash Axe,
41,Gale Arzurite,Gale Arzurite,
42,Giga Gale Arzurite,Giga Gale Arzurite,
43,Pecospander,Pecospander,
44,Pecospander +,Pecospander +,
45,Qurupexspander,Qurupexspander,
46,Motor Burst,Motor Burst,
47,Motor Burst +,Motor Burst +,
48,Gigant Burst,Gigant Burst,
49,Giganceladus,Giganceladus,
50,Sparqlepeco,Sparqlepeco,
51,Peco Volt,Peco Volt,
52,Peco Glitz,Peco Glitz,
53,Wild Axe,Wild Axe,
54,Wild Axe +,Wild Axe +,
55,Ground Dasher,Ground Dasher,
56,Heavy Divider,Heavy Divider,
57,Heavy Divider +,Heavy Divider +,
58,Grunhart,Grunhart,
59,Hartschlagen,Hartschlagen,
60,Nainokami,Nainokami,
61,Axe Semper Tyrannis,Axe Semper Tyrannis,
62,Grand Chaos,Grand Chaos,
63,Axe of Gaia,Axe of Gaia,
64,Axe of Thanatos,Axe of Thanatos,
65,Axe of Demons,Axe of Demons,
66,Axe of Hades,Axe of Hades,
67,Fire Tempest,Fire Tempest,
68,Flame Tempest,Flame Tempest,
69,Helstrong Firebath,Helstrong Firebath,
70,Liquid Storm,Liquid Storm,
71,Aqua Tempest,Aqua Tempest,
72,Helstrong Deluge,Helstrong Deluge,
73,Binding Roller,Binding Roller,
74,Binding Roller +,Binding Roller +,
75,Vermilingua,Vermilingua,
76,Vermilion Bloodaxe,Vermilion Bloodaxe,
77,Usurper's Downpour,Usurper's Downpour,
78,Despot's Cloudburst,Despot's Cloudburst,
79,Brimstren Drakefang,Brimstren Drakefang,
80,Stygian Vanagloria,Stygian Vanagloria,
81,Ludroth Axe,Ludroth Axe,
82,Ludroth Axe +,Ludroth Axe +,
83,Splish Splax,Splish Splax,
84,Demonbind,Demonbind,
85,Grand Demonbind,Grand Demonbind,
86,Celestial Demonbind,Celestial Demonbind,
87,Finslash,Finslash,
88,Finslash +,Finslash +,
89,Mega Rhipidon,Mega Rhipidon,
90,Dragonmaiden Axe,Dragonmaiden Axe,
91,Dragonmaiden Axe +,Dragonmaiden Axe +,
92,Gríðr's Landmaker,Gríðr's Landmaker,
93,Gríðr's Landforger,Gríðr's Landforger,
94,Arzure Rose,Arzure Rose,
95,Arzure Rosebloom,Arzure Rosebloom,
96,Grim Cat,Grim Cat,
97,Grimmig Katze,Grimmig Katze,
98,Felyne Fatality,Felyne Fatality,
99,Rough Edge,Rough Edge,
100,Tough Break,Tough Break,
101,Soulbreaker,Soulbreaker,
102,Soulcrusher,Soulcrusher,
103,Helios Crusher,Helios Crusher,
104,Inceadeus,Inceadeus,
105,Great Inceadeus,Great Inceadeus,
106,Ceadeed Axe,Ceadeed Axe,
107,Dark Switch Axe,Dark Switch Axe,
108,Black Harvest,Black Harvest,
109,Altheos Voracion,Altheos Voracion,
110,Megiddo Crest,Megiddo Crest,
111,The Crimsidian,The Crimsidian,
112,Sinister Saints,Sinister Saints,
113,Dragon's Roar,Dragon's Roar,
