id,name,english,source
1,Torso Up,Torso Up,
2,Poison,Poison,
3,Paralysis,Paralysis,
4,Sleep,Sleep,
5,Stun,Stun,
6,Mud/Snow,Mud/Snow,
7,Antiseptic,Antiseptic,
8,Def Lock,Def Lock,
9,Dungmaster,Dungmaster,
10,Biology,Biology,
11,Attack,Attack,
12,Defense,Defense,
13,Health,Health,
14,Rec Speed,Rec Speed,
15,Protection,Protection,
16,Sheathing,Sheathing,
17,FastCharge,FastCharge,
18,Expert,Expert,
19,Tenderizer,Tenderizer,
20,Destroyer,Destroyer,
21,KO,KO,
22,Stam Drain,Stam Drain,
23,Constitutn,Constitutn,
24,Hearing,Hearing,
25,Wind Res,Wind Res,
26,Tremor Res,Tremor Res,
27,Heart Res,Heart Res,
28,Cold Res,Cold Res,
29,Stamina,Stamina,
30,Stam Recov,Stam Recov,
31,Evasion,Evasion,
32,Evade Dist,Evade Dist,
33,Dive Dist,Dive Dist,
34,Sense,Sense,
35,Guard,Guard,
36,Guard Up,Guard Up,
37,Auto-Guard,Auto-Guard,
38,Status,Status,
39,Fire Atk,Fire Atk,
40,Water Atk,Water Atk,
41,Thunder Atk,Thunder Atk,
42,Ice Atk,Ice Atk,
43,Dragon Atk,Dragon Atk,
44,Elemental,Elemental,
45,Fire Res,Fire Res,
46,Water Res,Water Res,
47,Thunder Res,Thunder Res,
48,Ice Res,Ice Res,
49,Dragon Res,Dragon Res,
50,Sharpness,Sharpness,
51,Handicraft,Handicraft,
52,Fencing,Fencing,
53,Sharpener,Sharpener,
54,Crit Draw,Crit Draw,
55,PunishDraw,PunishDraw,
56,Reload Spd,Reload Spd,
57,Loading,Loading,
58,Rapid Fire,Rapid Fire,
59,Recoil,Recoil,
60,Precision,Precision,
61,Normal Up,Normal Up,
62,Pierce Up,Pierce Up,
63,Pellet Up,Pellet Up,
64,Normal S +,Normal S +,
65,Pierce S +,Pierce S +,
66,Pellet S +,Pellet S +,
67,Crag S +,Crag S +,
68,Clust S +,Clust S +,
69,Slicing S +,Slicing S +,
70,Slime S +,Slime S +,
71,Poison C +,Poison C +,
72,Para C +,Para C +,
73,Sleep C +,Sleep C +,
74,Power C +,Power C +,
75,C. Range C +,C. Range C +,
76,Exhaust C +,Exhaust C +,
77,Slime C +,Slime C +,
78,Maestro,Maestro,
79,Artillery,Artillery,
80,Bomb Boost,Bomb Boost,
81,Rec Level,Rec Level,
82,Wide-Range,Wide-Range,
83,LastingPwr,LastingPwr,
84,Hunger,Hunger,
85,Gluttony,Gluttony,
86,Eating,Eating,
87,Carnivore,Carnivore,
88,Combo Rate,Combo Rate,
89,Combo Plus,Combo Plus,
90,Gathering,Gathering,
91,Spd Gather,Spd Gather,
92,Whim,Whim,
93,Honey,Honey,
94,Charmer,Charmer,
95,Fate,Fate,
96,Carving,Carving,
97,Tranquilzr,Tranquilzr,
98,Perception,Perception,
99,Psychic,Psychic,
100,Transportr,Transportr,
101,Ranger,Ranger,
102,Anti-Theft,Anti-Theft,
103,SpeedSetup,SpeedSetup,
104,Flame Aura,Flame Aura,
105,Oxygen,Oxygen,
106,CurrentRes,CurrentRes,
107,Swimming,Swimming,
108,Sea Legs,Sea Legs,
109,Potential,Potential,
110,Survivor,Survivor,
111,Gloves Off,Gloves Off,
112,Spirit,Spirit,
113,Unscathed,Unscathed,
114,FreeElemnt,FreeElemnt,
115,Blight Res,Blight Res,
116,Status Res,Status Res,
117,Unshakable,Unshakable,
118,Guts,Guts,
119,Edgemaster,Edgemaster,
120,SteadyHand,SteadyHand,
121,Fury,Fury,
122,TeamPlayer,TeamPlayer,
123,TeamLeader,TeamLeader,
124,Map,Map,
125,Fishing,Fishing,
126,BBQ,BBQ,
