id,name,english,source
1,Hunter's Knife,Hunter's Knife,
2,Hunter's Knife +,Hunter's Knife +,
3,Hunter's Dagger,Hunter's Dagger,
4,Assassin's Dagger,Assassin's Dagger,
5,Icicle Spike,Icicle Spike,
6,Icicle Spike +,Icicle Spike +,
7,Nardebosche,Nardebosche,
8,Nardebosche +,Nardebosche +,
9,Cryo Cross,Cryo Cross,
10,Grey Brume,Grey Brume,
11,Gran Bhavani,Gran Bhavani,
12,Spiked Saber,Spiked Saber,
13,Clawed Saber,Clawed Saber,
14,Serevento,Serevento,
15,Shadow Saber,Shadow Saber,
16,Shadow Saber +,Shadow Saber +,
17,Toxic Fang,Toxic Fang,
18,Hellt Epee,Hellt Epee,
19,Hellnox Epee,Hellnox Epee,
20,Hidden Edge,Hidden Edge,
21,Flash in the Night,Flash in the Night,
22,Avidya Edge,Avidya Edge,
23,Eclipse Edge,Eclipse Edge,
24,Phecda's Asterism,Phecda's Asterism,
25,Soldier's Dagger,Soldier's Dagger,
26,Commander's Dagger,Commander's Dagger,
27,Hydra Knife,Hydra Knife,
28,Hydra Knife +,Hydra Knife +,
29,Deadly Knife,Deadly Knife,
30,Baunfäller,Baunfäller,
31,Dendrotomy,Dendrotomy,
32,Plutocatena,Plutocatena,
33,Hypnos Knife,Hypnos Knife,
34,Hypnos Knife +,Hypnos Knife +,
35,Morpheus Knife,Morpheus Knife,
36,Plesioth Finspike,Plesioth Finspike,
37,Plesioth Direspike,Plesioth Direspike,
38,Dirty Baron,Dirty Baron,
39,Dirty Marquis,Dirty Marquis,
40,Dirty Graf,Dirty Graf,
41,Azi Dahaka,Azi Dahaka,
42,Azi Dahaka +,Azi Dahaka +,
43,Almightly Dahaka,Almightly Dahaka,
44,Almightly Dahaka +,Almightly Dahaka +,
45,Co Dolgan,Co Dolgan,
46,Coctura Balgang,Coctura Balgang,
47,Usurper's Firebolt,Usurper's Firebolt,
48,Despot's Crookbolt,Despot's Crookbolt,
49,Oppressor's Bounty,Oppressor's Bounty,
50,Brimsten Drakescale,Brimsten Drakescale,
51,Stygian Luxuria,Stygian Luxuria,
52,Bone Kris,Bone Kris,
53,Bone Kris +,Bone Kris +,
54,Bone Tomahawk,Bone Tomahawk,
55,Bone Tomahawk +,Bone Tomahawk +,
56,Qurupeco Chopper,Qurupeco Chopper,
57,Djinn,Djinn,
58,Djinn +,Djinn +,
59,Blazing Falchion,Blazing Falchion,
60,Corona,Corona,
61,Corona +,Corona +,
62,Golden Falchion,Golden Falchion,
63,Golden Radius,Golden Radius,
64,Blood Tabar,Blood Tabar,
65,Plague Tabar,Plague Tabar,
66,Contagion Tabar,Contagion Tabar,
67,Lagia Sword,Lagia Sword,
68,Lagia Sword +,Lagia Sword +,
69,High Lagia Sword,High Lagia Sword,
70,Storm Sword,Storm Sword,
71,Takemikazuchi,Takemikazuchi,
72,Neo Lagia Sword,Neo Lagia Sword,
73,Neodignis Whitebolt,Neodignis Whitebolt,
74,Nether Lifesword,Nether Lifesword,
75,Nether Maestral,Nether Maestral,
76,Ludroth's Nail,Ludroth's Nail,
77,Royal Claw,Royal Claw,
78,Royal Claw +,Royal Claw +,
79,Royal Ludroth Claw,Royal Ludroth Claw,
80,Amethyst Claw,Amethyst Claw,
81,Harmethyst,Harmethyst,
82,Harmetristesse,Harmetristesse,
83,Carapace Mace,Carapace Mace,
84,Carapace Mace +,Carapace Mace +,
85,Barroth Club,Barroth Club,
86,Doomed Soul,Doomed Soul,
87,Blackened Soul,Blackened Soul,
88,Blackest Animus,Blackest Animus,
89,Gigas Club,Gigas Club,
90,Gigas Club +,Gigas Club +,
91,Gigas Crusher,Gigas Crusher,
92,Mighty Gigantreon,Mighty Gigantreon,
93,Dios Edge,Dios Edge,
94,Dios Edge +,Dios Edge +,
95,Demolition Cutter,Demolition Cutter,
96,Struxion Demolisher,Struxion Demolisher,
97,Secta Nulo,Secta Nulo,
98,Secta Unu,Secta Unu,
99,Secta Nulo (W),Secta Nulo (W),
100,Secta Unu (W),Secta Unu (W),
101,Secta Du (W),Secta Du (W),
102,Secta Nulo (G),Secta Nulo (G),
103,Secta Unu (G),Secta Unu (G),
104,Secta Du (G),Secta Du (G),
105,Qurupeco's Flight,Qurupeco's Flight,
106,Qurupeco's Blight,Qurupeco's Blight,
107,Tusk Gear,Tusk Gear,
108,Fossil Gear,Fossil Gear,
109,Skull's Wrath,Skull's Wrath,
110,Chalcamine Sword,Chalcamine Sword,
111,Chalcomatia,Chalcomatia,
112,Sea Striker,Sea Striker,
113,Abyssal Striker,Abyssal Striker,
114,Ruinos Striker,Ruinos Striker,
115,Ark Striker,Ark Striker,
116,Arken Duelcalion,Arken Duelcalion,
117,Jhen Kodachi,Jhen Kodachi,
118,Calm Sands,Calm Sands,
119,Iris Earthkiller,Iris Earthkiller,
120,Earthsbane Gladiolus,Earthsbane Gladiolus,
121,Chak Chak,Chak Chak,
122,Wagga Wagga,Wagga Wagga,
123,Gimble Gyre,Gimble Gyre,
124,Odyssey Blade,Odyssey Blade,
125,Master Odyssey,Master Odyssey,
126,Rusted Sword,Rusted Sword,
127,Tarnished Sword,Tarnished Sword,
128,Eternal Strife,Eternal Strife,
129,Eternal Hate,Eternal Hate,
130,Eternal Vengeance,Eternal Vengeance,
131,Worn Sword,Worn Sword,
132,Weathered Sword,Weathered Sword,
133,Divine Exodus,Divine Exodus,
134,Divine Jasodus,Divine Jasodus,
135,Alatreon Sword,Alatreon Sword,
136,Alatreon Star,Alatreon Star,
137,Altheos Zodiarch,Altheos Zodiarch,
138,Magiddo Edge,Magiddo Edge,
139,The Mornifestation,The Mornifestation,
140,Sanctioned Sword,Sanctioned Sword,
