id,name,english,source
1,Type 1,Type 1,mh3u-legacy-display-list
2,Type 2,Type 2,mh3u-legacy-display-list
3,Type 3,Type 3,mh3u-legacy-display-list
4,Type 4,Type 4,mh3u-legacy-display-list
5,Type 5,Type 5,mh3u-legacy-display-list
6,Type 6,Type 6,mh3u-legacy-display-list
7,Type 7,Type 7,mh3u-legacy-display-list
8,Type 8,Type 8,mh3u-legacy-display-list
9,Type 9,Type 9,mh3u-legacy-display-list
10,Type 10,Type 10,mh3u-legacy-display-list
11,Type 11,Type 11,mh3u-legacy-display-list
12,Type 12,Type 12,mh3u-legacy-display-list
13,Type 13,Type 13,mh3u-legacy-display-list
14,Type 14,Type 14,mh3u-legacy-display-list
15,Type 15,Type 15,mh3u-legacy-display-list
16,Type 16,Type 16,mh3u-legacy-display-list
17,Type 17,Type 17,mh3u-legacy-display-list
18,Type 18,Type 18,mh3u-legacy-display-list
19,Type 19,Type 19,mh3u-legacy-display-list
20,Type 20,Type 20,mh3u-legacy-display-list
