id,name,english,source
0,None,None,mh3g-id-res-game-array+placeholder
1,Leather Belt,Leather Belt,mh3g-id-res-game-array+mh3u-legacy-display-list
2,Piscine Belt,Piscine Belt,mh3g-id-res-game-array+mh3u-legacy-display-list
3,Chainmail Belt,Chainmail Belt,mh3g-id-res-game-array+mh3u-legacy-display-list
4,Loc Lac Kilt,Loc Lac Kilt,mh3g-id-res-game-array+mh3u-legacy-display-list
5,Hunter's Faulds,Hunter's Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
6,Hunter's Coat,Hunter's Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
7,Bone Faulds,Bone Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
8,Bone Coat,Bone Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
9,Alloy Coil,Alloy Coil,mh3g-id-res-game-array+mh3u-legacy-display-list
10,Alloy Coat,Alloy Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
11,Jaggi Faulds,Jaggi Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
12,Jaggi Coat,Jaggi Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
13,Bnahabra Coil,Bnahabra Coil,mh3g-id-res-game-array+mh3u-legacy-display-list
14,Bnahabra Coat,Bnahabra Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
15,Rhenoplos Coil,Rhenoplos Coil,mh3g-id-res-game-array+mh3u-legacy-display-list
16,Rhenoplos Coat,Rhenoplos Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
17,Qurupeco Coil,Qurupeco Coil,mh3g-id-res-game-array+mh3u-legacy-display-list
18,Qurupeco Coat,Qurupeco Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
19,Ludroth Faulds,Ludroth Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
20,Ludroth Coat,Ludroth Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
21,DUMMY 21,DUMMY 21,mh3g-id-res-game-array+placeholder
22,Baggi Coil,Baggi Coil,mh3g-id-res-game-array+mh3u-legacy-display-list
23,Baggi Coat,Baggi Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
24,Barroth Faulds,Barroth Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
25,Barroth Coat,Barroth Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
26,Gobul Faulds,Gobul Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
27,Gobul Coat,Gobul Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
28,DUMMY 28,DUMMY 28,mh3g-id-res-game-array+placeholder
29,DUMMY 29,DUMMY 29,mh3g-id-res-game-array+placeholder
30,Guild Bard Coil,Guild Bard Coil,mh3g-id-res-game-array+mh3u-legacy-display-list
31,Guild Bard Coat,Guild Bard Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
32,Scholar's Skirt,Scholar's Skirt,mh3g-id-res-game-array+mh3u-legacy-display-list
33,Scholar's Mini,Scholar's Mini,mh3g-id-res-game-array+mh3u-legacy-display-list
34,Rathian Faulds,Rathian Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
35,Rathian Coat,Rathian Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
36,Gigginox Faulds,Gigginox Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
37,Gigginox Coat,Gigginox Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
38,Ingot Coil,Ingot Coil,mh3g-id-res-game-array+mh3u-legacy-display-list
39,Ingot Coat,Ingot Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
40,Lagiacrus Faulds,Lagiacrus Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
41,Lagiacrus Coat,Lagiacrus Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
42,Rathalos Faulds,Rathalos Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
43,Rathalos Coat,Rathalos Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
44,Barioth Faulds,Barioth Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
45,Barioth Coat,Barioth Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
46,Diablos Coil,Diablos Coil,mh3g-id-res-game-array+mh3u-legacy-display-list
47,Diablos Coat,Diablos Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
48,Uragaan Faulds,Uragaan Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
49,Uragaan Coat,Uragaan Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
50,Agnaktor Faulds,Agnaktor Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
51,Agnaktor Coat,Agnaktor Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
52,Helios Coil,Helios Coil,mh3g-id-res-game-array+mh3u-legacy-display-list
53,Helios Coat,Helios Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
54,Selene Coil,Selene Coil,mh3g-id-res-game-array+mh3u-legacy-display-list
55,Selene Coat,Selene Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
56,Wroggi Faulds,Wroggi Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
57,Wroggi Coat,Wroggi Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
58,Arzuros Faulds,Arzuros Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
59,Arzuros Coat,Arzuros Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
60,Lagombi Faulds,Lagombi Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
61,Lagombi Coat,Lagombi Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
62,Volvidon Faulds,Volvidon Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
63,Volvidon Coat,Volvidon Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
64,Nibelsnarf Faulds,Nibelsnarf Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
65,Nibelsnarf Coat,Nibelsnarf Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
66,Duramboros Faulds,Duramboros Faulds,mh3g-id-res-game-array+mh3u-legacy-display-list
67,Duramboros Coat,Duramboros Coat,mh3g-id-res-game-array+mh3u-legacy-display-list
68,Yukumo Obi,Yukumo Obi,mh3g-id-res-game-array+mh3u-legacy-display-list
69,DUMMY 69,DUMMY 69,mh3g-id-res-game-array+placeholder
70,DUMMY 70,DUMMY 70,mh3g-id-res-game-array+placeholder
71,DUMMY 71,DUMMY 71,mh3g-id-res-game-array+placeholder
72,DUMMY 72,DUMMY 72,mh3g-id-res-game-array+placeholder
73,DUMMY 73,DUMMY 73,mh3g-id-res-game-array+placeholder
74,DUMMY 74,DUMMY 74,mh3g-id-res-game-array+placeholder
75,Leather Faulds S,Leather Faulds S,mh3g-id-res-game-array+mh3u-legacy-display-list
76,Leather Coat S,Leather Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
77,Piscine Belt S,Piscine Belt S,mh3g-id-res-game-array+mh3u-legacy-display-list
78,Piscine Tank S,Piscine Tank S,mh3g-id-res-game-array+mh3u-legacy-display-list
79,Chainmail Faulds S,Chainmail Faulds S,mh3g-id-res-game-array+mh3u-legacy-display-list
80,Chainmail Coat S,Chainmail Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
81,Loc Lac Kilt S,Loc Lac Kilt S,mh3g-id-res-game-array+mh3u-legacy-display-list
82,Loc Loc Coat S,Loc Loc Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
83,Hunter's Faulds S,Hunter's Faulds S,mh3g-id-res-game-array+mh3u-legacy-display-list
84,Hunter's Coat S,Hunter's Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
85,Bone Faulds S,Bone Faulds S,mh3g-id-res-game-array+mh3u-legacy-display-list
86,Bone Coat S,Bone Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
87,Alloy Coil S,Alloy Coil S,mh3g-id-res-game-array+mh3u-legacy-display-list
88,Alloy Coat S,Alloy Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
89,Jaggi Faulds S,Jaggi Faulds S,mh3g-id-res-game-array+mh3u-legacy-display-list
90,Jaggi Coat S,Jaggi Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
91,Bnahabra Coil S,Bnahabra Coil S,mh3g-id-res-game-array+mh3u-legacy-display-list
92,Bnahabra Coat S,Bnahabra Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
93,Rhenoplos Coil S,Rhenoplos Coil S,mh3g-id-res-game-array+mh3u-legacy-display-list
94,Rhenoplos Coat S,Rhenoplos Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
95,Qurupeco Coil S,Qurupeco Coil S,mh3g-id-res-game-array+mh3u-legacy-display-list
96,Qurupeco Coat S,Qurupeco Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
97,Qurupeco Coil U,Qurupeco Coil U,mh3g-id-res-game-array+mh3u-legacy-display-list
98,Qurupeco Coat U,Qurupeco Coat U,mh3g-id-res-game-array+mh3u-legacy-display-list
99,Ludroth Faulds S,Ludroth Faulds S,mh3g-id-res-game-array+mh3u-legacy-display-list
100,Ludroth Coat S,Ludroth Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
101,Ludroth Faulds U,Ludroth Faulds U,mh3g-id-res-game-array+mh3u-legacy-display-list
102,Ludroth Coat U,Ludroth Coat U,mh3g-id-res-game-array+mh3u-legacy-display-list
103,DUMMY 103,DUMMY 103,mh3g-id-res-game-array+placeholder
104,Baggi Coil S,Baggi Coil S,mh3g-id-res-game-array+mh3u-legacy-display-list
105,Baggi Coat S,Baggi Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
106,Wroggi Faulds S,Wroggi Faulds S,mh3g-id-res-game-array+mh3u-legacy-display-list
107,Wroggi Coat S,Wroggi Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
108,Arzuros Faulds S,Arzuros Faulds S,mh3g-id-res-game-array+mh3u-legacy-display-list
109,Arzuros Coat S,Arzuros Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
110,Lagombi Faulds S,Lagombi Faulds S,mh3g-id-res-game-array+mh3u-legacy-display-list
111,Lagombi Coat S,Lagombi Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
112,Volvidon Faulds S,Volvidon Faulds S,mh3g-id-res-game-array+mh3u-legacy-display-list
113,Volvidon Coat S,Volvidon Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
114,Barroth Faulds S,Barroth Faulds S,mh3g-id-res-game-array+mh3u-legacy-display-list
115,Barroth Coat S,Barroth Coat S,mh3g-id-res-game-array+mh3u-legacy-display-list
116,Barroth Faulds U,Barroth Faulds U,mh3g-id-res-game-array+mh3u-legacy-display-list
117,Barroth Coat U,Barroth Coat U,mh3g-id-res-game-array+mh3u-legacy-display-list
