dex_id,save_type,save_id,male_model_id,female_model_id,mapping_status,mapping_source
1,5,1,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
2,1,1,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
3,2,1,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
4,3,1,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
5,4,1,1,1,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
6,5,66,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
7,1,67,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
8,2,66,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
9,3,68,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
10,4,67,131,131,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
11,5,2,22,22,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
12,3,2,22,22,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
13,4,2,22,22,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
14,5,3,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
15,1,2,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
16,2,2,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
17,3,3,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
18,4,3,2,2,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
19,1,3,7,7,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
20,3,4,7,7,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
21,4,4,7,7,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
22,5,4,8,8,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
23,1,4,8,8,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
24,2,3,8,8,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
25,3,5,8,8,confirmed_exefs,mh3g-exefs-armor-table-record-2-3
