model_id,gender,part,model_key,arc_relative_path,mapping_source
0,female,head,armor-f-pl000-head,armor-mod/f/pl000/f_helm000.arc,romfs-player-model-inventory
0,female,chest,armor-f-pl000-chest,armor-mod/f/pl000/f_body000.arc,romfs-player-model-inventory
0,female,arms,armor-f-pl000-arms,armor-mod/f/pl000/f_arm000.arc,romfs-player-model-inventory
0,female,waist,armor-f-pl000-waist,armor-mod/f/pl000/f_wst000.arc,romfs-player-model-inventory
0,female,legs,armor-f-pl000-legs,armor-mod/f/pl000/f_leg000.arc,romfs-player-model-inventory
0,male,head,armor-m-pl000-head,armor-mod/m/pl000/m_helm000.arc,romfs-player-model-inventory
0,male,chest,armor-m-pl000-chest,armor-mod/m/pl000/m_body000.arc,romfs-player-model-inventory
0,male,arms,armor-m-pl000-arms,armor-mod/m/pl000/m_arm000.arc,romfs-player-model-inventory
0,male,waist,armor-m-pl000-waist,armor-mod/m/pl000/m_wst000.arc,romfs-player-model-inventory
0,male,legs,armor-m-pl000-legs,armor-mod/m/pl000/m_leg000.arc,romfs-player-model-inventory
1,female,head,armor-f-pl001-head,armor-mod/f/pl001/f_helm001.arc,romfs-player-model-inventory
1,female,chest,armor-f-pl001-chest,armor-mod/f/pl001/f_body001.arc,romfs-player-model-inventory
1,female,arms,armor-f-pl001-arms,armor-mod/f/pl001/f_arm001.arc,romfs-player-model-inventory
1,female,waist,armor-f-pl001-waist,armor-mod/f/pl001/f_wst001.arc,romfs-player-model-inventory
1,female,legs,armor-f-pl001-legs,armor-mod/f/pl001/f_leg001.arc,romfs-player-model-inventory
1,male,head,armor-m-pl001-head,armor-mod/m/pl001/m_helm001.arc,romfs-player-model-inventory
1,male,chest,armor-m-pl001-chest,armor-mod/m/pl001/m_body001.arc,romfs-player-model-inventory
1,male,arms,armor-m-pl001-arms,armor-mod/m/pl001/m_arm001.arc,romfs-player-model-inventory
1,male,waist,armor-m-pl001-waist,armor-mod/m/pl001/m_wst001.arc,romfs-player-model-inventory
1,male,legs,armor-m-pl001-legs,armor-mod/m/pl001/m_leg001.arc,romfs-player-model-inventory
2,female,head,armor-f-pl002-head,armor-mod/f/pl002/f_helm002.arc,romfs-player-model-inventory
2,female,chest,armor-f-pl002-chest,armor-mod/f/pl002/f_body002.arc,romfs-player-model-inventory
2,female,arms,armor-f-pl002-arms,armor-mod/f/pl002/f_arm002.arc,romfs-player-model-inventory
2,female,waist,armor-f-pl002-waist,armor-mod/f/pl002/f_wst002.arc,romfs-player-model-inventory
2,female,legs,armor-f-pl002-legs,armor-mod/f/pl002/f_leg002.arc,romfs-player-model-inventory
2,male,head,armor-m-pl002-head,armor-mod/m/pl002/m_helm002.arc,romfs-player-model-inventory
2,male,chest,armor-m-pl002-chest,armor-mod/m/pl002/m_body002.arc,romfs-player-model-inventory
2,male,arms,armor-m-pl002-arms,armor-mod/m/pl002/m_arm002.arc,romfs-player-model-inventory
2,male,waist,armor-m-pl002-waist,armor-mod/m/pl002/m_wst002.arc,romfs-player-model-inventory
2,male,legs,armor-m-pl002-legs,armor-mod/m/pl002/m_leg002.arc,romfs-player-model-inventory
3,female,head,armor-f-pl003-head,armor-mod/f/pl003/f_helm003.arc,romfs-player-model-inventory
3,female,chest,armor-f-pl003-chest,armor-mod/f/pl003/f_body003.arc,romfs-player-model-inventory
3,female,arms,armor-f-pl003-arms,armor-mod/f/pl003/f_arm003.arc,romfs-player-model-inventory
3,female,waist,armor-f-pl003-waist,armor-mod/f/pl003/f_wst003.arc,romfs-player-model-inventory
3,female,legs,armor-f-pl003-legs,armor-mod/f/pl003/f_leg003.arc,romfs-player-model-inventory
3,male,head,armor-m-pl003-head,armor-mod/m/pl003/m_helm003.arc,romfs-player-model-inventory
