set_id,part,dex_id,gender,slot_order,save_type,save_id,mapping_source,notes
as-0001-both,head,1,both,0,5,1,exact-cn,
as-0001-both,chest,2,both,1,1,1,exact-cn,
as-0001-both,arms,3,both,2,2,1,exact-cn,
as-0001-both,waist,4,both,3,3,1,exact-cn,
as-0001-both,legs,5,both,4,4,1,exact-cn,
as-0006-both,head,6,both,0,5,66,exact-cn,
as-0006-both,chest,7,both,1,1,67,exact-cn,
as-0006-both,arms,8,both,2,2,66,exact-cn,
as-0006-both,waist,9,both,3,3,68,exact-cn,
as-0006-both,legs,10,both,4,4,67,exact-cn,
as-0011-both,head,11,both,0,5,2,exact-cn,
as-0011-both,waist,12,both,1,3,2,exact-cn,
as-0011-both,legs,13,both,2,4,2,exact-cn,
as-0014-both,head,14,both,0,5,3,exact-cn,
as-0014-both,chest,15,both,1,1,2,exact-cn,
as-0014-both,arms,16,both,2,2,2,exact-cn,
as-0014-both,waist,17,both,3,3,3,exact-cn,
as-0014-both,legs,18,both,4,4,3,exact-cn,
as-0019-both,chest,19,both,0,1,3,exact-cn,
as-0019-both,waist,20,both,1,3,4,exact-cn,
as-0019-both,legs,21,both,2,4,4,exact-cn,
as-0022-blade,head,22,both,0,5,4,exact-cn,
as-0022-blade,chest,23,both,1,1,4,exact-cn,
as-0022-blade,arms,24,both,2,2,3,exact-cn,
as-0022-blade,waist,25,both,3,3,5,exact-cn,
as-0022-blade,legs,26,both,4,4,5,exact-cn,
as-0027-gunner,head,27,both,0,5,5,exact-cn,
as-0027-gunner,chest,28,both,1,1,5,exact-cn,
as-0027-gunner,arms,29,both,2,2,4,exact-cn,
as-0027-gunner,waist,30,both,3,3,6,exact-cn,
as-0027-gunner,legs,31,both,4,4,6,exact-cn,
as-0032-blade,head,32,both,0,5,8,exact-cn,
as-0032-blade,chest,33,both,1,1,8,exact-cn,
as-0032-blade,arms,34,both,2,2,7,exact-cn,
as-0032-blade,waist,35,both,3,3,9,exact-cn,
as-0032-blade,legs,36,both,4,4,9,exact-cn,
as-0037-gunner,head,37,both,0,5,9,exact-cn,
as-0037-gunner,chest,38,both,1,1,9,exact-cn,
as-0037-gunner,arms,39,both,2,2,8,exact-cn,
as-0037-gunner,waist,40,both,3,3,10,exact-cn,
as-0037-gunner,legs,41,both,4,4,10,exact-cn,
as-0042-blade,head,42,both,0,5,6,exact-cn,
as-0042-blade,chest,43,both,1,1,6,exact-cn,
as-0042-blade,arms,44,both,2,2,5,exact-cn,
as-0042-blade,waist,45,both,3,3,7,exact-cn,
as-0042-blade,legs,46,both,4,4,7,exact-cn,
as-0047-gunner,head,47,both,0,5,7,exact-cn,
as-0047-gunner,chest,48,both,1,1,7,exact-cn,
as-0047-gunner,arms,49,both,2,2,6,exact-cn,
as-0047-gunner,waist,50,both,3,3,8,exact-cn,
as-0047-gunner,legs,51,both,4,4,8,exact-cn,
as-0052-blade,head,52,both,0,5,12,exact-cn,
as-0052-blade,chest,53,both,1,1,12,exact-cn,
as-0052-blade,arms,54,both,2,2,11,exact-cn,
as-0052-blade,waist,55,both,3,3,13,exact-cn,
as-0052-blade,legs,56,both,4,4,13,exact-cn,
as-0057-gunner,head,57,both,0,5,13,exact-cn,
as-0057-gunner,chest,58,both,1,1,13,exact-cn,
as-0057-gunner,arms,59,both,2,2,12,exact-cn,
as-0057-gunner,waist,60,both,3,3,14,exact-cn,
as-0057-gunner,legs,61,both,4,4,14,exact-cn,
as-0062-blade,head,62,both,0,5,14,exact-cn,
as-0062-blade,chest,63,both,1,1,14,exact-cn,
as-0062-blade,arms,64,both,2,2,13,exact-cn,
as-0062-blade,waist,65,both,3,3,15,exact-cn,
as-0062-blade,legs,66,both,4,4,15,exact-cn,
as-0067-gunner,head,67,both,0,5,15,exact-cn,
as-0067-gunner,chest,68,both,1,1,15,exact-cn,
as-0067-gunner,arms,69,both,2,2,14,exact-cn,
as-0067-gunner,waist,70,both,3,3,16,exact-cn,
as-0067-gunner,legs,71,both,4,4,16,exact-cn,
as-0072-blade,head,72,both,0,5,10,exact-cn,
as-0072-blade,chest,73,both,1,1,10,exact-cn,
as-0072-blade,arms,74,both,2,2,9,exact-cn,
as-0072-blade,waist,75,both,3,3,11,exact-cn,
as-0072-blade,legs,76,both,4,4,11,exact-cn,
as-0077-gunner,head,77,both,0,5,11,exact-cn,
as-0077-gunner,chest,78,both,1,1,11,exact-cn,
as-0077-gunner,arms,79,both,2,2,10,exact-cn,
as-0077-gunner,waist,80,both,3,3,12,exact-cn,
as-0077-gunner,legs,81,both,4,4,12,exact-cn,
as-0082-blade,head,82,both,0,5,56,exact-cn,
as-0082-blade,chest,83,both,1,1,57,exact-cn,
as-0082-blade,arms,84,both,2,2,56,exact-cn,
as-0082-blade,waist,85,both,3,3,58,exact-cn,
as-0082-blade,legs,86,both,4,4,57,exact-cn,
as-0087-gunner,head,87,both,0,5,57,exact-cn,
as-0087-gunner,chest,88,both,1,1,58,exact-cn,
as-0087-gunner,arms,89,both,2,2,57,exact-cn,
as-0087-gunner,waist,90,both,3,3,59,exact-cn,
as-0087-gunner,legs,91,both,4,4,58,exact-cn,
as-0092-blade,head,92,both,0,5,54,exact-cn,
as-0092-blade,chest,93,both,1,1,55,exact-cn,
as-0092-blade,arms,94,both,2,2,54,exact-cn,
as-0092-blade,waist,95,both,3,3,56,exact-cn,
as-0092-blade,legs,96,both,4,4,55,exact-cn,
as-0097-gunner,head,97,both,0,5,55,exact-cn,
as-0097-gunner,chest,98,both,1,1,56,exact-cn,
as-0097-gunner,arms,99,both,2,2,55,exact-cn,
as-0097-gunner,waist,100,both,3,3,57,exact-cn,
as-0097-gunner,legs,101,both,4,4,56,exact-cn,
as-0102-blade,head,102,both,0,5,16,exact-cn,
as-0102-blade,chest,103,both,1,1,16,exact-cn,
as-0102-blade,arms,104,both,2,2,15,exact-cn,
as-0102-blade,waist,105,both,3,3,17,exact-cn,
as-0102-blade,legs,106,both,4,4,17,exact-cn,
as-0107-gunner,head,107,both,0,5,17,exact-cn,
as-0107-gunner,chest,108,both,1,1,17,exact-cn,
as-0107-gunner,arms,109,both,2,2,16,exact-cn,
as-0107-gunner,waist,110,both,3,3,18,exact-cn,
as-0107-gunner,legs,111,both,4,4,18,exact-cn,
as-0112-blade,head,112,both,0,5,18,exact-cn,
as-0112-blade,chest,113,both,1,1,18,exact-cn,
as-0112-blade,arms,114,both,2,2,17,exact-cn,
as-0112-blade,waist,115,both,3,3,19,exact-cn,
as-0112-blade,legs,116,both,4,4,19,exact-cn,
as-0117-gunner,head,117,both,0,5,19,exact-cn,
as-0117-gunner,chest,118,both,1,1,19,exact-cn,
as-0117-gunner,arms,119,both,2,2,18,exact-cn,
as-0117-gunner,waist,120,both,3,3,20,exact-cn,
as-0117-gunner,legs,121,both,4,4,20,exact-cn,
as-0122-blade,head,122,both,0,5,20,exact-cn,
as-0122-blade,chest,123,both,1,1,21,exact-cn,
as-0122-blade,arms,124,both,2,2,20,exact-cn,
as-0122-blade,waist,125,both,3,3,22,exact-cn,
as-0122-blade,legs,126,both,4,4,21,exact-cn,
as-0127-gunner,head,127,both,0,5,21,exact-cn,
as-0127-gunner,chest,128,both,1,1,22,exact-cn,
as-0127-gunner,arms,129,both,2,2,21,exact-cn,
as-0127-gunner,waist,130,both,3,3,23,exact-cn,
as-0127-gunner,legs,131,both,4,4,22,exact-cn,
as-0132-blade,head,132,both,0,5,58,exact-cn,
as-0132-blade,chest,133,both,1,1,59,exact-cn,
as-0132-blade,arms,134,both,2,2,58,exact-cn,
as-0132-blade,waist,135,both,3,3,60,exact-cn,
as-0132-blade,legs,136,both,4,4,59,exact-cn,
as-0137-gunner,head,137,both,0,5,59,exact-cn,
