set_id,rank,combat,model_id,name_cn,name_en,display_order,review_status,source,notes
as-0001-both,low,both,0,轻皮,Leather,0,candidate,generated-seed,
as-0006-both,low,both,1,结云,Yukumo Obi,1,candidate,generated-seed,
as-0011-both,special,both,2,潜水,Piscine,2,candidate,generated-seed,generated-review-required
as-0014-both,low,both,3,锁链,Chainmail,3,candidate,generated-seed,
as-0019-both,special,both,4,洛克拉克,Loc Lac,4,candidate,generated-seed,generated-review-required
as-0022-blade,low,blade,5,猎人,Hunter's,5,candidate,generated-seed,
as-0027-gunner,low,gunner,6,猎人,Hunter's,6,candidate,generated-seed,
as-0032-blade,low,blade,7,合金,Alloy,7,candidate,generated-seed,
as-0037-gunner,low,gunner,8,合金,Alloy,8,candidate,generated-seed,
as-0042-blade,low,blade,9,骨制,Bone,9,candidate,generated-seed,
as-0047-gunner,low,gunner,10,骨制,Bone,10,candidate,generated-seed,
as-0052-blade,low,blade,11,飞虫,Bnahabra,11,candidate,generated-seed,
as-0057-gunner,low,gunner,12,飞虫,Bnahabra,12,candidate,generated-seed,
as-0062-blade,low,blade,13,草食龙,Rhenoplos,13,candidate,generated-seed,
as-0067-gunner,low,gunner,14,草食龙,Rhenoplos,14,candidate,generated-seed,
as-0072-blade,low,blade,15,狗龙,Jaggi,15,candidate,generated-seed,
as-0077-gunner,low,gunner,16,狗龙,Jaggi,16,candidate,generated-seed,
as-0082-blade,low,blade,17,青熊兽,Arzuros,17,candidate,generated-seed,
as-0087-gunner,low,gunner,17,青熊兽,Arzuros,18,candidate,generated-seed,
as-0092-blade,low,blade,18,毒狗龙,Wroggi,19,candidate,generated-seed,
as-0097-gunner,low,gunner,19,毒狗龙,Wroggi,20,candidate,generated-seed,
as-0102-blade,low,blade,20,彩鸟,Qurupeco,21,candidate,generated-seed,
as-0107-gunner,low,gunner,21,彩鸟,Qurupeco,22,candidate,generated-seed,
as-0112-blade,low,blade,22,水兽,Ludroth,23,candidate,generated-seed,
as-0117-gunner,low,gunner,23,水兽,Ludroth,24,candidate,generated-seed,
as-0122-blade,low,blade,24,眠狗龙,Baggi,25,candidate,generated-seed,
as-0127-gunner,low,gunner,25,眠狗龙,Baggi,26,candidate,generated-seed,
as-0132-blade,low,blade,26,白兔兽,Lagombi,27,candidate,generated-seed,
as-0137-gunner,low,gunner,26,白兔兽,Lagombi,28,candidate,generated-seed,
as-0142-blade,low,blade,27,土砂龙,Barroth,29,candidate,generated-seed,
as-0147-gunner,low,gunner,28,土砂龙,Barroth,30,candidate,generated-seed,
as-0152-blade,low,blade,29,赤甲兽,Volvidon,31,candidate,generated-seed,
as-0157-gunner,low,gunner,29,赤甲兽,Volvidon,32,candidate,generated-seed,generated-review-required
as-0162-blade,low,blade,30,灯鱼龙,Gobul,33,candidate,generated-seed,
as-0167-gunner,low,gunner,31,灯鱼龙,Gobul,34,candidate,generated-seed,generated-review-required
as-0172-blade,low,blade,32,雌火龙,Rathian,35,candidate,generated-seed,
as-0177-gunner,low,gunner,33,雌火龙,Rathian,36,candidate,generated-seed,
as-0182-blade,low,blade,34,毒怪龙,Gigginox,37,candidate,generated-seed,
as-0187-gunner,low,gunner,35,毒怪龙,Gigginox,38,candidate,generated-seed,
as-0192-blade,low,blade,36,高合金,Ingot,39,candidate,generated-seed,
as-0197-gunner,low,gunner,37,高合金,Ingot,40,candidate,generated-seed,
as-0202-blade,low,blade,38,冰牙龙,Barioth,41,candidate,generated-seed,
as-0207-gunner,low,gunner,39,冰牙龙,Barioth,42,candidate,generated-seed,
as-0212-both,special,both,40,狗龙,Jaggi,43,candidate,generated-seed,generated-review-required
as-0213-blade,low,blade,41,潜口龙,Nibelsnarf,44,candidate,generated-seed,
as-0218-gunner,low,gunner,42,潜口龙,Nibelsnarf,45,candidate,generated-seed,
as-0223-blade,low,blade,43,公会精英,Guild Bard,46,candidate,generated-seed,
as-0228-gunner,low,gunner,43,公会精英,Guild Bard,47,candidate,generated-seed,generated-review-required
as-0243-blade,low,blade,44,海龙,Lagiacrus,48,candidate,generated-seed,
as-0248-gunner,low,gunner,45,海龙,Lagiacrus,49,candidate,generated-seed,
as-0253-blade,low,blade,46,雄火龙,Rathalos,50,candidate,generated-seed,
as-0258-gunner,low,gunner,47,雄火龙,Rathalos,51,candidate,generated-seed,
as-0263-blade,low,blade,48,尾槌龙,Duramboros,52,candidate,generated-seed,
as-0268-gunner,low,gunner,49,尾槌龙,Duramboros,53,candidate,generated-seed,
as-0273-blade,low,blade,50,角龙,Diablos,54,candidate,generated-seed,
as-0278-gunner,low,gunner,51,角龙,Diablos,55,candidate,generated-seed,
as-0283-blade,low,blade,52,爆锤龙,Uragaan,56,candidate,generated-seed,
as-0288-gunner,low,gunner,53,爆锤龙,Uragaan,57,candidate,generated-seed,
as-0293-blade,low,blade,54,炎戈龙,Agnaktor,58,candidate,generated-seed,
as-0298-gunner,low,gunner,55,炎戈龙,Agnaktor,59,candidate,generated-seed,
as-0303-blade,low,blade,56,月神,Helios,60,candidate,generated-seed,
as-0308-gunner,low,gunner,57,月神,Helios,61,candidate,generated-seed,
as-0323-blade,high,blade,0,轻皮Ｓ,Leather S,62,candidate,generated-seed,
as-0328-gunner,high,gunner,0,轻皮Ｓ,Leather S,63,candidate,generated-seed,
as-0333-blade,high,blade,1,结云袴・天,Yukumo Sky Obi,64,candidate,generated-seed,
as-0338-gunner,high,gunner,1,结云袴・地,Yukumo Land Obi,65,candidate,generated-seed,
as-0343-blade,high,blade,3,锁链Ｓ,Chainmail S,66,candidate,generated-seed,
as-0348-gunner,high,gunner,3,锁链Ｓ,Chainmail S,67,candidate,generated-seed,
as-0353-blade,special,blade,4,洛克拉克Ｓ,Loc Lac S,68,candidate,generated-seed,generated-review-required
as-0356-gunner,special,gunner,4,洛克拉克Ｓ,Loc Lac S,69,candidate,generated-seed,generated-review-required
as-0359-blade,high,blade,5,猎人Ｓ,Hunter's S,70,candidate,generated-seed,
as-0364-gunner,high,gunner,6,猎人Ｓ,Hunter's S,71,candidate,generated-seed,
as-0369-blade,special,blade,2,潜水Ｓ,Piscine S,72,candidate,generated-seed,generated-review-required
as-0372-gunner,special,gunner,2,潜水Ｓ,Piscine S,73,candidate,generated-seed,generated-review-required
as-0375-blade,high,blade,9,骨制Ｓ,Bone S,74,candidate,generated-seed,
as-0380-gunner,high,gunner,10,骨制Ｓ,Bone S,75,candidate,generated-seed,
as-0385-blade,high,blade,7,合金Ｓ,Alloy S,76,candidate,generated-seed,
as-0390-gunner,high,gunner,8,合金Ｓ,Alloy S,77,candidate,generated-seed,
as-0395-blade,high,blade,11,飞虫Ｓ,Bnahabra S,78,candidate,generated-seed,
as-0400-gunner,high,gunner,12,飞虫Ｓ,Bnahabra S,79,candidate,generated-seed,generated-review-required
as-0405-blade,high,blade,13,草食龙Ｓ,Rhenoplos S,80,candidate,generated-seed,
as-0410-gunner,high,gunner,14,草食龙Ｓ,Rhenoplos S,81,candidate,generated-seed,
as-0415-blade,special,blade,58,垂皮头罩,Slagtoth Hood,82,candidate,generated-seed,generated-review-required
as-0417-gunner,special,gunner,58,垂皮大衣,Slagtoth Cowl,83,candidate,generated-seed,generated-review-required
as-0419-blade,high,blade,59,抚子【布冠】,Dianthus,84,candidate,generated-seed,
as-0424-gunner,high,gunner,59,桔梗【布冠】,Campanile,85,candidate,generated-seed,
as-0429-blade,high,blade,15,狗龙Ｓ,Jaggi S,86,candidate,generated-seed,
as-0434-gunner,high,gunner,16,狗龙Ｓ,Jaggi S,87,candidate,generated-seed,
as-0439-blade,high,blade,17,青熊兽Ｓ,Arzuros S,88,candidate,generated-seed,
as-0444-gunner,high,gunner,17,青熊兽Ｓ,Arzuros S,89,candidate,generated-seed,
as-0449-blade,high,blade,18,毒狗龙Ｓ,Wroggi S,90,candidate,generated-seed,
as-0454-gunner,high,gunner,19,毒狗龙Ｓ,Wroggi S,91,candidate,generated-seed,
as-0459-blade,high,blade,24,眠狗龙Ｓ,Baggi S,92,candidate,generated-seed,
as-0464-gunner,high,gunner,25,眠狗龙Ｓ,Baggi S,93,candidate,generated-seed,
as-0469-blade,high,blade,26,白兔兽Ｓ,Lagombi S,94,candidate,generated-seed,
as-0474-gunner,high,gunner,26,白兔兽Ｓ,Lagombi S,95,candidate,generated-seed,
as-0479-both,special,both,60,黑暗之眼,Shadow Shades,96,candidate,generated-seed,generated-review-required
as-0480-both,special,both,61,丸鸟,Gargwa,97,candidate,generated-seed,generated-review-required
as-0481-both,special,both,62,野猪,Bullfango,98,candidate,generated-seed,generated-review-required
as-0482-blade,high,blade,20,彩鸟Ｓ,Qurupeco S,99,candidate,generated-seed,
